㔢	t͡ɕyəʔ²
什时候	səŋ⁴⁵ sz̩¹¹ xəu⁴⁵
什時候	səŋ⁴⁵ sz̩¹¹ xəu⁴⁵
仁	ʐəŋ¹¹
仅	t͡ɕiŋ⁵³
仆	pʰaʔ⁵⁴
今	t͡ɕiŋ¹¹
今天	t͡ɕiŋ¹¹ tʰie¹¹
今年	t͡ɕiŋ¹¹ nie¹¹
今日	t͡ɕiŋ¹¹ ʐəŋ¹¹
介	t͡ɕie⁴⁵
介紹人	t͡ɕie⁴⁵ sau⁴⁵ t͡səŋ¹¹
介绍人	t͡ɕie⁴⁵ sau⁴⁵ t͡səŋ¹¹
仍	ʐəŋ¹¹
从	t͡sʰuŋ¹¹
从头	t͡sʰuŋ¹¹ tʰəu¹¹
从小	t͡sʰuŋ¹¹ ɕiau⁵³
仑	luaŋ¹¹
他	tʰa¹¹
他们	tʰa¹¹ mɤ²
他俩	tʰa¹¹ lia⁵³
他俩个	tʰa¹¹ lia⁵³ kɤ⁴⁵
他倆	tʰa¹¹ lia⁵³
他倆個	tʰa¹¹ lia⁵³ kɤ⁴⁵
他們	tʰa¹¹ mɤ²
仗	t͡sɒ̃⁴⁵
付	fu⁴⁵
仙	ɕie¹¹
仙人掌	ɕie¹¹ ʐəŋ¹¹ t͡sɒ̃⁵³
仙人球	ɕie¹¹ ʐəŋ¹¹ t͡ɕʰiəu¹¹
仙鶴	ɕie¹¹ xɤ⁴⁵
仙鹤	ɕie¹¹ xɤ⁴⁵
代	tai⁴⁵
令	liŋ⁴⁵
以	i⁵³
们	mɤ
仰塵	iɒ̃⁵³ t͡sʰəŋ¹¹
仰尘	iɒ̃⁵³ t͡sʰəŋ¹¹
仰泳	iɒ̃⁵³⁻¹¹ yŋ⁵³
件	t͡ɕie⁴⁵
价	t͡ɕia⁴⁵
价钱	t͡ɕia⁴⁵ t͡ɕʰie¹¹
任	ʐəŋ⁴⁵
份	fəŋ⁴⁵
份股	fəŋ⁴⁵ ku⁵³
伏	fəʔ⁵⁴
伐	faʔ⁵⁴
伐树	faʔ⁵⁴⁻² su⁴⁵
伐樹	faʔ⁵⁴⁻² su⁴⁵
休	ɕiəu¹¹
众	t͡suŋ⁴⁵
优	iəu¹¹
优点	iəu¹¹ tie⁵³
优秀	iəu¹¹ ɕiəu⁴⁵
伙	xuɤ⁵³
会	xuei⁴⁵
伞	sæ̃⁵³
伟	vei⁵³
伢	nia¹¹
伤	sɒ̃¹¹
估	ku¹¹
伴	pæ̃⁴⁵
伴娘	pæ̃⁴⁵ niɒ̃¹¹
伴郎	pæ̃⁴⁵ lɒ̃¹¹
但	tæ̃⁴⁵
位	vei⁴⁵
低	ti¹¹
住	t͡su⁴⁵
体	tʰi⁵³
体谅	tʰi⁵³ liɒ̃⁴⁵
余	y¹¹
佛	fəʔ⁵⁴
佛教	fəʔ⁵⁴⁻² t͡ɕiau⁴⁵
作	t͡suaʔ²
作主	t͡suəʔ²⁻⁴⁵ t͡su⁵³
作文	t͡suaʔ²⁻⁵⁴ vəŋ¹¹
作文本	t͡suaʔ²⁻⁵⁴ vəŋ¹¹ pəŋ⁵³
你	ni⁵³
你们	ni⁵³ mɤ¹
你們	ni⁵³ mɤ¹
佳	t͡ɕia¹¹
併	piaŋ⁴⁵
使	sz̩⁵³
使劲儿	sz̩⁵³ t͡ɕĩɻ⁴⁵
使勁兒	sz̩⁵³ t͡ɕĩɻ⁴⁵
來	lai¹¹
來往	lai¹¹ vɒ̃⁵³
來路	lai¹¹ ləu⁴⁵
例	li⁴⁵
侧	t͡sʰaʔ²
侯	xəu¹¹
侵	t͡ɕʰiŋ¹¹
便	pie⁴⁵
便宜	pʰie¹¹ i⁴⁵
便衣	pie⁴⁵ i¹¹
便飯	pie⁴⁵ fæ̃⁴⁵
便饭	pie⁴⁵ fæ̃⁴⁵
俄毛子	ɣɤ¹¹ mau¹¹ t͡səʔ²
俗	ɕyəʔ⁵⁴
俗气	ɕyəʔ⁵⁴⁻² t͡ɕʰi⁴⁵
俗氣	ɕyəʔ⁵⁴⁻² t͡ɕʰi⁴⁵
保	pau⁵³
信	ɕiŋ⁴⁵
信封	ɕiŋ⁴⁵ fuŋ¹¹
信皮皮	ɕiŋ¹¹ pʰi¹¹ pʰi¹¹⁻⁴⁵
信筒	ɕiŋ⁴⁵ tʰuŋ⁵³
信紙	ɕiŋ⁴⁵ t͡sz̩⁵³
信纸	ɕiŋ⁴⁵ t͡sz̩⁵³
俩	lia⁵³
修	ɕiəu¹¹
俸	fəŋ⁴⁵
俺	ɣæ̃⁵³
俺们	ɣæ̃⁵³ mɤ¹
俺俩个	ɣæ̃⁵³⁻¹¹ lia⁵³ kɤ⁴⁵
俺倆個	ɣæ̃⁵³⁻¹¹ lia⁵³ kɤ⁴⁵
俺們	ɣæ̃⁵³ mɤ¹
倆	lia⁵³
個	kɤ⁴⁵
倍	pei⁴⁵
們	mɤ
倒	tau⁵³
倒楔	tau⁵³ ɕiəʔ²
倒茶	tau⁴⁵ t͡sʰa¹¹
倒运	tau⁵³ yŋ⁴⁵
倒運	tau⁵³ yŋ⁴⁵
倒酒	tau⁴⁵ t͡ɕiəu⁵³
倔圪榄	t͡ɕyəʔ² kəʔ⁵⁴⁻² læ̃⁵³
倔圪欖	t͡ɕyəʔ² kəʔ⁵⁴⁻² læ̃⁵³
候	xəu⁴⁵
倚	i⁵³
债	t͡sai⁴⁵
债主	t͡sai⁴⁵ t͡su⁵³
值	t͡səʔ⁵⁴
值日	t͡səʔ⁵⁴ ʐəʔ²
值錢	t͡səʔ⁵⁴ t͡ɕʰie¹¹
值钱	t͡səʔ⁵⁴ t͡ɕʰie¹¹
假	t͡ɕia⁵³
偉	vei⁵³
偏	pʰie¹¹
偏吃	pʰie¹¹ t͡sʰəʔ²
偏方	pʰie¹¹ fɒ̃¹¹
偏旁	pʰie¹¹ pʰɒ̃¹¹
做	t͡suəʔ²
做买卖	t͡suəʔ² mai⁵³ mai¹¹
做壽	t͡suəʔ²⁻⁴⁵ səu⁴⁵
做媒	t͡suəʔ²⁻⁵⁴ mei¹¹
做寿	t͡suəʔ²⁻⁴⁵ səu⁴⁵
做菜	t͡suəʔ² t͡sʰai⁴⁵
做衣裳的	t͡suəʔ²⁻⁵⁴ i¹¹ sɒ̃⁴⁵ təʔ⁴
做買賣	t͡suəʔ² mai⁵³ mai¹¹
做飯	t͡suəʔ² fæ̃⁴⁵
做飯的	t͡suəʔ² fæ̃⁴⁵ təʔ⁴
做饭	t͡suəʔ² fæ̃⁴⁵
做饭的	t͡suəʔ² fæ̃⁴⁵ təʔ⁴
停	tʰi¹¹
健	t͡ɕie¹¹
側	t͡sʰaʔ²
傘	sæ̃⁵³
備	pei⁴⁵
催	t͡sʰuei¹¹
傲	ɣau⁴⁵
債	t͡sai⁴⁵
債主	t͡sai⁴⁵ t͡su⁵³
傷	sɒ̃¹¹
傻	sa⁵³
傻屄	sa⁵³ pi¹¹
僅	t͡ɕiŋ⁵³
像	ɕiɒ̃⁴⁵
僕	pʰaʔ⁵⁴
僧	səŋ¹¹
價	t͡ɕia⁴⁵
價錢	t͡ɕia⁴⁵ t͡ɕʰie¹¹
億	i⁴⁵
儒	ʐu⁵³
優	iəu¹¹
優秀	iəu¹¹ ɕiəu⁴⁵
優點	iəu¹¹ tie⁵³
儿	əɻ¹¹
儿媳妇	əɻ¹¹ ɕiəʔ² fu⁴⁵
儿猫	əɻ¹¹ mau¹¹
儿蜻	əɻ¹¹ t͡ɕʰiŋ¹¹
儿马	əɻ¹¹ ma⁵³
兀	vəʔ²
兀來	vəʔ²⁻⁴⁵ lai⁵³
兀儿家	vɑɻ⁵⁴ t͡ɕia¹¹
兀兒家	vɑɻ⁵⁴ t͡ɕia¹¹
兀来	vəʔ²⁻⁴⁵ lai⁵³
兀裡	vəʔ² lɤ³
兀里	vəʔ² lɤ³
