㔢	t͡ɕyəʔ²
岩	ie¹¹
岸	ɣæ̃⁴⁵
峰	fəŋ¹¹
島	tau⁵³
崑	kʰuŋ¹¹
崔	t͡sʰuei¹¹
崖	ia¹¹
崙	luaŋ¹¹
崧	suŋ¹¹
崩儿颅	pʌ̃ɻ¹¹ ləu¹¹
崩兒顱	pʌ̃ɻ¹¹ ləu¹¹
崩米花儿	pəŋ¹¹ mi⁵³ xuɑɻ¹¹
崩米花兒	pəŋ¹¹ mi⁵³ xuɑɻ¹¹
崴	vai⁵³
嵌	t͡ɕʰie¹¹
嵩	suŋ¹¹
川	t͡sʰuæ̃¹¹
州	t͡səu¹¹
巡	ɕyŋ¹¹
巢	t͡sʰau¹¹
工	kuŋ¹¹
工人	kuŋ¹¹ ʐəŋ¹¹
工作	kuŋ¹¹ t͡suaʔ²
工厂	kuŋ¹¹ t͡sʰɒ̃⁵³
工廠	kuŋ¹¹ t͡sʰɒ̃⁵³
工資	kuŋ¹¹ t͡sz̩¹¹
工资	kuŋ¹¹ t͡sz̩¹¹
工錢	kuŋ¹¹ t͡ɕʰie¹¹
工钱	kuŋ¹¹ t͡ɕʰie¹¹
左	t͡sɤ⁵³
左半切	t͡sɤ⁵³ pæ̃⁴⁵ t͡ɕʰiaʔ²
左右	t͡sɤ⁵³ iəu⁴⁵
左手	t͡sɤ⁵³⁻¹¹ səu⁵³
左撇子	t͡sɤ⁵³ piəʔ² t͡səʔ³
巧	t͡ɕʰiau⁵³
己	t͡ɕi⁵³
巴	pa¹¹
巴不得	pa¹¹ pəʔ²⁻⁵⁴ tiəʔ²
巴望	pa¹¹ vɒ̃⁴⁵
巾	t͡ɕiŋ¹¹
币	pi⁴⁵
市	sz̩⁴⁵
布	pu⁴⁵
帆	fæ̃¹¹
帆布	fæ̃¹¹ pu⁴⁵
帆船	fæ̃¹¹ t͡sʰuæ̃¹¹
师	sz̩¹¹
希	ɕi¹¹
帐	t͡sɒ̃⁴⁵
帖	tʰiəʔ²
帖子	tʰiəʔ² t͡səʔ³
帝	ti⁴⁵
带	tai⁴⁵
師	sz̩¹¹
席	ɕiəʔ⁵⁴
席子	ɕiəʔ⁵⁴ t͡səʔ¹
帮	pɒ̃¹¹
帳	t͡sɒ̃⁴⁵
帶	tai⁴⁵
常	t͡sʰɒ̃¹¹
帽	mau⁴⁵
帽儿	mau⁴⁵ əɻ¹¹⁻⁵³
帽兒	mau⁴⁵ əɻ¹¹⁻⁵³
帽子	mau⁴⁵ t͡səʔ⁴
幅	fəʔ²
幣	pi⁴⁵
幫	pɒ̃¹¹
干	kæ̃¹¹
干井	kæ̃¹¹ t͡ɕiŋ⁵³
干儿子	kæ̃¹¹ əɻ¹¹ t͡səʔ²
干净	kæ̃¹¹ t͡ɕiŋ⁴⁵
干杯	kæ̃¹¹ pei¹¹
干果	kæ̃¹¹ kuɤ⁵³
平	pʰiŋ¹¹
平价	pʰiŋ¹¹ t͡ɕia⁴⁵
平信	pʰiŋ¹¹ ɕiŋ⁴⁵
平價	pʰiŋ¹¹ t͡ɕia⁴⁵
平輩	pʰiŋ¹¹ pei⁴⁵
平辈	pʰiŋ¹¹ pei⁴⁵
年	nie¹¹
年三十	nie¹¹ sæ̃¹¹ səʔ⁵⁴
年份	nie¹¹ fəŋ⁴⁵
年初	nie¹¹ t͡sʰu¹¹
年年	nie¹¹ nie¹¹
年底	nie¹¹ ti⁵³
年时	nie¹¹ sz̩¹¹
年時	nie¹¹ sz̩¹¹
年画	nie¹¹ xua⁴⁵
年畫	nie¹¹ xua⁴⁵
年貨	nie¹¹ xuɤ⁴⁵
年货	nie¹¹ xuɤ⁴⁵
年輕	nie¹¹ t͡ɕʰiŋ¹¹
年轻	nie¹¹ t͡ɕʰiŋ¹¹
年除	nie¹¹ t͡sʰu¹¹
并	piaŋ⁴⁵
幸	ɕiŋ⁴⁵
幹	kæ̃⁴⁵
幻	xuæ̃⁴⁵
幼	iəu⁴⁵
幼儿园	iəu⁴⁵ əɻ¹¹ ye¹¹
幼兒園	iəu⁴⁵ əɻ¹¹ ye¹¹
幽	iəu¹¹
幾	t͡ɕi⁵³
广	kuɒ̃⁵³
广告	kuɒ̃⁵³ kau⁴⁵
广播	kuɒ̃⁵³ pɤ¹¹
庄	t͡suɒ̃¹¹
庄稼	t͡suɒ̃¹¹ t͡ɕia⁴⁵
庄稼人	t͡suɒ̃¹¹ t͡ɕia⁴⁵ ʐəŋ¹¹
庆	t͡ɕʰiŋ⁴⁵
床	t͡sʰuɒ̃¹¹
序	ɕy⁴⁵
库	kʰu⁴⁵
应该	iŋ¹¹ kai¹¹
底	ti⁵³
店	tie⁴⁵
庙	miau⁴⁵
庙会	miau⁴⁵ xuei⁴⁵
庚	kəŋ¹¹
府	fu⁵³
废	fei⁴⁵
废物	fei⁴⁵ vəʔ²
废话	fei⁴⁵ xua⁴⁵
庫	kʰu⁴⁵
庭	tʰiŋ¹¹
庵	ɣæ̃¹¹
康	kʰɒ̃¹¹
廁	t͡sʰəʔ²
廉	lie¹¹
廚	t͡sʰu¹¹
廚子	t͡sʰu¹¹ t͡səʔ²
廚房	t͡sʰu¹¹ fɒ̃¹¹
廟	miau⁴⁵
廟會	miau⁴⁵ xuei⁴⁵
廢	fei⁴⁵
廢物	fei⁴⁵ vəʔ²
廢話	fei⁴⁵ xua⁴⁵
廣	kuɒ̃⁵³
廣告	kuɒ̃⁵³ kau⁴⁵
廣播	kuɒ̃⁵³ pɤ¹¹
延	ie¹¹
建	t͡ɕie⁴⁵
开	kʰai¹¹
开业	kʰai¹¹ iəʔ²
开事	kʰai¹¹ sz̩⁴⁵
开会	kʰai¹¹ xuei⁴⁵
开刃	kʰai¹¹ ʐəŋ⁴⁵
开市	kʰai¹¹ sz̩⁴⁵
开庭	kʰai¹¹ tʰiŋ¹¹
开春	kʰai¹¹ t͡sʰuŋ¹¹
开水	kʰai¹¹ suei⁵³
开灯	kʰai¹¹ təŋ¹¹
开裆裤	kʰai¹¹ tɒ̃¹¹ kʰu⁴⁵
开车的	kʰai¹¹ t͡sʰɤ¹¹ təʔ²
弃	t͡ɕʰi⁴⁵
弄	nuŋ⁴⁵
式	səʔ²
弓	kuŋ¹¹
弓長張	kuŋ¹¹ t͡sɒ̃¹¹ t͡sɒ̃¹¹
弓长张	kuŋ¹¹ t͡sɒ̃¹¹ t͡sɒ̃¹¹
引	iŋ⁵³
弟	ti⁴⁵
弟妹	ti⁴⁵ mei⁴⁵
弟媳妇子	ti⁴⁵ ɕiəʔ² fu⁴⁵ t͡səʔ⁴
弟媳婦子	ti⁴⁵ ɕiəʔ² fu⁴⁵ t͡səʔ⁴
张	t͡sɒ̃¹¹
弦	ɕye¹¹
弯	væ̃¹¹
弱	ʐaʔ²
張	t͡sɒ̃¹¹
強	t͡ɕʰiɒ̃¹¹
強盜	t͡ɕʰiɒ̃¹¹ tau⁴⁵
弹子	tæ̃⁵³ t͡səʔ¹
强	t͡ɕʰiɒ̃¹¹
强盗	t͡ɕʰiɒ̃¹¹ tau⁴⁵
彈子	tæ̃⁵³ t͡səʔ¹
彎	væ̃¹¹
归	kuei¹¹
当	tɒ̃¹¹
当家的	tɒ̃¹¹ t͡ɕia¹¹ təʔ²
当票	tɒ̃⁴⁵ pʰiau⁴⁵
当糠	tɒ̃¹¹ kɒ̃¹¹
录	ləu¹¹
彗	xuei⁴⁵
形	ɕiŋ¹¹
彭	pʰəŋ¹¹
影	iŋ⁵³
影子	iŋ⁵³ t͡səʔ¹
影眼法	iŋ⁵³⁻¹¹ nie⁵³ faʔ²
役	iəʔ²
彻	t͡sʰaʔ²
彻底	t͡sʰaʔ²⁻⁴⁵ ti⁵³
往	vɒ̃⁵³
往年	vɒ̃⁵³ nie¹¹
往往	vɒ̃⁵³⁻¹¹ vɒ̃⁵³
征	t͡səŋ¹¹
待	tai⁴⁵
待見	tai⁴⁵ t͡ɕie⁴⁵
待见	tai⁴⁵ t͡ɕie⁴⁵
很	xəŋ⁵³
律	lyəʔ²
律师	lyəʔ²⁻⁵⁴ sz̩¹¹
律師	lyəʔ²⁻⁵⁴ sz̩¹¹
後	xəu⁴⁵
後來	xəu⁴⁵ lai¹¹
後半夜	xəu⁴⁵ pæ̃⁴⁵ ie⁴⁵
後半年	xəu⁴⁵ pæ̃⁴⁵ nie¹¹
後場	xəu⁴⁵ t͡sʰɒ̃⁵³
後天	xəu⁴⁵ tʰie¹¹
後奔蛋	xəu⁴⁵ pəŋ¹¹ tæ̃⁴⁵
後婚婆姨	xəu⁴⁵ xuŋ¹¹ pʰɤ¹¹ i¹¹
後婚漢	xəu⁴⁵ xuŋ¹¹ xæ̃⁴⁵
後媽	xəu⁴⁵ ma¹¹
後年	xəu⁴⁵ nie¹¹
後影	xəu⁴⁵ iŋ⁵³
後悔	xəu⁴⁵ xuei⁵³
後抱抱	xəu⁴⁵ pau⁴⁵ pau⁴⁵⁻⁵³
後晌	xəu⁴⁵ t͡sʰɒ̃⁵³
後槽牙	xəu⁴⁵ t͡sʰau¹¹ nia¹¹
後爸爸	xəu⁴⁵ pa⁴⁵ pa⁴⁵⁻⁵³
後疙瘩	xəu⁴⁵ kəʔ²⁻⁵⁴ taʔ²
後福	xəu⁴⁵ fəʔ²
後老子	xəu⁴⁵ lau⁵³ t͡səʔ¹
後脊樑	xəu⁴⁵ t͡ɕiəʔ² niɒ̃⁴⁵
後襟	xəu⁴⁵ t͡ɕiŋ¹¹
後跟	xəu⁴⁵ kəŋ¹¹
後門	xəu⁴⁵ məŋ¹¹
後面	xəu⁴⁵ mie⁵³
後頭	xəu⁴⁵ tʰəu⁵³
徐	ɕy¹¹
徒	tʰu¹¹
徒弟	tʰu¹¹ ti⁴⁵
得	tiəʔ²
得脑	təʔ²⁻⁴⁵ nau⁵³
得腦	təʔ²⁻⁴⁵ nau⁵³
從	t͡sʰuŋ¹¹
從小	t͡sʰuŋ¹¹ ɕiau⁵³
從頭	t͡sʰuŋ¹¹ tʰəu¹¹
循	ɕyŋ¹¹
微	vei¹¹
徵	t͡səŋ¹¹
德	tiəʔ²
徹	t͡sʰaʔ²
徹底	t͡sʰaʔ²⁻⁴⁵ ti⁵³
徽	xuei¹¹
心	ɕiŋ¹¹
心疼	ɕiŋ¹¹ tʰəŋ¹¹
必	piəʔ²
忍	ʐəŋ⁵³
志	t͡sz̩⁴⁵
忘	vɒ̃⁴⁵
忘記	vɒ̃⁴⁵ t͡ɕi⁴⁵⁻⁵³
忘记	vɒ̃⁴⁵ t͡ɕi⁴⁵⁻⁵³
忙	mɒ̃¹¹
忠	t͡suŋ¹¹
快	kʰuai⁴⁵
快手	kʰuai⁴⁵ səu⁵³
念	nie⁴⁵
念书	nie⁴⁵ su¹¹
念書	nie⁴⁵ su¹¹
念珠	nie⁴⁵ t͡su¹¹
念經	nie⁴⁵ t͡ɕiŋ¹¹
念经	nie⁴⁵ t͡ɕiŋ¹¹
忽	xuaʔ²
忽兴	xuəʔ² ɕiŋ⁴⁵
忽喇	xuəʔ²⁻⁵⁴ t͡sʰz̩¹¹
忽塌	xuəʔ²⁻⁵⁴ tʰaʔ²
忽栾	xuəʔ²⁻⁵⁴ luæ̃¹¹
忽欒	xuəʔ²⁻⁵⁴ luæ̃¹¹
忽眨眼	xuəʔ² t͡saʔ⁵⁴⁻² nie⁵³
忽興	xuəʔ² ɕiŋ⁴⁵
忽雷	xuəʔ²⁻⁵⁴ luei¹¹
忽雷雨	xuəʔ²⁻⁵⁴ luei¹¹ y⁵³
怀	xuai¹¹
怀孕	xuai¹¹ yŋ⁴⁵
怀疑	xuai¹¹ i¹¹
怀表	xuai¹¹ piau⁵³
态	tʰai⁴⁵
怄气	ŋəu⁴⁵ t͡ɕʰi⁴⁵
怕	pʰa⁴⁵
怜	lie¹¹
思	sz̩¹¹
思謀	sz̩¹¹ mu¹¹
思谋	sz̩¹¹ mu¹¹
急	t͡ɕiəʔ²
急用	t͡ɕiəʔ² yŋ⁴⁵
急診	t͡ɕiəʔ²⁻⁴⁵ t͡səŋ⁵³
急诊	t͡ɕiəʔ²⁻⁴⁵ t͡səŋ⁵³
性	ɕiŋ⁴⁵
怨	ye⁴⁵
怨不得	ye⁴⁵ pəʔ²⁻⁵⁴ tiəʔ²
怪	kuai⁴⁵
总	t͡suŋ⁵³
总共	t͡suŋ⁵³ kuŋ⁴⁵
恆	xəŋ¹¹
恋	luæ̃¹¹
恋爱	luæ̃¹¹ ɣai⁴⁵
恒	xəŋ¹¹
恥	t͡sʰz̩⁵³
恩	ɣəŋ¹¹
恩人	ɣəŋ¹¹ ʐəŋ¹¹
恭	kuŋ¹¹
恭喜	kuŋ¹¹ ɕi⁵³
息	ɕiəʔ²
恰	t͡ɕʰiaʔ²
恳	kʰəŋ⁵³
恶	ɣaʔ²
恶圾	ɣaʔ²⁻⁵⁴ saʔ²
恶心	ɣaʔ²⁻⁵⁴ ɕiŋ¹¹
恶老痴	ɣaʔ²⁻⁴⁵ lau⁵³ t͡sz̩¹
恶风	ɣaʔ²⁻⁵⁴ fəŋ¹¹
恶风暴雨	ɣaʔ²⁻⁵⁴ fəŋ¹¹ pau⁴⁵ y⁵³
悔	xuei⁵³
悠千	iəu¹¹ t͡ɕʰie¹¹
悠悠伞	iəu¹¹ iəu¹¹⁻⁴⁵ sæ̃⁵³
悠悠傘	iəu¹¹ iəu¹¹⁻⁴⁵ sæ̃⁵³
悠韆	iəu¹¹ t͡ɕʰie¹¹
患	xuæ̃⁴⁵
悬	ɕye¹¹
悬崖	ɕye¹¹ ia¹¹
悲	pei¹¹
悼詞	tau⁴⁵ sz̩¹¹
悼词	tau⁴⁵ sz̩¹¹
情	t͡ɕʰiŋ¹¹
惊	t͡ɕiŋ¹¹
惊蛰	t͡ɕiŋ¹¹ t͡saʔ⁵⁴
惑疑	xuəʔ²⁻⁵⁴ i¹¹
惕	tʰiəʔ²
惜	ɕiəʔ²
惠	xuei⁴⁵
惡	ɣaʔ²
惡圾	ɣaʔ²⁻⁵⁴ saʔ²
惡老痴	ɣaʔ²⁻⁴⁵ lau⁵³ t͡sz̩¹
惡風	ɣaʔ²⁻⁵⁴ fəŋ¹¹
惡風暴雨	ɣaʔ²⁻⁵⁴ fəŋ¹¹ pau⁴⁵ y⁵³
惨	t͡sʰæ̃⁵³
想	ɕiɒ̃⁵³
想望	ɕiɒ̃⁵³ vɒ̃⁴⁵
惹	ʐɤ⁵³
愁	t͡sʰəu¹¹
意	i⁴⁵
愚	y¹¹
愛	ɣai⁴⁵
感	kæ̃⁵³
感冒	kæ̃⁵³ mau⁴⁵
感謝	kæ̃⁵³ ɕie⁴⁵
感谢	kæ̃⁵³ ɕie⁴⁵
愤	fəŋ⁴⁵
愿	ye⁴⁵
慈	t͡sʰz̩¹¹
態	tʰai⁴⁵
慎	səŋ⁴⁵
慕	mu⁴⁵
慘	t͡sʰæ̃⁵³
慢	mæ̃⁴⁵
慧	xuei⁴⁵
慪氣	ŋəu⁴⁵ t͡ɕʰi⁴⁵
慮	ly⁴⁵
慶	t͡ɕʰiŋ⁴⁵
憐	lie¹¹
憑	piŋ⁵³
憤	fəŋ⁴⁵
憨水	xæ̃¹¹ suei⁵³
憲	ɕie⁴⁵
懂	tuŋ⁵³
懇	kʰəŋ⁵³
應該	iŋ¹¹ kai¹¹
懒	læ̃⁵³
懒蛋	læ̃⁵³ tæ̃⁴⁵
懶	læ̃⁵³
懶蛋	læ̃⁵³ tæ̃⁴⁵
懷	xuai¹¹
懷孕	xuai¹¹ yŋ⁴⁵
懷疑	xuai¹¹ i¹¹
懷錶	xuai¹¹ piau⁵³
懸	ɕye¹¹
懸崖	ɕye¹¹ ia¹¹
戀	luæ̃¹¹
戀愛	luæ̃¹¹ ɣai⁴⁵
戌	ɕyəʔ²
戏	ɕi⁴⁵
成	t͡sʰəŋ¹¹
成夜	t͡sʰəŋ¹¹ ie⁴⁵
成天	t͡sʰəŋ¹¹ tʰie¹¹
成心	t͡sʰəŋ¹¹ ɕiŋ¹¹
我	ɣɤ⁵³
我们	ɣɤ⁵³ mɤ¹
我俩	ɣɤ⁵³⁻¹¹ lia⁵³
我俩个	ɣɤ⁵³⁻¹¹ lia⁵³ kɤ⁴⁵
我倆	ɣɤ⁵³⁻¹¹ lia⁵³
我倆個	ɣɤ⁵³⁻¹¹ lia⁵³ kɤ⁴⁵
我們	ɣɤ⁵³ mɤ¹
戒	t͡ɕie⁴⁵
或	xuəʔ²
战	t͡sæ̃⁴⁵
截	t͡ɕiəʔ⁵⁴
戰	t͡sæ̃⁴⁵
戲	ɕi⁴⁵
戳拐	t͡sʰuaʔ²⁻⁴⁵ kuai⁵³
戳火	t͡sʰuaʔ²⁻⁴⁵ xuɤ⁵³
戳皮	t͡sʰuaʔ²⁻⁵⁴ pʰi¹¹
戴孝	tai⁴⁵ ɕiau¹¹
戶	xu⁴⁵
户	xu⁴⁵
房	fɒ̃¹¹
房子	fɒ̃¹¹ t͡səʔ²
房檐檐	fɒ̃¹¹ ie¹¹ ie¹¹⁻⁴⁵
房租	fɒ̃¹¹ t͡su¹¹
所	suɤ⁵³
扁担	pie⁵³ tæ̃⁴⁵
扁擔	pie⁵³ tæ̃⁴⁵
扁雞	pæ̃⁵³ t͡ɕi¹¹
扁鸡	pæ̃⁵³ t͡ɕi¹¹
扇	sæ̃⁴⁵
扇子	sæ̃⁴⁵ t͡səʔ⁴
手	səu⁵³
手巾	səu⁵³ t͡ɕiŋ¹¹
手气	səu⁵³ t͡ɕʰi⁴⁵
手氣	səu⁵³ t͡ɕʰi⁴⁵
手电	səu⁵³ tie⁴⁵
手紋	səu⁵³ vəŋ¹¹
手紋紋	səu⁵³ vəŋ¹¹ vəŋ¹¹
手絹兒	səu⁵³ t͡ɕyeɻ⁴⁵
手纹	səu⁵³ vəŋ¹¹
手纹纹	səu⁵³ vəŋ¹¹ vəŋ¹¹
手绢儿	səu⁵³ t͡ɕyeɻ⁴⁵
手表	səu⁵³⁻¹¹ piau⁵³
手錶	səu⁵³⁻¹¹ piau⁵³
手閘	səu⁵³⁻¹¹ t͡saʔ⁵⁴
手闸	səu⁵³⁻¹¹ t͡saʔ⁵⁴
手電	səu⁵³ tie⁴⁵
才	t͡sʰai¹¹
扑	pʰaʔ²
打	ta⁵³
打卦	ta⁵³ kua⁴⁵
打吊針	ta⁵³ tiau⁴⁵ t͡səŋ¹¹
打吊针	ta⁵³ tiau⁴⁵ t͡səŋ¹¹
打呼噜	ta⁵³ xuəʔ² ləu⁴⁵
打呼嚕	ta⁵³ xuəʔ² ləu⁴⁵
打嚏喷	ta⁵³ tʰi⁴⁵ pʰəŋ⁵³
打嚏噴	ta⁵³ tʰi⁴⁵ pʰəŋ⁵³
打墓	ta⁵³ mu⁴⁵
打官司	ta⁵³ kuæ̃¹¹ sz̩¹¹
打帮	ta⁵³ pɒ̃¹¹
打幫	ta⁵³ pɒ̃¹¹
打架	ta⁵³ t͡ɕia⁴⁵
打球	ta⁵³ t͡ɕʰiəu¹¹
打胎	ta⁵³ tʰai¹¹
打針	ta⁵³ t͡səŋ¹¹
打鐵的	ta⁵³ tʰiəʔ² təʔ³
打针	ta⁵³ t͡səŋ¹¹
打铁的	ta⁵³ tʰiəʔ² təʔ³
打閃	ta⁵³⁻¹¹ sæ̃⁵³
打闪	ta⁵³⁻¹¹ sæ̃⁵³
打食	ta⁵³⁻¹¹ səʔ⁵⁴
打鼾睡	ta⁵³ xæ̃¹¹ suei⁴⁵
托	tʰuaʔ²
托付	tʰuaʔ² fu⁴⁵
托儿所	tuɑɻ¹¹ suɤ⁵³
托兒所	tuɑɻ¹¹ suɤ⁵³
托夢	tʰuaʔ² məŋ⁴⁵
托梦	tʰuaʔ² məŋ⁴⁵
托运	tʰuaʔ² yŋ⁴⁵
托運	tʰuaʔ² yŋ⁴⁵
扣扣	kʰəu⁴⁵ kʰəu⁴⁵⁻⁵³
扣眼眼	kʰəu⁴⁵ nie⁵³ nie⁵³⁻¹¹
扣門門	kʰəu⁴⁵ məŋ¹¹ məŋ¹¹⁻⁴⁵
扣门门	kʰəu⁴⁵ məŋ¹¹ məŋ¹¹⁻⁴⁵
扣鼻子	kʰəu⁴⁵ piəʔ⁵⁴ t͡səʔ¹
执	t͡səʔ²
执事	t͡səʔ² sz̩⁴⁵
执照	t͡səʔ² t͡sau⁴⁵
扩	kʰuaʔ²
扫帚	sau⁴⁵ t͡suəʔ²
扫帚星	sau⁴⁵ t͡suəʔ² ɕiŋ¹¹
扫星	sau⁴⁵ ɕiŋ¹¹
扬	iɒ̃¹¹
扬州	iɒ̃¹¹ t͡səu¹¹
扬州人	iɒ̃¹¹ t͡səu¹¹ ʐəŋ¹¹
扭丝旁	niəu⁵³ sz̩¹¹ pʰɒ̃¹¹
扭絲旁	niəu⁵³ sz̩¹¹ pʰɒ̃¹¹
扰	ʐau⁵³
扳	pæ̃¹¹
扳不倒儿	pæ̃¹¹ pəʔ²⁻⁴⁵ tɒoɻ⁵³
扳不倒兒	pæ̃¹¹ pəʔ²⁻⁴⁵ tɒoɻ⁵³
扳子	pæ̃¹¹ t͡səʔ²
扶	fu¹¹
找	t͡sau⁵³
找錢	t͡sau⁵³ t͡ɕʰie¹¹
找钱	t͡sau⁵³ t͡ɕʰie¹¹
承	t͡sʰəŋ¹¹
承認	t͡sʰəŋ¹¹ ʐəŋ⁴⁵
承认	t͡sʰəŋ¹¹ ʐəŋ⁴⁵
技	t͡ɕi⁴⁵
抄本	t͡sʰau¹¹ pəŋ⁵³
把	pa⁵³
把尿	pa⁵³ niau⁴⁵
把脈	pa⁵³ miəʔ²
把脉	pa⁵³ miəʔ²
把脚	pa⁵³ t͡ɕyəʔ²
把腳	pa⁵³ t͡ɕyəʔ²
投	tʰəu¹¹
抖	təu⁵³
抢	t͡ɕʰiɒ̃⁵³
护	xu⁴⁵
报	pau⁴⁵
报丧	pau⁴⁵ sɒ̃¹¹
报告	pau⁴⁵ kau⁴⁵
报喜	pau⁴⁵ ɕi⁵³
报纸	pau⁴⁵ t͡sz̩⁵³
报考	pau⁴⁵ kʰau⁵³
抬	tʰai¹¹
抬头	tʰai¹¹ tʰəu¹¹
抬杠	tʰai¹¹ kɒ̃⁴⁵
抬槓	tʰai¹¹ kɒ̃⁴⁵
抬頭	tʰai¹¹ tʰəu¹¹
抱	pu⁴⁵
抵	ti⁵³
抹布	maʔ² pu⁴⁵
抹桌布	maʔ²⁻⁵⁴ t͡suaʔ² pu⁴⁵
押	ia²
押金	ia²⁻⁵⁴ t͡ɕiŋ¹¹
抽	t͡sʰəu¹¹
抽烟	t͡sʰəu¹¹ ie¹¹
抽煙	t͡sʰəu¹¹ ie¹¹
抽鞋拔子	t͡sʰəu¹¹ xai¹¹ paʔ⁵⁴ t͡səʔ¹
拆	t͡sʰaʔ²
拉	la¹¹
拉稀	laʔ²⁻⁵⁴ ɕi¹¹
拉面	la¹¹ mie⁴⁵
拉麵	la¹¹ mie⁴⁵
拍子	pʰai¹¹ t͡səʔ²
拍馬屁	pʰai¹¹ ma⁵³ pʰi⁴⁵
拍马屁	pʰai¹¹ ma⁵³ pʰi⁴⁵
拐孤	kuai⁵³ ku¹¹
拐棍	kuai⁵³ kuŋ⁴⁵
拔	paʔ⁵⁴
拔河	paʔ⁵⁴ xɤ¹¹
拔罐子	pa⁵⁴⁻² kuæ̃⁴⁵ t͡səʔ⁴
拖	tʰɤ¹¹
拖布	tʰɤ¹¹ pu⁴⁵
拖拉机	tʰɤ¹¹ la¹¹ t͡ɕi¹¹
拖拉機	tʰɤ¹¹ la¹¹ t͡ɕi¹¹
拖斗	tʰɤ¹¹ təu⁵³
拖鞋	tʰɤ¹¹ xai¹¹
拘	t͡ɕy¹¹
招	t͡sau¹¹
拜	pai⁴⁵
拜壽	pai⁴⁵ səu⁴⁵
拜天地	pai⁴⁵ tʰie¹¹ ti⁴⁵
拜寿	pai⁴⁵ səu⁴⁵
拜帖	pai⁴⁵ tʰiəʔ²
拜年	pai⁴⁵ nie¹¹
拜訪	pai⁴⁵ fɒ̃⁵³
拜访	pai⁴⁵ fɒ̃⁵³
拢	luŋ⁵³
拢共	luŋ⁵³ kuŋ⁴⁵
拣	t͡ɕie⁵³
拨	paʔ²
择	t͡saʔ⁵⁴
拳	t͡ɕʰye¹¹
拾掇	səʔ⁵⁴ tuəʔ²
拿	na¹¹
持	t͡sʰz̩¹¹
挂	kua⁴⁵
挂号信	kua⁴⁵ xau⁴⁵ ɕiŋ⁴⁵
挂钟	kua⁴⁵ t͡suŋ¹¹
挂黑板	kua⁴⁵ xəʔ²⁻⁴⁵ pæ̃⁵³
指	t͡səʔ²
指头缝子	t͡səʔ² tʰəu⁴⁵ fəŋ⁴⁵ t͡səʔ⁴
指掐	t͡səʔ²⁻⁵⁴ t͡ɕʰiaʔ²
指掐花	t͡səʔ²⁻⁵⁴ t͡ɕʰiaʔ²⁻⁵⁴ xua¹¹
指甲	t͡səʔ²⁻⁵⁴ t͡ɕiaʔ²
指頭縫子	t͡səʔ² tʰəu⁴⁵ fəŋ⁴⁵ t͡səʔ⁴
按摩	ɣæ̃⁴⁵ mɤ¹¹
挖匙子	va¹¹ sz̩¹¹ t͡səʔ²
挣钱	t͡səŋ⁴⁵ t͡ɕʰie¹¹
挥	xuei¹¹
挪	nɤ¹¹
振	t͡səŋ⁴⁵
挺	tʰiŋ⁵³
捆	kʰuŋ⁵³
捎	sau¹¹
捎馬馬	sau¹¹ ma⁵³ ma⁵³⁻¹¹
捎马马	sau¹¹ ma⁵³ ma⁵³⁻¹¹
捏	niəʔ²
捏揣	niəʔ²⁻⁴⁵ t͡sʰuaʔ⁵³
捐	t͡ɕye¹¹
捐稅	t͡ɕye¹¹ suei⁴⁵
捐税	t͡ɕye¹¹ suei⁴⁵
捞	lau¹¹
捞面	lau¹¹ mie⁴⁵
换	xuæ̃⁴⁵
捣砸	tau⁵³⁻¹¹ t͡saʔ⁵⁴
捣蛋	tau⁵³ tæ̃⁴⁵
捲子	t͡ɕye⁵³ t͡səʔ¹
捷	t͡ɕiəʔ⁵⁴
掃帚	sau⁴⁵ t͡suəʔ²
掃帚星	sau⁴⁵ t͡suəʔ² ɕiŋ¹¹
掃星	sau⁴⁵ ɕiŋ¹¹
掌	t͡sɒ̃⁵³
掏空	tʰau¹¹ kʰuŋ⁴⁵
排	pʰai¹¹
排头	pʰai¹¹ tʰəu¹¹
排尾	pʰai¹¹ vei⁵³
排球	pʰai¹¹ t͡ɕʰiəu¹¹
排筏	pʰai¹¹ faʔ⁵⁴
排頭	pʰai¹¹ tʰəu¹¹
掙錢	t͡səŋ⁴⁵ t͡ɕʰie¹¹
掛	kua⁴⁵
掛號信	kua⁴⁵ xau⁴⁵ ɕiŋ⁴⁵
掛鐘	kua⁴⁵ t͡suŋ¹¹
掛黑板	kua⁴⁵ xəʔ²⁻⁴⁵ pæ̃⁵³
探	tʰæ̃⁴⁵
接	t͡ɕiəʔ²
接济	t͡ɕiəʔ² t͡ɕi⁴⁵
接濟	t͡ɕiəʔ² t͡ɕi⁴⁵
接生	t͡ɕiəʔ²⁻⁵⁴ səŋ¹¹
控	kʰuŋ⁴⁵
推	tʰuei¹¹
推子	tʰuei¹¹ t͡səʔ²
揀	t͡ɕie⁵³
提	tʰi¹¹
提土旁	tʰiəʔ²⁻⁴⁵ tʰu⁵³ pʰɒ̃¹¹
提手旁	tʰiəʔ²⁻⁴⁵ səu⁵³ pʰɒ̃¹¹
提早	tʰi¹¹ t͡sau⁵³
揖	iəʔ²
揚	iɒ̃¹¹
揚州	iɒ̃¹¹ t͡səu¹¹
揚州人	iɒ̃¹¹ t͡səu¹¹ ʐəŋ¹¹
換	xuæ̃⁴⁵
握	vaʔ²
