sende	ˈsɛnə
pris	ˈpɾiːs
problemet	pɾʊˈbleːmə
vakker	ˈʋɑkəɾ
foregår	ˈfoːɾəˌɡoːɾ
syk	ˈsyːk
skyte	ˈʃyːtə
live	ˈlɑɪʋ
barnet	ˈbɑːɳə
prate	ˈpɾɑːtə
ærlig	ˈæːɭɪ
farlig	ˈfɑːɭɪ
bruk	ˈbɾʉːk
lot	ˈluːt
bo	ˈbuː
drikke	ˈdɾɪkə
svarte	ˈsʋɑʈə
gratulerer	ɡɾɑtʊˈleːɾəɾ
land	ˈlɑn
større	ˈstœɾə
flink	ˈflɪŋk
gifte	ˈjɪftə
rette	ˈɾɛtə
legger	ˈlɛɡəɾ
fortsette	ˈfɔʈˌʂɛtə
avtale	ˈɑːʋˌtɑːlə
nummer	ˈnʊməɾ
slipper	ˈʃlɪpəɾ
datteren	ˈdɑtəɳ
kvelden	ˈkʋɛln
lese	ˈleːsə
henter	ˈhɛntəɾ
døra	ˈdøːɾɑ
lurer	ˈlʉːɾəɾ
slår	ˈʃloːɾ
jaså	ˈjɑˌsoː
gøy	ˈɡœʏ
bekymret	bəˈçʏmɾət
ofte	ˈɔftə
herre	ˈhæɾə
endelig	ˈɛndəlɪ
ansiktet	ˈɑnsɪktə
masse	ˈmɑsə
åtte	ˈɔtə
hjertet	ˈjæʈə
charlie	ˈtʃɑːɭɪ
l	ˈæɭ
foreldrene	fɔˈɾɛldɾənə
døren	ˈdøːɳ
kun	ˈkʊn
sto	ˈstuː
betaler	bəˈtɑːləɾ
ung	ˈʊŋ
skjøt	ˈʃøːt
datter	ˈdɑtəɾ
egne	ˈæɪnə
skade	ˈskɑːdə
absolutt	ɑbsʊˈlʊt
traff	ˈtɾɑf
enkelt	ˈɛŋkəlt
hent	ˈhɛnt
klokka	ˈklɔkɑ
slippe	ˈʃlɪpə
forklare	fɔɾˈklɑːɾə
stole	ˈstuːlə
skutt	ˈskʊt
venstre	ˈʋɛnstɾə
råd	ˈɾoːd
