㞎㞎	pa̠⁴¹ pa̠³
蕭	ɕi̯ɒu̯³³
蕹	ŋən⁴⁵
蕹菜	ŋən⁴⁵ t͡sʰai̯⁴⁵
薇	u̯e̞i̯¹³
薑	t͡ɕi̯æn³³
薛	ɕi̯e̞²⁴
薩	sa̠²⁴
薺	t͡ɕi⁴⁵
藍	l̃an¹³
藍網	l̃an¹³ u̯an⁴¹
藏	t͡san¹³
藕	ŋəu̯⁴¹
藠头	t͡ɕi̯ɒu̯²¹⁻¹¹ təu̯¹³
藠头骨	t͡ɕi̯ɒu̯²¹⁻¹¹ təu̯¹³ ku³
藠子	t͡ɕi̯ɒu̯²¹⁻¹¹ t͡sz̩³
藠頭	t͡ɕi̯ɒu̯²¹⁻¹¹ təu̯¹³
藠頭骨	t͡ɕi̯ɒu̯²¹⁻¹¹ təu̯¹³ ku³
藤	tən¹³
藥	i̯o²⁴
藥粉子	i̯o²⁴ ɸən⁴¹ t͡sz̩³
藿	xo¹³
蘇	səu̯³³
蘋果	pin¹³ ko⁴¹
蘭	l̃an¹³
蘭花根	l̃an¹³ ɸa̠³³ kən³³
蘿蔔	lo¹³ pu³
虎	ɸu⁴¹
虐	n̠ʲi̯o²⁴
虑	le̞i̯⁴⁵
虔	t͡ɕi̯ẽ¹³
處暑	t͡ɕʰy⁴⁵ ɕy⁴¹
虚	ɕy³³
虛	ɕy³³
號	xɒu̯⁴⁵
號子	xɒu̯²¹⁻¹¹ t͡sz̩³
虧	kʰu̯ai̯³³
虧本	kʰu̯e̞i̯³³ pən⁴¹
虫	t͡sən¹³
虫咬咬	t͡sən¹³ ŋa̠⁴⁵ ŋa̠³
虫牙	t͡sən¹³ ŋa̠¹³
虱	sɤ̞²⁴
虹	kan⁴⁵
虼蚤子	kɤ̞²⁴ t͡sɒu̯⁴¹ t͡sz̩³
虽	se̞i̯³³
虾	xa̠³³
虾仁	ɕi̯a̠³³ ʐən¹³
虾公子	xa̠³³ kən³³ t͡sz̩³
虾子	xa̠³³ t͡sz̩³
虾米	ɕi̯a̠³³ mi⁴¹
蚁	n̠ʲi²¹
蚁子	n̠ʲi⁴¹ t͡sz̩³
蚂	ma̠⁴¹
蚂蚁	ma̠⁴¹ n̠ʲi⁴⁵
蚂蚁子	ma̠⁴¹ n̠ʲi²¹⁻¹¹ t͡sz̩³
蚂蟥	ma̠⁴¹ u̯an¹³
蚊	mən³³
蚊子	mən³³ t͡sz̩³
蚊帐	u̯ən¹³ t͡san⁴⁵
蚊帳	u̯ən¹³ t͡san⁴⁵
蚌	pan²¹
蚌壳	pan²¹⁻¹¹ kʰo²⁴
蚌殼	pan²¹⁻¹¹ kʰo²⁴
蚕	t͡san¹³
蚕子	t͡san¹³ t͡sz̩³
蚕子子	t͡san¹³ t͡sz̩³ t͡sz̩⁴¹
蚕子屎	t͡san¹³ t͡sz̩³ sz̩⁴¹
蚕豆	t͡san¹³ təu̯²¹⁻¹¹
蚜	i̯a̠¹³
蚣	kən³³
蚤	t͡sɒu̯⁴¹
蚱蜢子	t͡sa̠²⁴ mən⁴⁵ t͡sz̩³
蛆婆子	t͡ɕʰi³³ po¹³ t͡sz̩³
蛇	sa̠¹³
蛋	tan²¹
蛋卷子	tan²¹⁻¹¹ t͡ɕy̯ẽ⁴¹ t͡sz̩³
蛋壳子	tan²¹⁻¹¹ kʰo²⁴ t͡sz̩³
蛋壳子球	tan²¹⁻¹¹ kʰo²⁴ t͡sz̩³ t͡ɕʰi̯əu̯¹³
蛋殼子	tan²¹⁻¹¹ kʰo²⁴ t͡sz̩³
蛋殼子球	tan²¹⁻¹¹ kʰo²⁴ t͡sz̩³ t͡ɕʰi̯əu̯¹³
蛋糕	tan²¹⁻¹¹ kɒu̯³³
蛐蛐	t͡ɕʰi³³ t͡ɕʰi³³
蛤	kɤ̞¹³
蛤蟆	kɤ̞¹³ ma̠³
蛤蟆嫩子	kɤ̞¹³ ma̠¹³ lən⁴⁵ t͡sz̩³
蛤蟆子	kɤ̞¹³ ma̠³ t͡sz̩³
蛮	man¹³
蛮工	man¹³ kən³³
蛮工子	man¹³ kən³³ t͡sz̩³
蛮绊筋	man¹³ pʰan⁴⁵ t͡ɕin³³
蜂	xən³³
蜂窠子	xən³³ kʰo³³ t͡sz̩³
蜈	u¹³
蜈蚣	u¹³ kən³³
蜈蚣虫	u¹³ kən³³ t͡sʰən¹³
蜈蚣蟲	u¹³ kən³³ t͡sʰən¹³
蜗牛	o³³ n̠ʲi̯əu̯¹³
蜘蛛	t͡sz̩²⁴ t͡ɕy³³
蜘蛛子	t͡sz̩²⁴ t͡ɕy³³ t͡sz̩³
蜘蛛蒙子	t͡sz̩²⁴ t͡ɕy³³ man³³ t͡sz̩³
蜜	mi²⁴
蜜糖	mi²⁴ tan¹³
蜜蜂	mi²⁴ xən³³
蜜蜂子	mi²⁴ xən³³ t͡sz̩³
蜡	la̠²⁴
蜡台	la̠²⁴ tai̯¹³
蝇	in¹³
蝉	ɕy̯ẽ¹³
蝉蛉子	ɕy̯ẽ¹³ li̯æn¹³ t͡sz̩³
蝎	ɕi̯e̞²⁴
蝎子	ɕi̯e̞²⁴ t͡sz̩³
蝗	ɸan¹³
蝗虫	ɸan¹³ t͡sən¹³
蝗蟲	ɸan¹³ t͡sən¹³
蝙	pi̯ẽ⁴¹
蝠	ɸu²⁴
蝦	xa̠³³
蝦仁	ɕi̯a̠³³ ʐən¹³
蝦公子	xa̠³³ kən³³ t͡sz̩³
蝦子	xa̠³³ t͡sz̩³
蝦米	ɕi̯a̠³³ mi⁴¹
蝨	sɤ̞²⁴
蝴	ɸu¹³
蝴蝶	ɸu¹³ tʰi̯e̞²⁴
蝴蝶子	ɸu¹³ tʰi̯e̞²⁴ t͡sz̩³
蝶	tʰi̯e̞²⁴
蝸牛	o³³ n̠ʲi̯əu̯¹³
螃	pan¹³
螃蟹	pan¹³ xai̯⁴¹
融	in¹³
螞	ma̠⁴¹
螞蟥	ma̠⁴¹ u̯an¹³
螞蟻	ma̠⁴¹ n̠ʲi⁴⁵
螞蟻子	ma̠⁴¹ n̠ʲi²¹⁻¹¹ t͡sz̩³
螢火蟲	i̯æn¹³ xo⁴¹ t͡sən¹³
螺	lo¹³
螺拐	lo¹³ ku̯ai̯⁴¹
螺陀	lo¹³ to³
蟆𧊅	ma̠¹³ ku̯ai̯⁴¹
蟬	ɕy̯ẽ¹³
蟬蛉子	ɕy̯ẽ¹³ li̯æn¹³ t͡sz̩³
蟲	t͡sən¹³
蟲咬咬	t͡sən¹³ ŋa̠⁴⁵ ŋa̠³
蟲牙	t͡sən¹³ ŋa̠¹³
蟹	xai̯⁴¹
蟹黃	xai̯⁴¹ ɸan¹³
蟹黄	xai̯⁴¹ ɸan¹³
蟻	n̠ʲi²¹
蟻子	n̠ʲi⁴¹ t͡sz̩³
蠅	in¹³
蠍	ɕi̯e̞²⁴
蠍子	ɕi̯e̞²⁴ t͡sz̩³
蠚	xo²⁴
蠟	la̠²⁴
蠟臺	la̠²⁴ tai̯¹³
蠢	t͡ɕʰyn⁴¹
蠢人	t͡ɕʰyn⁴¹ ʐən¹³
蠢人子	t͡ɕʰyn⁴¹ ʐən¹³ t͡sz̩³
蠢宝	t͡ɕʰyn⁴¹ pɒu̯⁴¹
蠢寶	t͡ɕʰyn⁴¹ pɒu̯⁴¹
蠢气	t͡ɕʰyn⁴¹ t͡ɕʰi⁴⁵
蠢氣	t͡ɕʰyn⁴¹ t͡ɕʰi⁴⁵
蠢話	t͡ɕʰyn⁴¹ ɸa̠²¹⁻¹¹
蠢話子	t͡ɕʰyn⁴¹ ɸa̠²¹⁻¹¹ t͡sz̩³
蠢话	t͡ɕʰyn⁴¹ ɸa̠²¹⁻¹¹
蠢话子	t͡ɕʰyn⁴¹ ɸa̠²¹⁻¹¹ t͡sz̩³
蠶	t͡san¹³
蠶子	t͡san¹³ t͡sz̩³
蠶子子	t͡san¹³ t͡sz̩³ t͡sz̩⁴¹
蠶子屎	t͡san¹³ t͡sz̩³ sz̩⁴¹
蠶豆	t͡san¹³ təu̯²¹⁻¹¹
蠻	man¹³
蠻工	man¹³ kən³³
蠻工子	man¹³ kən³³ t͡sz̩³
蠻絆筋	man¹³ pʰan⁴⁵ t͡ɕin³³
血	ɕi̯e̞²⁴
行	ɕin¹³
行蛮	ɕin¹³ man¹³
行蠻	ɕin¹³ man¹³
行角	ɕin¹³ t͡ɕi̯o²⁴
行角子	ɕin¹³ t͡ɕi̯o²⁴ t͡sz̩³
術	ɕy²⁴
衔	xan¹³
街	kai̯³³
衙	i̯a̠¹³
衛	u̯e̞i̯²¹
衛生	u̯e̞i̯⁴⁵ sən³³
衛生丸子	u̯e̞i̯⁴⁵ sən³³ y̯ẽ¹³ t͡sz̩³
衛生衣	u̯e̞i̯⁴⁵ sən³³ i³³
衛生褲	u̯e̞i̯⁴⁵ sən³³ kʰu⁴⁵
衣	i³³
衣服	i³³ ɸu³
衣毛子	i³³ mɒu̯¹³ t͡sz̩³
衣袖子	i³³ ɕi̯əu̯⁴⁵ t͡sz̩³
衣襟	i³³ t͡ɕin³³
补	pu⁴¹
补巴	pu⁴¹ pa̠³³
表	pi̯ɒu̯⁴¹
表兄	pi̯ɒu̯⁴¹ ɕin³³
表嫂	pi̯ɒu̯⁴¹ sɒu̯⁴¹
表面子	pi̯ɒu̯⁴¹ mi̯ẽ²¹⁻¹¹ t͡sz̩³
衫	san³³
袄	ŋɒu̯⁴¹
袋	tai̯²¹
袍	pɒu̯¹³
袖	ɕi̯əu̯⁴⁵
袜	u̯a̠²⁴
被	pe̞i̯²¹
被告	pe̞i̯²¹⁻¹¹ kɒu̯⁴⁵
被窝	pe̞i̯²¹⁻¹¹ o³³
被窩	pe̞i̯²¹⁻¹¹ o³³
裁縫師傅	t͡sai̯¹³ xən¹³ sz̩³³ ɸu³
裁缝师傅	t͡sai̯¹³ xən¹³ sz̩³³ ɸu³
装	t͡ɕy̯æn³³
装五十三	t͡ɕy̯æn³³ u⁴¹ sz̩²⁴ san³³
装五十三两	t͡ɕy̯æn³³ u⁴¹ sz̩²⁴ san³³ li̯æn⁴¹
装佯妈	t͡ɕy̯æn³³ i̯æn¹³ ma̠³³
装佯妈绿	t͡ɕy̯æn³³ i̯æn¹³ ma̠³³ ləu̯²⁴
装佯意子	t͡ɕy̯æn³³ i̯æn¹³ i⁴⁵ t͡sz̩³
装妈	t͡ɕy̯æn³³ ma̠³³
装宝	t͡ɕy̯æn³³ pɒu̯⁴¹
装硕	t͡ɕy̯æn³³ so⁴⁵
装迷糊	t͡ɕy̯æn³³ mi⁴⁵ ɸu³
装饭	t͡ɕy̯æn³³ ɸan²¹⁻¹¹
裆	tan³³
裕	y⁴⁵
裙	t͡ɕʰyn¹³
裙子	t͡ɕʰyn¹³ t͡sz̩³
補	pu⁴¹
補巴	pu⁴¹ pa̠³³
裝	t͡ɕy̯æn³³
裝五十三	t͡ɕy̯æn³³ u⁴¹ sz̩²⁴ san³³
裝五十三兩	t͡ɕy̯æn³³ u⁴¹ sz̩²⁴ san³³ li̯æn⁴¹
裝佯媽	t͡ɕy̯æn³³ i̯æn¹³ ma̠³³
裝佯媽綠	t͡ɕy̯æn³³ i̯æn¹³ ma̠³³ ləu̯²⁴
裝佯意子	t͡ɕy̯æn³³ i̯æn¹³ i⁴⁵ t͡sz̩³
裝媽	t͡ɕy̯æn³³ ma̠³³
裝寶	t͡ɕy̯æn³³ pɒu̯⁴¹
裝碩	t͡ɕy̯æn³³ so⁴⁵
裝迷糊	t͡ɕy̯æn³³ mi⁴⁵ ɸu³
裝飯	t͡ɕy̯æn³³ ɸan²¹⁻¹¹
裡	li⁴¹
裡手	li⁴¹ səu̯⁴¹
裡面	li⁴¹ mi̯ẽ³
裡頭	li⁴¹ təu̯³
裤	kʰu⁴⁵
裤子	kʰu⁴⁵ t͡sz̩³
裤带	kʰu⁴⁵ tai̯⁴⁵
裤带子	kʰu⁴⁵ tai̯⁴⁵ t͡sz̩³
裤脚	kʰu⁴⁵ t͡ɕi̯o²⁴
裤腰	kʰu⁴⁵ i̯ɒu̯³³
裤裆	kʰu⁴⁵ tan³³
裸	lo⁴¹
裹	ko⁴¹
裹脚布	ko⁴¹ t͡ɕi̯o²⁴ pu⁴⁵
裹腳布	ko⁴¹ t͡ɕi̯o²⁴ pu⁴⁵
褂	ku̯a̠⁴⁵
褲	kʰu⁴⁵
褲子	kʰu⁴⁵ t͡sz̩³
褲帶	kʰu⁴⁵ tai̯⁴⁵
褲帶子	kʰu⁴⁵ tai̯⁴⁵ t͡sz̩³
褲腰	kʰu⁴⁵ i̯ɒu̯³³
褲腳	kʰu⁴⁵ t͡ɕi̯o²⁴
褲襠	kʰu⁴⁵ tan³³
襄	ɕi̯æn³³
襖	ŋɒu̯⁴¹
襠	tan³³
襪	u̯a̠²⁴
襻	pʰan⁴⁵
襻子	pʰan⁴⁵ t͡sz̩³
西	ɕi³³
西服	ɕi³³ ɸu²⁴
西狗吃月	ɕi³³ kəu̯⁴¹ t͡ɕʰi̯a̠²⁴ y̯e̞²⁴
西瓜	ɕi³³ ku̯a̠³³
西粉	ɕi³³ ɸən⁴¹
西紅柿	ɕi³³ xən¹³ sz̩²¹⁻¹¹
西红柿	ɕi³³ xən¹³ sz̩²¹⁻¹¹
西装	ɕi³³ t͡ɕy̯æn³³
西裝	ɕi³³ t͡ɕy̯æn³³
西边	ɕi³³ pi̯ẽ³³
西邊	ɕi³³ pi̯ẽ³³
要	i̯ɒu̯³³
要得	i̯ɒu̯⁴⁵ tɤ̞²⁴
要紧	i̯ɒu̯⁴⁵ t͡ɕin⁴¹
要緊	i̯ɒu̯⁴⁵ t͡ɕin⁴¹
覆	ɸu²⁴
見	t͡ɕi̯ẽ⁴⁵
見氣	t͡ɕi̯ẽ⁴⁵ t͡ɕʰi⁴⁵
規	ku̯e̞i̯³³
視	sz̩⁴⁵
親	t͡ɕʰin³³
親事	t͡ɕʰin³³ ɕi²¹⁻¹¹
親像	t͡ɕʰin³³ t͡ɕi̯æn²¹⁻¹¹
親家娘	t͡ɕʰin⁴⁵ ka̠³³ n̠ʲi̯æn¹³
親家母	t͡ɕʰin⁴⁵ ka̠³³ mo⁴¹
親家爹爹	t͡ɕʰin⁴⁵ ka̠³³ ti̯e̞³³ ti̯e̞³
親家爺	t͡ɕʰin⁴⁵ ka̠³³ i̯a̠¹³
親家翁	t͡ɕʰin⁴⁵ ka̠³³ ŋən³³
親戚	t͡ɕʰin³³ t͡ɕʰi²⁴
覺	t͡ɕʰi̯o²⁴
觀	kõ³³
觀音暴	kʰõ³³ in³³ pɒu̯²¹⁻¹¹
觀音菩薩	kʰõ³³ in³³ pu¹³ sa̠²⁴
见	t͡ɕi̯ẽ⁴⁵
见气	t͡ɕi̯ẽ⁴⁵ t͡ɕʰi⁴⁵
观	kõ³³
观音暴	kʰõ³³ in³³ pɒu̯²¹⁻¹¹
观音菩萨	kʰõ³³ in³³ pu¹³ sa̠²⁴
规	ku̯e̞i̯³³
视	sz̩⁴⁵
觉	t͡ɕʰi̯o²⁴
角	t͡ɕi̯o²⁴
角票	t͡ɕi̯o²⁴ pʰi̯ɒu̯⁴⁵
角色	t͡ɕi̯o²⁴ sɤ̞²⁴
解	kai̯⁴¹
解大手	kai̯⁴¹ tai̯²¹⁻¹¹ səu̯⁴¹
解小手	kai̯⁴¹ ɕi̯ɒu̯⁴¹ səu̯⁴¹
解手紙	kai̯⁴¹ səu̯⁴¹ t͡sz̩⁴¹
解手纸	kai̯⁴¹ səu̯⁴¹ t͡sz̩⁴¹
触	t͡sʰəu̯²⁴
觸	t͡sʰəu̯²⁴
言	i̯ẽ¹³
計	t͡ɕi⁴⁵
討嫌	tʰɒu̯⁴¹ ɕi̯ẽ¹³
討米	tʰɒu̯⁴¹ mi⁴¹
討賬	tʰɒu̯⁴¹ t͡san⁴⁵
訓	ɕyn⁴⁵
託	tʰo²⁴
記	t͡ɕi⁴⁵
設	sɤ̞²⁴
許	ɕy⁴¹
註	t͡ɕy⁴⁵
詐	t͡sa̠⁴⁵
詔	t͡sɒu̯⁴⁵
評	pin¹³
詞	t͡sz̩¹³
試	sz̩⁴⁵
詩	sz̩³³
話	ɸa̠²¹
話劇	ɸa̠²¹⁻¹¹ t͡ɕy⁴⁵
該賬	kai̯³³ t͡san⁴⁵
詳	t͡ɕi̯æn¹³
詹	t͡sə̃³³
誉	y⁴⁵
認	ʐən²¹
認字	ʐən²¹⁻¹¹ t͡sz̩²¹⁻¹¹
誘	i̯əu̯⁴⁵
語	y⁴¹
誣	u³³
誣告	u³³ kɒu̯⁴⁵
誤	u²¹
誤犯	u⁴⁵ ɸan²¹⁻¹¹
說	ɕy̯e̞²⁴
誰	ɕy̯e̞i̯¹³
調	ti̯ɒu̯¹³
諄	t͡ɕyn³³
談	tan¹³
請	t͡ɕʰin⁴¹
請假	t͡ɕʰin⁴¹ t͡ɕi̯a̠⁴¹
請客	t͡ɕʰin⁴¹ kʰɤ̞²⁴
請帖	t͡ɕʰin⁴¹ tʰi̯e̞²⁴
諒心	li̯æn²¹⁻¹¹ ɕin³
論	lən⁴⁵
諧	xai̯¹³
諫	kan⁴⁵
諱	ɸe̞i̯⁴⁵
謀	məu̯¹³
謁	ɕi̯e̞²⁴
謊	ɸan⁴¹
謎	me̞i̯¹³
謎子	me̞i̯²¹⁻¹¹ t͡sz̩³
謙	t͡ɕʰi̯ẽ³³
講	kan⁴¹
講夢話	kan⁴¹ mən²¹⁻¹¹ ɸa̠²¹⁻¹¹
講穿	kan⁴¹ t͡ɕʰy̯ẽ³³
講話	kan⁴¹ ɸa̠²¹⁻¹¹
謝	ɕi̯e̞⁴⁵
謬	mi̯ɒu̯⁴⁵
謶	so⁴⁵
證	t͡sən⁴⁵
譚	tan¹³
警	t͡ɕin⁴¹
警察	t͡ɕin⁴¹ t͡sʰa̠²⁴
譯	i²⁴
護	ɸu²¹
譽	y⁴⁵
讀	təu̯²⁴
计	t͡ɕi⁴⁵
认	ʐən²¹
认字	ʐən²¹⁻¹¹ t͡sz̩²¹⁻¹¹
讨嫌	tʰɒu̯⁴¹ ɕi̯ẽ¹³
讨米	tʰɒu̯⁴¹ mi⁴¹
讨账	tʰɒu̯⁴¹ t͡san⁴⁵
训	ɕyn⁴⁵
记	t͡ɕi⁴⁵
讲	kan⁴¹
讲梦话	kan⁴¹ mən²¹⁻¹¹ ɸa̠²¹⁻¹¹
讲穿	kan⁴¹ t͡ɕʰy̯ẽ³³
讲话	kan⁴¹ ɸa̠²¹⁻¹¹
讳	ɸe̞i̯⁴⁵
许	ɕy⁴¹
论	lən⁴⁵
设	sɤ̞²⁴
证	t͡sən⁴⁵
评	pin¹³
诈	t͡sa̠⁴⁵
词	t͡sz̩¹³
诏	t͡sɒu̯⁴⁵
译	i²⁴
试	sz̩⁴⁵
诗	sz̩³³
话	ɸa̠²¹
话剧	ɸa̠²¹⁻¹¹ t͡ɕy⁴⁵
该账	kai̯³³ t͡san⁴⁵
详	t͡ɕi̯æn¹³
诬	u³³
诬告	u³³ kɒu̯⁴⁵
语	y⁴¹
误	u²¹
误犯	u⁴⁵ ɸan²¹⁻¹¹
诱	i̯əu̯⁴⁵
说	ɕy̯e̞²⁴
请	t͡ɕʰin⁴¹
请假	t͡ɕʰin⁴¹ t͡ɕi̯a̠⁴¹
请客	t͡ɕʰin⁴¹ kʰɤ̞²⁴
请帖	t͡ɕʰin⁴¹ tʰi̯e̞²⁴
读	təu̯²⁴
谁	ɕy̯e̞i̯¹³
调	ti̯ɒu̯¹³
谅心	li̯æn²¹⁻¹¹ ɕin³
谆	t͡ɕyn³³
谈	tan¹³
谋	məu̯¹³
谎	ɸan⁴¹
谏	kan⁴⁵
谐	xai̯¹³
谒	ɕi̯e̞²⁴
谜	me̞i̯¹³
谜子	me̞i̯²¹⁻¹¹ t͡sz̩³
谢	ɕi̯e̞⁴⁵
谦	t͡ɕʰi̯ẽ³³
谬	mi̯ɒu̯⁴⁵
谭	tan¹³
谷	ku²⁴
谷酒	ku²⁴ t͡ɕi̯əu̯⁴¹
谷雨	ku²⁴ y⁴¹
豆	təu̯²¹
豆壳	təu̯²¹⁻¹¹ kʰo²⁴
豆壳子	təu̯²¹⁻¹¹ kʰo²⁴ t͡sz̩³
豆殼	təu̯²¹⁻¹¹ kʰo²⁴
豆殼子	təu̯²¹⁻¹¹ kʰo²⁴ t͡sz̩³
豆浆	təu̯²¹⁻¹¹ t͡ɕi̯æn³³
豆漿	təu̯²¹⁻¹¹ t͡ɕi̯æn³³
豆腐	təu̯²¹⁻¹¹ ɸu⁴¹
豆角	təu̯²¹⁻¹¹ ko²⁴
豆豉	təu̯²¹⁻¹¹ sz̩³
豈	t͡ɕʰi⁴¹
豌豆	u̯an³³ təu̯²¹⁻¹¹
豎	ɕy²¹
豎心邊	ɕy⁴⁵ ɕin³³ pi̯ẽ³³
象	ɕi̯æn⁴⁵
象棋	ɕi̯æn⁴⁵ t͡ɕʰi¹³
豪	xɒu̯¹³
豬	t͡ɕy³³
豬婆菜	t͡ɕy³³ po¹³ t͡sʰai̯⁴⁵
豬崽子	t͡ɕy³³ t͡sai̯⁴¹ t͡ɕi³
豬頭風	t͡ɕy³³ təu̯³ xən³³
豹	pɒu̯⁴⁵
豺	t͡sai̯¹³
豺狗子	t͡sai̯¹³ kəu̯⁴¹ t͡sz̩³
貂	ti̯ɒu̯³³
貌	mɒu̯⁴⁵
貓	mɒu̯³³
貓乳	mɒu̯³³ y⁴¹
貓公子	mɒu̯³³ kən³³ t͡sz̩³
貓吱	mɒu̯³³ t͡ɕi⁴⁵
貓哭鳥	mɒu̯³³ kʰu²⁴ ti̯ɒu̯⁴¹
貓婆子	mɒu̯³³ po¹³ t͡sz̩³
貓屎筒	mɒu̯³³ sz̩⁴¹ tən¹³
貓頭鳥	mɒu̯³³ təu̯¹³ ti̯ɒu̯⁴¹
貝	pe̞i̯⁴⁵
貞	t͡sən³³
負	ɸu⁴⁵
財	t͡sai̯¹³
財神菩薩	t͡sai̯¹³ sən¹³ pu¹³ sa̠²⁴
貧	pin¹³
貨	xo⁴⁵
貨車	xo⁴⁵ t͡sʰɤ̞³³
販	ɸan⁴⁵
貪	tʰan³³
責	t͡sɤ̞²⁴
貴	ku̯e̞i̯⁴⁵
買	mai̯⁴¹
費	ɸe̞i̯⁴⁵
貼本	tʰi̯e̞²⁴ pən⁴¹
貽	i¹³
賄	ɸe̞i̯⁴¹
資	t͡sz̩³³
資本	t͡ɕi³³ pən⁴¹
賊	t͡sʰɤ̞⁴⁵
賒	sa̠³³
賓	pin³³
賜	t͡sʰz̩⁴⁵
賢	ɕi̯ẽ¹³
賣	mai̯⁴⁵
賤三爺	t͡ɕi̯ẽ²¹⁻¹¹ san³³ i̯e̞¹³
質	t͡sz̩²⁴
賬	t͡san⁴⁵
賭痞	təu̯⁴¹ pʰi⁴¹
賴	lai̯²¹
賺錢	t͡ɕy̯æn²¹⁻¹¹ t͡ɕi̯ẽ¹³
賽	sai̯⁴⁵
贅	t͡ɕy̯e̞i̯⁴⁵
贊	t͡san⁴⁵
贏	in¹³
贓	t͡san³³
贓官	t͡san³³ kõ³³
贖	səu̯²⁴
贝	pe̞i̯⁴⁵
贞	t͡sən³³
负	ɸu⁴⁵
财	t͡sai̯¹³
财神菩萨	t͡sai̯¹³ sən¹³ pu¹³ sa̠²⁴
责	t͡sɤ̞²⁴
贤	ɕi̯ẽ¹³
败家子	pai̯²¹⁻¹¹ t͡ɕi̯a̠³³ t͡sz̩³
账	t͡san⁴⁵
货	xo⁴⁵
货车	xo⁴⁵ t͡sʰɤ̞³³
质	t͡sz̩²⁴
贩	ɸan⁴⁵
贪	tʰan³³
贫	pin¹³
贱三爷	t͡ɕi̯ẽ²¹⁻¹¹ san³³ i̯e̞¹³
贴本	tʰi̯e̞²⁴ pən⁴¹
贵	ku̯e̞i̯⁴⁵
费	ɸe̞i̯⁴⁵
贻	i¹³
贼	t͡sʰɤ̞⁴⁵
贿	ɸe̞i̯⁴¹
赃	t͡san³³
赃官	t͡san³³ kõ³³
资	t͡sz̩³³
资本	t͡ɕi³³ pən⁴¹
赊	sa̠³³
赌痞	təu̯⁴¹ pʰi⁴¹
赎	səu̯²⁴
赐	t͡sʰz̩⁴⁵
赖	lai̯²¹
赘	t͡ɕy̯e̞i̯⁴⁵
赚钱	t͡ɕy̯æn²¹⁻¹¹ t͡ɕi̯ẽ¹³
赛	sai̯⁴⁵
赞	t͡san⁴⁵
赢	in¹³
赤	t͡sʰz̩²⁴
赤脚	t͡sʰz̩²⁴ t͡ɕi̯o²⁴
赤腳	t͡sʰz̩²⁴ t͡ɕi̯o²⁴
赦	sɤ̞⁴⁵
走	t͡səu̯⁴¹
走亲戚	t͡səu̯⁴¹ t͡ɕʰin³³ t͡ɕʰi¹³
走人家	t͡səu̯⁴¹ ʐən¹³ ka̠³
走棋	t͡səu̯⁴¹ t͡ɕi¹³
走親戚	t͡səu̯⁴¹ t͡ɕʰin³³ t͡ɕʰi¹³
赵	t͡sɒu̯⁴⁵
赶山	kan⁴¹ san³³
赶山狗	kan⁴¹ san³³ kəu̯⁴¹
赶热闹	kan⁴¹ y̯e̞²⁴ lɒu̯²¹⁻¹¹
赶集	kan⁴¹ t͡ɕi²⁴
起	t͡ɕʰi⁴¹
起子	t͡ɕʰi⁴¹ t͡sz̩³
起屋	t͡ɕʰi⁴¹ u²⁴
起床	t͡ɕʰi⁴¹ t͡ɕʰy̯æn¹³
起码	t͡ɕʰi⁴¹ ma̠⁴¹
起碼	t͡ɕʰi⁴¹ ma̠⁴¹
起風	t͡ɕʰi⁴¹ xən³³
起风	t͡ɕʰi⁴¹ xən³³
趁热闹	t͡sʰən⁴⁵ y̯e̞²⁴ lɒu̯²¹⁻¹¹
趁熱鬧	t͡sʰən⁴⁵ y̯e̞²⁴ lɒu̯²¹⁻¹¹
越	y̯e̞²⁴
趕山	kan⁴¹ san³³
趕山狗	kan⁴¹ san³³ kəu̯⁴¹
趕熱鬧	kan⁴¹ y̯e̞²⁴ lɒu̯²¹⁻¹¹
趕集	kan⁴¹ t͡ɕi²⁴
趙	t͡sɒu̯⁴⁵
趟	tʰan⁴⁵
足	t͡səu̯²⁴
跌	ti̯e̞²⁴
跌气	ti̯e̞²⁴ t͡ɕʰi⁴⁵
跌氣	ti̯e̞²⁴ t͡ɕʰi⁴⁵
跍	ku¹³
跑	pʰɒu̯⁴¹
跛子	pai̯³³ t͡sz̩³
跛老爷	pai̯³³ lɒu̯⁴¹ i̯e̞²⁴
跛老爺	pai̯³³ lɒu̯⁴¹ i̯e̞²⁴
跛脚子	pai̯³³ t͡ɕi̯o²⁴ t͡sz̩³
跛腳子	pai̯³³ t͡ɕi̯o²⁴ t͡sz̩³
跟	kən³³
跪	kʰu̯e̞i̯⁴¹
路	ləu̯²¹
路費	ləu̯²¹⁻¹¹ ɸe̞i̯⁴⁵
路费	ləu̯²¹⁻¹¹ ɸe̞i̯⁴⁵
跳	tʰi̯ɒu̯⁴⁵
跳房子	tʰi̯ɒu̯⁴⁵ ɸan¹³ t͡sz̩³
跳皮	tʰi̯ɒu̯⁴⁵ pʰi¹³
践	t͡ɕi̯ẽ⁴¹
踏	tʰa̠²⁴
踐	t͡ɕi̯ẽ⁴¹
踢	tʰi̯a̠²⁴
踩	t͡sʰai̯⁴¹
踩士	t͡sʰai̯⁴¹ sz̩⁴⁵
蹈	tɒu̯⁴⁵
蹬	tən³³
蹬脚	tən³³ t͡ɕi̯o²⁴
蹬腳	tən³³ t͡ɕi̯o²⁴
蹲	t͡sən³³
蹾	tən⁴⁵
身	sən³³
躬	kən³³
躲	to⁴¹
躲学	to⁴¹ ɕi̯o²⁴
