㞎㞎	pa̠⁴¹ pa̠³
二弦	ɤ̞²¹⁻¹¹ ɕi̯ẽ²⁴
二指拇	ɤ̞²¹⁻¹¹ t͡sz̩²⁴ mɒu̯³
二指脑	ɤ̞²¹⁻¹¹ t͡sz̩²⁴ lɒu̯⁴¹
二指腦	ɤ̞²¹⁻¹¹ t͡sz̩²⁴ lɒu̯⁴¹
二排	ɤ̞²¹⁻¹¹ pai̯¹³
二月子	ɤ̞²¹⁻¹¹ y̯e̞²⁴ t͡sz̩³
二月間子	ɤ̞²¹⁻¹¹ y̯e̞²⁴ kan³³ t͡sz̩³
二月间子	ɤ̞²¹⁻¹¹ y̯e̞²⁴ kan³³ t͡sz̩³
二爹	ɤ̞⁴⁵ ti̯a̠³³
二百五	ɤ̞²¹⁻¹¹ pɤ̞²⁴ u⁴¹
二老倌	ɤ̞²¹⁻¹¹ lɒu̯⁴¹ kõ³³
二茶	ɤ̞⁴⁵ t͡sa̠¹³
二道茶	ɤ̞⁴⁵ tɒu̯⁴⁵ t͡sa̠¹³
二郎腿	ɤ̞⁴⁵ l̃an¹³ tʰe̞i̯⁴¹
亏	kʰu̯ai̯³³
亏本	kʰu̯e̞i̯³³ pən⁴¹
云	yn¹³
云耳	yn¹³ ɤ̞⁴¹
五	u⁴¹
五十	u⁴¹ sz̩²⁴
五月節	u⁴¹ y̯e̞²⁴ t͡ɕi̯e̞²⁴
五月节	u⁴¹ y̯e̞²⁴ t͡ɕi̯e̞²⁴
五湖四海	u⁴¹ ɸu¹³ sz̩⁴⁵ xai̯⁴¹
五穀	u⁴¹ ku²⁴
五脏	u⁴¹ t͡san⁴⁵
五臟	u⁴¹ t͡san⁴⁵
五谷	u⁴¹ ku²⁴
井	t͡ɕin⁴¹
亚	i̯a̠⁴⁵
些	ɕi̯a̠³³
亞	i̯a̠⁴⁵
亡命	u̯an¹³ min²¹⁻¹¹
交	t͡ɕi̯ɒu̯³³
交代	t͡ɕi̯ɒu̯³³ tai̯⁴⁵
亦	i²⁴
产	t͡sʰan⁴¹
京	t͡ɕin³³
京戏	t͡ɕin³³ ɕi⁴⁵
京戲	t͡ɕin³³ ɕi⁴⁵
亮	li̯æn²¹
亮壳子	li̯æn²¹⁻¹¹ kʰo²⁴ t͡sz̩³
亮殼子	li̯æn²¹⁻¹¹ kʰo²⁴ t͡sz̩³
亮火虫	li̯æn²¹⁻¹¹ xo⁴¹ t͡sən¹³
亮火蟲	li̯æn²¹⁻¹¹ xo⁴¹ t͡sən¹³
亮窗	li̯æn²¹⁻¹¹ t͡ɕʰy̯æn³³
亲	t͡ɕʰin³³
亲事	t͡ɕʰin³³ ɕi²¹⁻¹¹
亲像	t͡ɕʰin³³ t͡ɕi̯æn²¹⁻¹¹
亲家娘	t͡ɕʰin⁴⁵ ka̠³³ n̠ʲi̯æn¹³
亲家母	t͡ɕʰin⁴⁵ ka̠³³ mo⁴¹
亲家爷	t͡ɕʰin⁴⁵ ka̠³³ i̯a̠¹³
亲家爹爹	t͡ɕʰin⁴⁵ ka̠³³ ti̯e̞³³ ti̯e̞³
亲家翁	t͡ɕʰin⁴⁵ ka̠³³ ŋən³³
亲戚	t͡ɕʰin³³ t͡ɕʰi²⁴
人	ʐən¹³
人中	ʐən¹³ t͡sən³³
人客	t͡sən¹³ kʰɤ̞²⁴
人家	ʐən¹³ ka̠³
人民	ʐən¹³ min¹³
人民共和国	ʐən¹³ min¹³ kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
人民共和國	ʐən¹³ min¹³ kən²¹⁻¹¹ xo¹³ ku̯ɤ̞²⁴
人證	ʐən¹³ t͡sən⁴⁵
人证	ʐən¹³ t͡sən⁴⁵
亿	i⁴⁵
仁	ʐən¹³
仅	t͡ɕʰin⁴⁵
仆	pʰu²⁴
今	t͡ɕin³³
今年	t͡ɕin³³ n̠ʲi̯ẽ¹³
今年子	t͡ɕin³³ n̠ʲi̯ẽ¹³ t͡sz̩³
今日	t͡ɕin³³ ʐ̩²⁴
今日子	t͡ɕin³³ ʐ̩²⁴ t͡sz̩³
今朝	t͡ɕin³³ t͡sɒu̯³³
今朝子	t͡ɕin³³ t͡sɒu̯³³ t͡sz̩³
介	kai̯⁴⁵
仍	ʐən¹³
从	t͡sən¹³
从小	t͡sən¹³ ɕi̯ɒu̯⁴¹
从毛须	t͡sən¹³ mɒu̯¹³ ɕi³³
仑	lən¹³
他	tʰa̠³³
他们	tʰa̠³³ mən³
他們	tʰa̠³³ mən³
仗	t͡san⁴⁵
付	ɸu⁴⁵
仙	ɕi̯ẽ³³
仙人掌	ɕi̯ẽ³³ ʐən¹³ t͡san⁴¹
代	tai̯²¹
令	lin⁴⁵
以	i⁴¹
以上	i⁴¹ san²¹⁻¹¹
以下	i⁴¹ ɕi̯a̠²¹⁻¹¹
以前	i⁴¹ t͡ɕi̯ẽ¹³
以后	i⁴¹ xəu̯²¹⁻¹¹
以後	i⁴¹ xəu̯²¹⁻¹¹
以莫	i⁴¹ mo³
们	mən
仰水	n̠ʲi̯æn⁴¹ ɕy̯e̞i̯⁴¹
件	t͡ɕi̯ẽ²¹
价	t͡ɕi̯a̠⁴⁵
任	ʐən⁴⁵
份	ɸən²¹
仿	ɸan⁴¹
伐	ɸa̠²⁴
休	ɕi̯əu̯³³
众	t͡sən⁴⁵
优	i̯əu̯³³
会	ɸe̞i̯²¹
伞	san⁴¹
伟	u̯e̞i̯⁴¹
伢妹子	ŋa̠¹³ me̞i̯²¹⁻¹¹ t͡sz̩³
伢子	ŋa̠¹³ t͡sz̩³
伢崽子	ŋa̠¹³ t͡sai̯⁴¹ t͡sz̩³
伢細子	ŋa̠¹³ ɕi⁴⁵ t͡sz̩³
伢细子	ŋa̠¹³ ɕi⁴⁵ t͡sz̩³
伤	san³³
伤洋子	san³³ i̯æn¹³ t͡sz̩³
伯伯	pɤ̞²⁴ pɤ̞³
估	ku³³
估謎子	ku³³ me̞i̯²¹⁻¹¹ t͡sz̩³
估谜子	ku³³ me̞i̯²¹⁻¹¹ t͡sz̩³
伴	põ²¹
伴亲娘子	põ²¹⁻¹¹ t͡ɕin³³ n̠ʲi̯æn¹³ t͡sz̩³
伴大树	põ²¹⁻¹¹ tai̯²¹⁻¹¹ ɕy²¹⁻¹¹
伴大樹	põ²¹⁻¹¹ tai̯²¹⁻¹¹ ɕy²¹⁻¹¹
伴妈	põ²¹⁻¹¹ ma̠³³
伴婆	põ²¹⁻¹¹ po¹³
伴媽	põ²¹⁻¹¹ ma̠³³
伴親娘子	põ²¹⁻¹¹ t͡ɕin³³ n̠ʲi̯æn¹³ t͡sz̩³
伶	lin¹³
似如	ɕi⁴⁵ y¹³
佃	ti̯ẽ⁴⁵
佃錢	ti̯ẽ⁴⁵ t͡ɕi̯ẽ¹³
佃钱	ti̯ẽ⁴⁵ t͡ɕi̯ẽ¹³
但	tan²¹
佉卢文	t͡ɕʰi̯e̞³³ ləu̯¹³ u̯ən¹³
佉盧文	t͡ɕʰi̯e̞³³ ləu̯¹³ u̯ən¹³
位	u̯e̞i̯²¹
住	t͡ɕy⁴⁵
佑	i̯əu̯⁴⁵
体	tʰi⁴¹
何	xo¹³
何什	o¹³ sz̩³
何什搞	o¹³ sz̩³ kɒu̯⁴¹
何得	o¹³ tɤ̞³
何至	o¹³ t͡sz̩⁴⁵
何至个	o¹³ t͡sz̩⁴⁵ ko⁴⁵
何至個	o¹³ t͡sz̩⁴⁵ ko⁴⁵
何裡	o¹³ li³
何解	o¹³ kai̯⁴¹
何里	o¹³ li³
余	y¹³
佛	ɸu²⁴
作	t͡so²⁴
作田	t͡so²⁴ ti̯ẽ¹³
作田的	t͡so²⁴ ti̯ẽ¹³ ti³
作算	t͡so²⁴ sõ⁴⁵
你	n̠ʲi⁴¹
你们	n̠ʲi⁴¹ mən³
你們	n̠ʲi⁴¹ mən³
佣人	in³³ ʐən¹³
佳	t͡ɕi̯a̠³³
併	pin⁴⁵
使	sz̩⁴¹
來	lai̯¹³
來塌	lai̯¹³ tʰa̠²⁴
來尿	lai̯¹³ n̠ʲi̯ɒu̯²¹⁻¹¹
來往	lai̯¹³ u̯an⁴¹
例	li⁴⁵
侧	t͡sɤ̞²⁴
侧边	t͡sɤ̞²⁴ pi̯ẽ³³
侯	xəu̯¹³
侵	t͡ɕʰin³³
便	pi̯ẽ²¹
便壶	pi̯ẽ²¹⁻¹¹ ɸu¹³
便壺	pi̯ẽ²¹⁻¹¹ ɸu¹³
便宜	pi̯ẽ¹³ i³
促瞌困	t͡sʰəu̯²⁴ kʰo²⁴ kʰu̯ən⁴⁵
促瞌睏	t͡sʰəu̯²⁴ kʰo²⁴ kʰu̯ən⁴⁵
促瞌睡	t͡sʰəu̯²⁴ kʰo²⁴ ɕy̯e̞i̯⁴⁵
俗	səu̯²⁴
保	pɒu̯⁴¹
信	ɕin⁴⁵
信封子	ɕin⁴⁵ xən³³ t͡sz̩³
信息	ɕin⁴⁵ ɕi²⁴
信講	ɕin⁴⁵ kan⁴¹
信讲	ɕin⁴⁵ kan⁴¹
修	ɕi̯əu̯³³
俱	t͡ɕy⁴⁵
俸	xən⁴⁵
個	ko⁴⁵
倌	kõ³³
倍	pe̞i̯²¹
們	mən
倒	tɒu̯⁴¹
倒刺	tɒu̯⁴⁵ t͡ɕʰi⁴⁵
倒肘	tɒu̯⁴⁵ t͡səu̯⁴¹
倒魚鱗	tɒu̯⁴⁵ y¹³ lin¹³
倒鱼鳞	tɒu̯⁴⁵ y¹³ lin¹³
倘	tʰan⁴¹
倚	i⁴¹
债	t͡sai̯⁴⁵
值	t͡sz̩²⁴
倾瓢	kʰu̯an³³ pi̯ɒu̯¹³
假	t͡ɕi̯a̠⁴¹
假假子	t͡ɕi̯a̠⁴¹ t͡ɕi̯a̠⁴¹ t͡sz̩³
假期	t͡ɕi̯a̠⁴¹ t͡ɕi¹³
偉	u̯e̞i̯⁴¹
偏	pʰi̯ẽ³³
偏心	pʰi̯ẽ³³ ɕin³³
偏旁	pʰi̯ẽ³³ pan¹³
偏生	pʰi̯ẽ³³ sən³³
做	t͡səu̯⁴⁵
做媒	t͡səu̯⁴⁵ me̞i̯¹³
做工	t͡səu̯⁴⁵ kən³³
做工的	t͡səu̯⁴⁵ kən³³ ti³
做生	t͡səu̯⁴⁵ sən³³
做生意	t͡səu̯⁴⁵ sən³³ i³
停	tin¹³
健	t͡ɕi̯ẽ⁴⁵
側	t͡sɤ̞²⁴
側邊	t͡sɤ̞²⁴ pi̯ẽ³³
