# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# ⚠ LICENCE: GPL-3.0 (per-file fence) — NOT CC-BY-SA like the sibling riders.
# Source: g2p-inversion over espeak-ng dictsource/ps_list (GPL-3.0, Hanif Rahman) + wikipron + kaikki.
# 12535 of 13828 rows are reachable only from the GPL source. Only the SHORT-VOWEL PLACEMENT
# derives from it — espeak's phoneme strings are never copied; the consonants are our g2p's.
# See src/languages/pashto/lexicon.PROVENANCE.md and LICENSES/PROVENANCE.md §4.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
آبخانە	آبخانَە
ارزښـت	ارزَښْـت
ارزښـــت	ارزَښْـــت
ارزښمتن	ارزَښْمْتَن
ارزښمن	ارزَښمَن
ارزښمنه	ارزښْمنه
ارزښنونه	ارزښنُونه
ارزی	ارزِی
ارزیدله	ارزیدَله
ارزېدل	ارزېدَل
ارزېدی	ارزېدِی
ارس	ارْس
ارستنيدو	ارْسْتنيدو
ارستو	ارْسْتو
ارسرليک	ارسَرليک
ارسطو	ارْسْطو
ارسلنك	ارْسْلَنك
ارسيدلی	ارسيدلِی
ارش	ارْش
ارشد	ارْشْد
ارشی	ارشِی
ارض	ارْض
ارضى	ارضِى
ارضی	ارضِی
ارق	ارْق
ارقم	ارْقْم
ارك	ارْك
اركلي	ارْكْلي
اركنديشن	ارْكْنْديشْن
اركى	اركِى
اركړيپه	ارْكْړيپه
ارل	ارْل
ارلر	ارْلْر
ارلګيدنه	ارْلْګيدنه
ارلګيدنې	ارْلْګيدنې
ارم	ارْم
ارمر	ارْمْر
ارمرستي	ارْمْرْسْتي
ارمرډ	ارْمْرْډ
ارمرګروپ	ارْمْرْګْروپ
ارمطلق	ارْمْطْلَق
ارمــ	ارْمْــ
ارمـــ	ارمَـــ
ارمــــ	ارمَــــ
ارمنى	ارْمنِى
ارمني	ارْمني
ارمولې	ارمُولې
ارمونى	ارمُونِى
ارموني	ارمُوني
ارمى	ارمِى
ارميرویم	ارميرَویم
ارميـــرويم	ارميـــرَويم
ارمی	ارمِی
ارن	ارْن
ارنست	ارنِسْت
ارنولد	ارنولْد
اروبند	اروبنْد
اروند	ارُونْد
ارونه	ارُونه
ارونو	ارُونو
اروهي	ارُوهي
اروپآ	ارُوپآ
اروپه	ارُوپه
اروپکو	ارُوپکو
اروپکې	ارُوپکې
اروپی	ارُوپِی
اروچې	ارُوچې
اروکړ	ارُوکْړ
اروګون	ارُوګون
ارویدلی	ارَویدلِی
ارویزو	ارَویزو
اروین	ارَوین
اروېدل	ارَوېدْل
اروېدلى	ارَوېدلى
اروېدلي	ارَوېدلي
اروېدلې	ارَوېدلې
اروېل	ارَوېل
ارى	ارِى
ارينزى	ارينزِى
ارينزی	ارينزِی
ارينزﺉ	ارينزِﺉ
اريه	ارَيه
اريو	ارَيو
اريوب	ارَيوب
اريوبي	ارَيوبي
اريون	ارَيون
اريې	ارَيې
ارټى	ارټِى
ارټی	ارټِی
ارپى	ارپِى
ارپکو	ارْپْکو
ارځم	ارْځْم
ارځيدل	ارځيدْل
ارځښتمن	ارْځْښْتْمن
ارچ	ارْچ
ارچق	ارْچْق
ارډر	ارْډْر
ارډن	ارْډْن
ارړکړ	ارْړْکْړ
ارژښتونه	ارْژْښْتُونه
ارژښتونوته	ارْژْښْتُونوته
ارښت	ارْښْت
ارښتمن	ارْښْتْمَن
ارښتونه	ارْښْتُونه
ارښتونو	ارْښْتُونو
ارښونو	ارښُونو
ارښونې	ارښُونې
ارک	ارْک
ارکستر	ارکَستَر
ارکسي	ارْکْسي
ارکندیشن	ارکَندیشَن
ارکښې	ارْکْښې
ارکیټونو	ارکیټُونو
ارکېټونو	ارکېټُونو
ارګ	ارْګ
ارګر	ارګَر
ارګمي	ارګَمي
ارګندي	ارګَندي
ارگ	ارْگ
ارگن	ارگَن
اری	ارِی
اریقط	اریقَط
ارینزی	ارینزِی
اریه	ارَیه
اریکړ	اریکْړ
اریکی	اریکِی
ارېښت	ارېښْت
ازبك	ازْبْك
ازبكي	ازْبْكي
ازبكيت	ازْبْكيت
ازبک	ازْبْک
ازبکه	ازْبْکه
ازبکي	ازْبْکي
ازبکی	ازْبْکِی
ازبکې	ازْبْکې
ازجلوس	ازْجْلوْسْ
ازجمله	ازْجْمْله
ازخود	ازْخوْدْ
ازخیزی	ازخیزِی
ازد	ازْد
ازدرحق	ازْدْرْحق
ازديگرځم	ازديگرځْم
ازر	ازْر
ازرده	ازْرْده
ازرقي	ازْرْقي
ازرقی	ازْرْقِی
ازروش	ازْروْشْ
ازرښت	ازْرْښْت
اززښت	ازْزْښْت
ازسمت	ازْسْمت
ازش	ازْش
ازطرف	ازْطرف
ازق	ازْق
ازقر	ازقَر
ازل	ازَل
ازلــــه	ازَلْــــه
ازلـه	ازَلْـه
ازله	ازَله
ازلى	ازَلِى
ازلي	ازَلي
ازلی	ازَلِی
ازم	ازَم
ازمــــــــــــــــــــون	ازمُــــــــــــــــــــون
