# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
sirene	sərˈiənə
sirenes	sərˈiənəs
sirkelroete	sˈərkəlrutə
sirkels	sˈərkəls
sirkulasie	sərkylˈɑːsi
sirkulatoriese	sərkylatˈuərisə
sirkuleer	sərkylˈiər
sisteem	səstˈiəm
sisteemteorie	səstˈiəmtiuri
sistematiese	səstəmˈɑːtisə
sistematiseer	səstəmatisˈiər
sistematisering	səstəmatisˈiərəŋ
sistemiese	səstˈiəmisə
sitkamer	sˈətkɑːmər
sitkamers	sˈətkɑːmərs
sitkamerstel	sˈətkɑːmərstɛl
sitoplasma	sˈituplasma
sitplek	sˈətplɛk
sitplekgordels	sˈətplɛkχɔrdəls
sitplekke	sˈətplɛkə
sitrus	sˈitrœs
sitting	sˈətəŋ
sittings	sˈətəŋs
situasie	sətʃuˈɑːsi
sitvlak	sˈətflak
siviele	səfˈilə
sjampanje	ʃampˈanjə
sjampoe	ʃampˈu
sjarmant	ʃarmˈant
sjarmante	ʃarmˈantə
sjarme	ʃˈarmə
sjebeen	ʃəbˈin
sjebeens	ʃəbˈins
sjebien	ʃəbˈin
sjef	ʃɛf
sjefs	ʃɛfs
sjerrie	ʃˈɛri
sjieling	ʃˈiləŋ
sjielings	ʃˈiləŋs
sjimpansee	ʃəmpanzˈiə
sjimpansees	ʃəmpanzˈiəs
sjina	ʃˈina
sjinese	ʃinˈiəsə
sjoe	ʃu
sjokolades	ʃɔkulˈɑːdəs
sjokoladesous	ʃɔkulˈɑːdəsœus
skaad	skɑːt
skaaf	skɑːf
skaafwerk	skˈɑːfvɛrk
skaak	skɑːk
skaal	skɑːl
skaam	skɑːm
skaamkwaad	skˈɑːmkwɑːt
skaamtelose	skˈɑːmtəluəsə
skaapboere	skˈɑːpburə
skaapboud	skˈɑːpbœut
skaapvel	skˈɑːpfɛl
skaapvleis	skˈɑːpfləis
skaapwagters	skˈɑːpvaχtərs
skaar	skɑːr
skaarse	skˈɑːrsə
skaarsheid	skˈɑːrsɦəit
skaats	skɑːts
skadelik	skˈɑːdələk
skadelike	skˈɑːdələkə
skadevergoeding	skˈɑːdəfərχudəŋ
skaduwees	skˈɑːdyviəs
skaduweestreep	skˈɑːdyviəstriəp
skaf	skaf
skaflik	skˈaflək
skaflike	skˈafləkə
skag	skaχ
skagmynbou	skˈaχməinbœu
skagte	skˈaχtə
skakel	skˈɑːkəl
skakelbeampte	skˈɑːkəlbəamptə
skakelbord	skˈɑːkəlbɔrt
skakelhoof	skˈɑːkəlɦuəf
skakeling	skˈɑːkələŋ
skakeloffisier	skˈɑːkəlɔfəsir
skakelpaar	skˈɑːkəlpɑːr
skakels	skˈɑːkəls
skakelwerk	skˈɑːkəlvɛrk
skakering	skakˈiərəŋ
skakerings	skakˈiərəŋs
skale	skˈɑːlə
skamele	skˈɑːmələ
skandaal	skandˈɑːl
skandalig	skandˈɑːləχ
skandalige	skandˈɑːləχə
skande	skˈandə
skandelike	skˈandələkə
skandering	skandˈiərəŋ
skandinawië	skandinˈɑːviə
skans	skans
skape	skˈɑːpə
skapies	skˈɑːpis
skares	skˈɑːrəs
skarrel	skˈarəl
skater	skˈɑːtər
skaterlag	skˈɑːtərlaχ
skatkis	skˈatkəs
skatkiswissels	skˈatkəsvəsəls
skatryk	skˈatrəik
skatte	skˈatə
skattejag	skˈatəjaχ
skatting	skˈatəŋ
skattings	skˈatəŋs
skede	skˈiədə
skedule	skɛdˈylə
skeduleer	skɛdylˈiər
skedulering	skɛdylˈiərəŋ
skedules	skɛdˈyləs
skeefgeloop	skˈiəfχəluəp
skeefheid	skˈiəfɦəit
skeefloop	skˈiəfluəp
skeen	skiən
skeepvaart	skˈiəpfɑːrt
skeer	skiər
skei	skəi
skeidende	skˈəidəndə
skeiding	skˈəidəŋ
skeidingspakket	skˈəidəŋspakɛt
skeidslyn	skˈəitsləin
skeidsregter	skˈəitsrɛχtər
skeidsregters	skˈəitsrɛχtərs
skeie	skˈəiə
skeikunde	skˈəikœndə
skel	skɛl
skeld	skɛlt
skelet	skəlˈɛt
skeletspier	skəlˈɛtspir
skeletspiere	skəlˈɛtspirə
skelmpies	skˈɛlmpis
skelms	skˈɛlms
skelmstreke	skˈɛləmstriəkə
skelmstukke	skˈɛləmstœkə
skema	skˈiəma
skemas	skˈiəmas
skemer	skˈiəmər
skemeraand	skˈiəmərɑːnt
skend	skɛnt
skending	skˈɛndəŋ
skenk	skɛŋk
skenker	skˈɛŋkər
skenkers	skˈɛŋkərs
skenking	skˈɛŋkəŋ
skenkings	skˈɛŋkəŋs
skep	skɛp
skepdoel	skˈɛpdul
skepdoele	skˈɛpdulə
skepe	skˈiəpə
skeppende	skˈɛpəndə
skepper	skˈɛpər
skeppers	skˈɛpərs
skeppies	skˈɛpis
skepping	skˈɛpəŋ
skeppings	skˈɛpəŋs
skeppingsontwikkeling	skˈɛpəŋsɔntvəkələŋ
skeppingsopenbaring	skˈɛpəŋsuəpənbɑːrəŋ
skepsel	skˈɛpsəl
skepsels	skˈɛpsəls
skepskop	skˈɛpskɔp
skepskoppe	skˈɛpskɔpə
skeptici	skɛptisˈi
skepties	skˈɛptis
skeptiese	skˈɛptisə
skeptisisme	skɛptisˈəsmə
skerm	skˈɛrm
skerms	skˈɛrms
skermutselings	skɛrmˈœtsələŋs
skerp	skɛrp
skerpe	skˈɛrpə
skerper	skˈɛrpər
skerpioen	skɛrpiˈun
skerpioene	skɛrpiˈunə
skerpsinnig	skɛrpsˈənəχ
skerpskutters	skˈɛrpskœtərs
skerpste	skˈɛrpstə
skerts	skɛrts
skertsend	skˈɛrtsənt
skerwe	skˈɛrvə
skets	skɛts
sketse	skˈɛtsə
sketsplan	skˈɛtsplan
skeur	skøːr
skeuring	skˈøːrəŋ
skeurmaker	skˈøːrmɑːkər
skewe	skˈiəvə
ski	ski
skielik	skˈilək
skielike	skˈiləkə
skiereiland	skˈirəilant
skietbaan	skˈitbɑːn
skietery	skˈitərəi
skietgeveg	skˈitχəfɛχ
skietgoed	skˈitχut
skietongeluk	skˈitɔnχəlœk
skietramp	skˈitramp
skietstaking	skˈitstɑːkəŋ
skietstilstand	skˈitstəlstant
skietvoorval	skˈitfuərfal
skietvoorvalle	skˈitfuərfalə
skietwond	skˈitvɔnt
skietwonde	skˈitvɔndə
skik	skək
skikking	skˈəkəŋ
skikkingsooreenkoms	skˈəkəŋsuəriənkɔms
skil	skəl
skild	skəlt
skilde	skˈəldə
skilder	skˈəldər
skilderagtige	skəldərˈaχtəχə
skilderkuns	skˈəldərkœns
skilderkunstige	skəldərkˈœnstəχə
skilders	skˈəldərs
skilderye	skəldərˈəiə
skildneusslange	skˈəltnøːsslaŋə
skilpaaie	skˈəlpɑːiə
skilpad	skˈəlpat
skimmel	skˈəməl
skinder	skˈəndər
skink	skəŋk
skinkbord	skˈəŋkbɔrt
skipbreuk	skˈəpbrøːk
skipper	skˈəpər
skisofrenie	skisufrənˈi
skitter	skˈətər
skitterend	skˈətərənt
skitterende	skˈətərəndə
skitterender	skˈətərəndər
sklerose	skliərˈuəsə
skoeisel	skˈuisəl
skoene	skˈunə
skoenlapper	skˈunlapər
skoenlappers	skˈunlapərs
skof	skɔf
skoffel	skˈɔfəl
skofte	skˈɔftə
skok	skɔk
skokbrekers	skˈɔkbriəkərs
skokgolwe	skˈɔkχɔlvə
skokke	skˈɔkə
skokkend	skˈɔkənt
skokkende	skˈɔkəndə
skokmetodes	skˈɔkmətuədəs
skoktoestand	skˈɔktustant
skolastiese	skulˈastisə
skole	skˈuələ
skolerugby	skˈuələraχbi
skolespan	skˈuələspan
skolewet	skˈuələvɛt
skolier	skulˈir
skoliere	skulˈirə
skommeling	skˈɔmələŋ
skommelinge	skˈɔmələŋə
skommelings	skɔmˈələŋs
skone	skˈuənə
skoner	skˈuənər
skoolbanke	skˈuəlbaŋkə
skoolboeke	skˈuəlbukə
skoolbus	skˈuəlbœs
skooldag	skˈuəldaχ
skooleffektiwiteit	skˈuəlɛfɛktivitəit
skoolgaan	skˈuəlχɑːn
skoolgebou	skˈuəlχəbœu
skoolgeboue	skˈuəlχəbœuə
skoolgehou	skˈuəlχəɦœu
skoolgeld	skˈuəlχɛlt
skoolhandboeke	skˈuəlɦantbukə
skoolhoof	skˈuəlɦuəf
skoolhoofde	skˈuəlɦuəfdə
skoolhou	skˈuəlɦœu
skooljaar	skˈuəljɑːr
skooljare	skˈuəljɑːrə
skoolkamp	skˈuəlkamp
skoolkind	skˈuəlkənt
skoolkinders	skˈuəlkəndərs
skoolkoerant	skˈuəlkurant
skoolkoshuis	skˈuəlkɔsɦœys
skoolkurrikulum	skˈuəlkœrikylœm
skoolloopbaan	skˈuəlluəpbɑːn
skoolmaats	skˈuəlmɑːts
skoolmeisie	skˈuəlməisi
skoolmeisies	skˈuəlməisis
skoolondervindinge	skˈuəlɔndərfəndəŋə
skoolopleiding	skˈuəlɔpləidəŋ
skoolopset	skˈuəlɔpsɛt
skoolreëls	skˈuəlriəls
skoolseun	skˈuəlsøːn
skoolseuns	skˈuəlsøːns
skoolstelsel	skˈuəlstɛlsəl
skooltas	skˈuəltas
skoolterrein	skˈuəltərəin
skooltjie	skˈuəlki
skoolvak	skˈuəlfak
skoolvakansie	skˈuəlfakansi
skoolvakansies	skˈuəlfakansis
skoolvakke	skˈuəlfakə
skoolvlak	skˈuəlflak
skoolvoorligting	skˈuəlfuərləχtəŋ
skoolvoorligtingonderwyser	skˈuəlfuərləχtəŋɔndərvəisər
skoolwerk	skˈuəlvɛrk
skoolwiskunde	skˈuəlvəskœndə
skoondogter	skˈuəndɔχtər
skoongemaak	skˈuənχəmɑːk
skoonheid	skˈuənɦəit
skoonheidskoningin	skˈuənɦəitskuənəŋən
skoonheidsmiddels	skˈuənɦəitsmədəls
skoonheidsprodukte	skˈuənɦəitsprudœktə
skoonheidswedstryd	skˈuənɦəitsvɛtstrəit
skoonma	skˈuənmɑː
skoonmaak	skˈuənmɑːk
skoonmaakmiddels	skˈuənmɑːkmədəls
skoonmaker	skˈuənmɑːkər
skoonmoeder	skˈuənmudər
skoonouers	skˈuənœuərs
skoonpa	skˈuənpɑː
skoonseun	skˈuənsøːn
skoonskip	skˈuənskəp
skoonskynende	skuənskˈəinəndə
skoonste	skˈuənstə
skoonsuster	skˈuənsœstər
skoonveld	skˈuənfɛlt
skop	skɔp
skoppe	skˈɔpə
skopper	skˈɔpər
skoppers	skˈɔpərs
skopskoen	skˈɔpskun
skopvoet	skˈɔpfut
skopwerk	skˈɔpvɛrk
skors	skɔrs
skorsing	skˈɔrsəŋ
skort	skɔrt
skot	skɔt
skote	skˈuətə
skotte	skˈɔtə
skottel	skˈɔtəl
skotvry	skˈɔtfrəi
skou	skœu
skouburg	skˈœubœrχ
skoue	skˈœuə
skouer	skˈœuər
skouers	skˈœuərs
skouspel	skˈœuspɛl
skouspelagtige	skœuspɛlˈaχtəχə
skraal	skrɑːl
skraap	skrɑːp
skrale	skrˈɑːlə
skraler	skrˈɑːlər
skram	skram
skrander	skrˈandər
skrap	skrap
skrapie	skrˈɑːpi
skrapnel	skrapnˈɛl
skrapping	skrˈapəŋ
skree	skriə
skrefies	skrˈiəfis
skreiende	skrˈəiəndə
skrewe	skrˈiəvə
skrifbeskouing	skrˈəfbəskœuəŋ
skrifdeel	skrˈəfdiəl
skrifdele	skrˈəfdiələ
skrifgedeelte	skrˈəfχədiəltə
skrifgedeeltes	skrˈəfχədiəltəs
skrifgeleerdes	skrˈəfχəliərdəs
skrifte	skrˈəftə
skriftelik	skrˈəftələk
skriftelike	skrˈəftələkə
skrifverklaring	skrˈəffərklɑːrəŋ
skrifverwysings	skrˈəffərvəisəŋs
skrik	skrək
skrikbewind	skrˈəkbəvənt
skrikkerig	skrˈəkərəχ
skriktoneel	skrˈəktuniəl
skrikwekkend	skrəkvˈɛkənt
skrikwekkende	skrəkvˈɛkəndə
skril	skrəl
skrille	skrˈələ
skroei	skrui
skroewedraaier	skrˈuvədrɑːiər
skromerige	skrˈuəmərəχə
skroom	skruəm
skrootwerf	skrˈuətvɛrf
skrum	skram
skrums	skrams
skrumskakel	skrˈamskɑːkəl
skrumskakels	skrˈamskɑːkəls
skrumwerk	skrˈamvɛrk
skryfbehoeftes	skrˈəifbəɦuftəs
skryfkuns	skrˈəifkœns
skryfode	skrˈəifuədə
skryfster	skrˈəifstər
skryfstrategieë	skrˈəifstratəχiə
skryfstukke	skrˈəifstœkə
skryfstyl	skrˈəifstəil
skryfvermoë	skrˈəiffərmuə
skryfwenke	skrˈəifvɛŋkə
skryfwerk	skrˈəifvɛrk
skryfwyse	skrˈəifvəisə
skrywe	skrˈəivə
skrywers	skrˈəivərs
skrywersgilde	skrˈəivərsχəldə
skud	skœt
skuif	skœyf
skuifdeure	skˈœyfdøːrə
skuifel	skˈœyfəl
skuifspeld	skˈœyfspɛlt
skuifspelde	skˈœyfspəldə
skuil	skœyl
skuilgehou	skˈœylχəɦœu
skuiling	skˈœyləŋ
skuilnaam	skˈœylnɑːm
skuilname	skˈœylnɑːmə
skuilplek	skˈœylplɛk
skuilte	skˈœyltə
skuim	skœym
skuimkop	skˈœymkɔp
skuins	skœyns
skuinste	skˈœynstə
skuinsweg	skˈœynsvɛχ
skuiwe	skˈœyvə
skuiwergat	skˈœyvərχat
skuldbelydenis	skˈœltbələidənəs
skuldbrief	skˈœltbrif
skuldbriefhouers	skˈœltbrifɦœuərs
skuldbriewe	skˈœltbrivə
skuldeiser	skˈœltəisər
skuldeisers	skˈœltəisərs
skuldelas	skˈœldəlas
skuldenaar	skˈœldənɑːr
skuldenaars	skˈœldənɑːrs
skulderkenning	skˈœltɛrkɛnəŋ
skuldgevoel	skˈœltχəful
skuldgevoelens	skˈœltχəfuləns
skuldigbevinding	skˈœldəχbəfəndəŋ
skuldigbevindings	skˈœldəχbəfəndəŋs
skuldige	skˈœldəχə
skuldiges	skˈœldəχəs
skuldinvorderaars	skˈœltənfɔrdərɑːrs
skuldverhouding	skˈœltfərɦœudəŋ
skulp	skœlp
skulpe	skˈœlpə
skulpies	skˈœlpis
skulpjakob	skˈœlpjɑːkɔp
skurke	skˈœrkə
skut	skœt
skutgoed	skˈœtχut
skyfie	skˈəifi
skyfies	skˈəifis
skyfremme	skˈəifrɛmə
skyn	skəin
skynbaar	skˈəinbɑːr
skynbare	skˈəinbɑːrə
skynheilig	skəinɦˈəiləχ
skynheiligheid	skəinɦˈəiləχɦəit
skynsel	skˈəinsəl
skywe	skˈəivə
slaafdrywers	slˈɑːfdrəivərs
slaafs	slɑːfs
slaag	slɑːχ
slaagpunt	slˈɑːχpœnt
slaags	slɑːχs
slaagsyfer	slˈɑːχsəifər
slaagvereistes	slˈɑːχfərəistəs
slaai	slɑːi
slaaie	slˈɑːiə
slaankrag	slˈɑːnkraχ
slaap	slɑːp
slaapkamers	slˈɑːpkɑːmərs
slaaploosheid	slˈɑːpluəsɦəit
slaappille	slˈɑːppələ
slaapplek	slˈɑːpplɛk
slaapsak	slˈɑːpsak
slaapsakke	slˈɑːpsakə
slaaptyd	slˈɑːptəit
slae	slˈɑːə
slag	slaχ
slagaar	slˈaχɑːr
slaggate	slˈaχχɑːtə
slaggereed	slˈaχχəriət
slaghuis	slˈaχɦœys
slagoffers	slˈaχɔfərs
slagspreke	slˈaχspriəkə
slagspreuk	slˈaχsprøːk
slagspreuke	slˈaχsprøːkə
slagtande	slˈaχtandə
slagters	slˈaχtərs
slagting	slˈaχtəŋ
slagtings	slˈaχtəŋs
slagveld	slˈaχfɛlt
slagvelde	slˈaχfɛldə
slagyster	slˈaχəistər
slakkepas	slˈakəpas
slaner	slˈɑːnər
slaners	slˈɑːnərs
slange	slˈaŋə
slangetjies	slˈaŋikis
slanke	slˈaŋkə
slap	slap
slapeloosheid	slˈɑːpəluəsɦəit
slapende	slˈɑːpəndə
slapenstyd	slˈɑːpənstəit
slater	slˈɑːtər
slavin	slafˈən
slawediens	slˈɑːvədins
slawerny	slɑːvərnˈəi
slawiese	slˈɑːvisə
slee	sliə
sleekring	slˈiəkrəŋ
sleep	sliəp
sleepgewaad	slˈiəpχəvɑːt
sleeptou	slˈiəptœu
sleepwa	slˈiəpvɑː
sleg	slɛχ
slegs	slɛχs
slegste	slˈɛχstə
slegte	slˈɛχtə
slegter	slˈɛχtər
slenter	slˈɛntər
sleutel	slˈøːtəl
sleutelaspekte	slˈøːtəlaspɛktə
sleutelbeen	slˈøːtəlbiən
sleutelbegrippe	slˈøːtəlbəχrəpə
sleutelbord	slˈøːtəlbɔrt
sleutelelemente	slˈøːtəlɛləmɛntə
sleutelkonsepte	slˈøːtəlkɔnsɛptə
sleutelrol	slˈøːtəlrɔl
sleutels	slˈøːtəls
sleutelspelers	slˈøːtəlspiələrs
slim	sləm
slimmer	slˈəmər
slimste	slˈəmstə
slinger	slˈəŋər
sloer	slur
sloop	sluəp
sloot	sluət
slootgrawers	slˈuətχrɑːvərs
slootjie	slˈɔːiki
sloping	slˈuəpəŋ
slordig	slˈɔrdəχ
slotdividend	slˈɔtdəvədɛnt
slote	slˈuətə
slothoofstuk	slˈɔtɦuəfstœk
slotmaat	slˈɔtmɑːt
slotopmerking	slˈɔtɔpmɛrkəŋ
slotparagraaf	slˈɔtparaχrɑːf
slotsin	slˈɔtsən
slotsom	slˈɔtsɔm
slotte	slˈɔtə
slotwoord	slˈɔtvuərt
sluier	slˈœyər
sluimer	slˈœymər
sluimerende	slˈœymərəndə
sluip	slœyp
sluipmoord	slˈœypmuərt
sluipmoordaanval	slˈœypmuərtɑːnfal
sluipmoorde	slˈœypmuərdə
sluipmoordenaar	slˈœypmuərdənɑːr
sluise	slˈœysə
sluiswagters	slˈœysvaχtərs
sluiting	slˈœytəŋ
sluitingsdatum	slˈœytəŋsdɑːtœm
sluitingskoers	slˈœytəŋskurs
sluitingsprys	slˈœytəŋsprəis
sluitingstyd	slˈœytəŋstəit
sluitsteen	slˈœytstiən
sluitweerremme	slˈœytviərrɛmə
sluk	slœk
slukderm	slˈœkdɛrəm
slukke	slˈœkə
slukkie	slˈœki
slurpvark	slˈœrpfark
slym	sləim
slyp	sləip
slypskole	slˈəipskuələ
slypskool	slˈəipskuəl
smaak	smɑːk
smaakknoppies	smˈɑːkknɔpis
smaaklik	smˈɑːklək
smaakvol	smˈɑːkfɔl
smag	smaχ
smagtende	smˈaχtəndə
smal	smal
smalend	smˈɑːlənt
smaller	smˈalər
smart	smart
smarte	smˈartə
smee	smiə
smeek	smiək
smeer	smiər
smeermiddels	smˈiərmədəls
smekend	smˈiəkənt
smeking	smˈiəkəŋ
smelt	smɛlt
smeltpunt	smˈɛltpœnt
smerige	smˈiərəχə
smiddae	smˈədɑːə
smit	smət
smokkel	smˈɔkəl
smokkelary	smˈɔkəlarəi
smoor	smuər
smouse	smˈœusə
smul	smœl
smullekker	smˈœllɛkər
smutsleuse	smˈœtsløːsə
smutsvolgelinge	smˈœtsfɔlχələŋə
smyt	sməit
snaakse	snˈɑːksə
snaaksste	snˈɑːkstə
snaar	snɑːr
snap	snap
snare	snˈɑːrə
snel	snɛl
snelbouler	snˈɛlbœulər
snelboulers	snˈɛlbœulərs
sneldeel	snˈɛldiəl
snelgroeiende	snɛlχrˈuiəndə
snelhede	snˈɛlɦiədə
snelheid	snˈɛlɦəit
snelheidsperk	snˈɛlɦəitspɛrk
snelle	snˈɛlə
sneller	snˈɛlər
snellers	snˈɛlərs
snelskrywer	snˈɛlskrəivər
sneltrajek	snˈɛltrajɛk
sneltrein	snˈɛltrəin
snelweg	snˈɛlvɛχ
snikhete	snˈəkɦiətə
snit	snət
snitte	snˈətə
snobisties	snɔbˈəstis
snoepwinkels	snˈupvəŋkəls
snoer	snur
snor	snɔr
snork	snɔrk
snuffel	snˈœfəl
snuif	snœyf
snuisterye	snœystərˈəiə
snuiters	snˈœytərs
sny	snəi
snydende	snˈəidəndə
snye	snˈəiə
snykanse	snˈəikɑːnsə
snyman	snˈəiman
snytjie	snˈəiki
snywond	snˈəivɔnt
soda	sˈuəda
sodanig	suədˈɑːnəχ
sodanige	suədˈɑːnəχə
sodat	sˈuədat
sodawater	sˈuədɑːvɑːtər
sodomie	sˈuədumi
soebat	sˈubat
soedannese	sudanˈiəsə
soek	suk
soeke	sˈukə
soekend	sˈukənt
soekenjins	sˈukɛnjəns
soeker	sˈukər
soeklig	sˈukləχ
soektog	sˈuktɔχ
soentjies	sˈuiŋkis
soepel	sˈupəl
soepelheid	sˈupəlɦəit
soete	sˈutə
soeter	sˈutər
soeterige	sˈutərəχə
soetkoek	sˈutkuk
soetlief	sˈutlif
soetliefie	sˈutlifi
soewereine	suvərˈəinə
sofa	sˈuəfa
sofas	sˈuəfas
sogenaamd	sˈuəχənɑːmt
sogenaamde	sˈuəχənɑːmdə
sogenoemde	sˈuəχənumdə
soggens	sˈɔχəns
soja	sˈuəja
sojabone	sˈuəjabuənə
sokker	sˈɔkər
sokkerklub	sˈɔkərklœp
sokkerspan	sˈɔkərspan
sokkervereniging	sˈɔkərfəriənəχəŋ
sokkerwedstryd	sˈɔkərvɛtstrəit
sokkie	sˈɔki
sokkies	sˈɔkis
solank	suəlˈaŋk
soldate	sɔldˈɑːtə
soldier	sɔldˈir
soleer	sulˈiər
solidariteit	sɔlidaritˈəit
solied	sulˈit
soliede	sulˈidə
solis	suəlˈəs
soliste	suəlˈəstə
solo	sˈuəlu
solostuk	sˈuəlustœk
solvente	sɔlfˈɛntə
som	sɔm
soma	sˈuəma
somaar	sˈuəmɑːr
somber	sˈɔmbər
some	sˈuəmə
somerhuis	sˈuəmərɦœys
somerset	sˈuəmərsɛt
somervakansie	sˈuəmərfakansi
sommerso	sˈɔmərsu
sommetjie	sˈɔmiki
sommige	sˈɔməχə
sommiges	sˈɔməχəs
somtyds	sˈɔmtəits
sonar	sˈuənar
sonates	sunˈɑːtəs
sonbesies	sˈɔnbiəsis
sonbrand	sˈɔnbrant
sonbrille	sˈɔnbrələ
sondaars	sˈɔndɑːrs
sondae	sˈɔndɑːə
sondagmôre	sˈɔndaχmɔrə
sondagskool	sˈɔndaχskuəl
sondagskoolonnie	sˈɔndaχskuəlɔni
sondak	sˈɔndak
sonde	sˈɔndə
sondes	sˈɔndəs
sondeval	sˈɔndəfal
sondig	sˈɔndəχ
sondige	sˈɔndəχə
sone	sˈuənə
sonenergie	sˈɔnɛnərχi
sones	zˈuənəs
song	sɔŋ
sonkant	sˈɔnkant
sonkrag	sˈɔnkraχ
sonkring	sˈɔnkrəŋ
sonlig	sˈɔnləχ
sonne	sˈɔnə
sonneblomme	sˈɔnəblɔmə
sonneblomolie	sˈɔnəblɔmuəli
sonneblomsaad	sˈɔnəblɔmsɑːt
sonnehitte	sˈɔnəɦətə
sonnelig	sˈɔnələχ
sonneskyn	sˈɔnəskəin
sonnestelsel	sˈɔnəstɛlsəl
sonnestelseltjie	sˈɔnəstɛlsəlki
sonnestrale	sˈɔnəstrɑːlə
sonnige	sˈɔnəχə
sononder	sˈɔnɔndər
sonop	sˈɔnɔp
sonskyn	sˈɔnskəin
sonsondergang	sˈɔnsɔndərχaŋ
sonsopkoms	sˈɔnsɔpkɔms
sonsverduistering	sˈɔnsfərdœystərəŋ
soogdiere	sˈuəχdirə
soom	suəm
soort	suərt
soorte	sˈuərtə
soortgelyk	sˈuərtχələik
soortgelyke	sˈuərtχələikə
sop	sɔp
sopas	suəpˈas
sopnat	sˈɔpnat
sopraan	suprˈɑːn
sorge	sˈɔrχə
sorghum	sˈɔrχœm
sorgsame	sˈɔrχsɑːmə
sorgvuldig	sɔrχfˈœldəχ
sorteer	sɔrtˈiər
sortering	sɔrtˈiərəŋ
sosaaitie	susˈɑːiti
soseer	susˈiər
sosiaal	suəʃiˈɑːl
sosiale	suəʃiˈɑːlə
sosialisering	suəʃialisˈiərəŋ
sosialiseringsvraagstuk	suəʃialisˈiərəŋsfrɑːχstœk
sosialisme	suəʃialˈəsmə
sosialiste	suəʃialˈəstə
sosialistiese	suəʃialˈəstisə
sosio	sˈuəʃiu
sosiohistoriese	suəʃiuɦistˈuərisə
sosiolinguistiese	suəʃiuləŋχuˈəstisə
sosiolinguïstiese	suəʃiuləŋχuˈəstisə
sosiologie	suəʃiuluχˈi
sosiologiese	suəʃiulˈuəχisə
sosioloog	suəʃiulˈuəχ
sosiopolitieke	suəʃiupɔlətˈikə
sot	sɔt
soul	sœul
souse	sˈœusə
soute	sˈœutə
soutgehalte	sˈœutχəɦaltə
souties	sˈœutis
soutoplossing	sˈœutɔplɔsəŋ
soutribbetjie	sˈœutrəbiki
soutribbetjies	sˈœutrəbikis
soutwater	sˈœutvɑːtər
soveel	sˈuəfiəl
soveelste	sˈuəfiəlstə
sover	sˈuəfɛr
soverre	suəfˈɛrə
sowaar	sˈuəvɑːr
sowat	suəvˈat
sowel	suəvˈɛl
sowjet	suəvjˈɛt
spa	spɑː
spaander	spˈɑːndər
spaanse	spˈɑːnsə
spaar	spɑːr
spaargeld	spˈɑːrχɛlt
spaghetti	spaχˈɛti
span	span
spanbou	spˈanbœu
spandeer	spandˈiər
spangees	spˈanχiəs
spankeuses	spˈankøːsəs
spankompetisie	spˈankɔmpətisi
spanlede	spˈanliədə
spanlid	spˈanlət
spanmaat	spˈanmɑːt
spanmaats	spˈanmɑːts
spanne	spˈanə
spannend	spˈanənt
spannende	spˈanəndə
spannetjie	spˈaniki
spanning	spˈanəŋ
spanninge	spˈanəŋə
spanningslyn	spˈanəŋsləin
spanningsvolle	spˈanəŋsfɔlə
spanpoging	spˈanpuəχəŋ
spantoue	spˈantœuə
spanverband	spˈanfərbant
spanwerk	spˈanvɛrk
sparre	spˈarə
spartaanse	spartˈɑːnsə
spartel	spˈartəl
spasie	spˈɑːsi
spasies	spˈɑːsis
spasiëring	spasiˈiərəŋ
spat	spat
spatare	spˈatɑːrə
speaker	spˈikər
speelbal	spˈiəlbal
speeldae	spˈiəldɑːə
speeldeeg	spˈiəldiəχ
speelgoed	spˈiəlχut
speelgoedjies	spˈiəlχukis
speelklei	spˈiəlkləi
speelplek	spˈiəlplɛk
speeltyd	spˈiəltəit
speelvak	spˈiəlfak
speelveld	spˈiəlfɛlt
speen	spiən
spek	spɛk
speke	spˈiəkə
spektakel	spɛktˈɑːkəl
spektrum	spˈɛktrœm
spekulante	spɛkylˈantə
spekulasie	spɛkylˈɑːsi
spekulatiewe	spɛkylatˈivə
spekvleis	spˈɛkfləis
spele	spˈiələ
spelende	spˈiələndə
speler	spˈiələr
spelers	spˈiələrs
spelery	spˈiələrəi
speletjie	spˈiəliki
speletjies	spˈiəlikis
spelle	spˈɛlə
spelling	spˈɛləŋ
spelpatroon	spˈɛlpatruən
spelpeil	spˈɛlpəil
spelreëls	spˈɛlriəls
spelstrategieë	spˈɛlstratəχiə
sperdatum	spˈɛrdɑːtœm
sperm	spˈɛrm
sperme	spˈɛrmə
sperms	spˈɛrms
spermsel	spˈɛrəmsɛl
spertyd	spˈɛrtəit
spertye	spˈɛrtəiə
speserye	spəsərˈəiə
spesiaal	spɛʃiˈɑːl
spesialis	spɛʃialˈəs
spesialiseer	spɛʃialisˈiər
spesialiseringsrigting	spɛʃialisˈiərəŋsrəχtəŋ
spesialiste	spɛʃialˈəstə
spesie	spˈiəsi
spesiename	spˈiəsinɑːmə
spesies	spˈiəsis
spesifiek	spɛsəfˈik
