# af-rcrl-lexicon.tsv — shipped Afrikaans pronunciation lexicon (word -> canonical IPA).
# RCRL Afrikaans Pronunciation Dictionary v1.4.1 (CTexT / North-West University) via ttslab/za_lex.
# CC BY-SA 2.5 ZA. Built by tools/afrikaans/build_af_lexicon.ts. Sidecar: af-rcrl-lexicon.PROVENANCE.md
# SHIPPED PATH ONLY — phonemizeWordRules (what the eval scores) does not consult this.
# 24914 entries.
aah	ɑː
aanspraakmakers	ˈɑːnsprɑːkmɑːkərs
aansprake	ˈɑːnsprɑːkə
aanspreek	ˈɑːnspriək
aanspreeklik	ɑːnsprˈiəklək
aanspreeklikhede	ɑːnsprˈiəkləkɦiədə
aanspreeklikheid	ɑːnsprˈiəkləkɦəit
aanspreeksin	ˈɑːnspriəksən
aanspreekvorm	ˈɑːnspriəkfɔrəm
aanstaan	ˈɑːnstɑːn
aanstaande	ˈɑːnstˈɑːndə
aanstaar	ˈɑːnstɑːr
aanstaltes	ˈɑːnstaltəs
aanstap	ˈɑːnstap
aansteek	ˈɑːnstiək
aansteeklik	ɑːnstˈiəklək
aansteeklike	ɑːnstˈiəkləkə
aanstel	ˈɑːnstɛl
aanstelling	ˈɑːnstɛləŋ
aanstellings	ˈɑːnstɛləŋs
aansterk	ˈɑːnstɛrk
aanstons	ˈɑːnstɔns
aanstoot	ˈɑːnstuət
aanstootlik	ɑːnstˈuətlək
aanstootlike	ɑːnstˈuətləkə
aansuiwer	ˈɑːnsœyvər
aansuiwering	ˈɑːnsœyvərəŋ
aansuiwerings	ˈɑːnsœyvərəŋs
aansuiweringsproefbalans	ˈɑːnsœyvərəŋsprufbalɑːns
aantal	ˈɑːntal
aantas	ˈɑːntas
aantasting	ˈɑːntastəŋ
aanteken	ˈɑːntiəkən
aantekening	ˈɑːntiəkənəŋ
aantekeningboek	ˈɑːntiəkənəŋbuk
aantekeninge	ˈɑːntiəkənəŋə
aantekenings	ˈɑːntiəkənəŋs
aantog	ˈɑːntɔχ
aantoon	ˈɑːntuən
aantree	ˈɑːntriə
aantref	ˈɑːntrɛf
aantrek	ˈɑːntrɛk
aantrekkamer	ˈɑːntrɛkkɑːmər
aantrekking	ˈɑːntrɛkəŋ
aantrekkingskrag	ˈɑːntrɛkəŋskraχ
aantreklik	ɑːntrˈɛklək
aantreklike	ɑːntrˈɛkləkə
aantrekliker	ɑːntrˈɛkləkər
aantreklikhede	ɑːntrˈɛkləkɦiədə
aantreklikheid	ɑːntrˈɛkləkɦəit
aantreklikste	ɑːntrˈɛkləkstə
aantyging	ɑːntˈəiχəŋ
aantygings	ɑːntˈəiχəŋs
aanvaar	ˈɑːnfˈɑːr
aanvaarbaar	ɑːnfˈɑːrbɑːr
aanvaarbaarheid	ɑːnfˈɑːrbɑːrɦəit
aanvaarbare	ɑːnfˈɑːrbɑːrə
aanvaarde	ɑːnfˈɑːrdə
aanvaarding	ɑːnfˈɑːrdəŋ
aanval	ˈɑːnfal
aanvalle	ˈɑːnfalə
aanvallend	ɑːnfˈalənt
aanvallende	ɑːnfˈaləndə
aanvaller	ˈɑːnfalər
aanvallers	ˈɑːnfalərs
aanvang	ˈɑːnfaŋ
aanvangs	ˈɑːnfaŋs
aanvangsfase	ˈɑːnfaŋsfɑːsə
aanvangskolwer	ˈɑːnfaŋskɔlvər
aanvangskolwers	ˈɑːnfaŋskɔlvərs
aanvangslees	ˈɑːnfaŋsliəs
aanvangsmaat	ˈɑːnfaŋsmɑːt
aanvangsvoorraad	ˈɑːnfaŋsfuərɑːt
aanvanklik	ɑːnfˈaŋklək
aanvanklike	ɑːnfˈaŋkləkə
aanvat	ˈɑːnfat
aanverwante	ˈɑːnfərvantə
aanvoel	ˈɑːnful
aanvoeling	ˈɑːnfuləŋ
aanvoer	ˈɑːnfur
aanvoerders	ˈɑːnfurdərs
aanvoering	ˈɑːnfurəŋ
aanvra	ˈɑːnfrɑː
aanvul	ˈɑːnfœl
aanvullend	ɑːnfˈœlənt
aanvullende	ɑːnfˈœləndə
aanvullers	ˈɑːnfœlərs
aanvullings	ˈɑːnfœləŋs
aanwakker	ˈɑːnvakər
aanwas	ˈɑːnvas
aanwend	ˈɑːnvɛnt
aanwending	ˈɑːnvɛndəŋ
aanwendsel	ˈɑːnvɛntsəl
aanwesig	ɑːnvˈiəsəχ
aanwesige	ɑːnvˈiəsəχə
aanwesiges	ɑːnvˈiəsəχəs
aanwesigheid	ɑːnvˈiəsəχɦəit
aanwins	ˈɑːnvəns
aanwinste	ˈɑːnvənstə
aanwys	ˈɑːnvəis
aanwysende	ɑːnvˈəisəndə
aanwyser	ˈɑːnvəisər
aanwysers	ˈɑːnvəisərs
aanwysing	ˈɑːnvəisəŋ
aanwysings	ˈɑːnvəisəŋs
aar	ˈɑːr
aarbeie	ˈɑːrbəiə
aard	ˈɑːrt
aardas	ˈɑːrtas
aardbewing	ˈɑːrtbiəvəŋ
aardbewings	ˈɑːrtbiəvəŋs
aardbewoner	ˈɑːrtbəvuənər
aardbewoners	ˈɑːrtbəvuənərs
aardbol	ˈɑːrtbɔl
aardgas	ˈɑːrtχas
aardgenote	ˈɑːrtχənuətə
aardig	ˈɑːrdəχ
aardigheid	ˈɑːrdəχɦəit
aardklop	ˈɑːrtklɔp
aardkors	ˈɑːrtkɔrs
aardkwessies	ˈɑːrtkwɛsis
aardoppervlak	ˈɑːrtɔpərflak
aardrykskunde	ɑːrdrəikskˈœndə
aards	ˈɑːrts
aardse	ˈɑːrtsə
aardskudding	ˈɑːrtskœdəŋ
aardt	ɑːrt
aardvark	ˈɑːrtfark
aardverhitting	ˈɑːrtfərɦətəŋ
aardverwarming	ˈɑːrtfərvarəməŋ
aarsel	ˈɑːrsəl
aarselend	ˈɑːrsələnt
aarseling	ˈɑːrsələŋ
aartappels	ˈɑːrtapəls
aartappelskyfies	ˈɑːrtapəlskəifis
aartjies	ˈɑːrkis
aartsbiskop	ˈɑːrtsbəskɔp
aartsvaders	ˈɑːrtsfɑːdərs
aartsvyand	ˈɑːrtsfəiant
aartsvyande	ˈɑːrtsfəiandə
aas	ˈɑːs
aasvoël	ˈɑːsfuəl
aasvoëls	ˈɑːsfuəls
abattoir	ˈabatwɑːr
abbas	ˈabas
abdominale	abdɔminˈɑːlə
abduksie	abdˈœksi
abiotiese	ˈabiuətisə
abjekte	abjˈɛktə
ablatief	ablatˈif
abnormaal	abnɔrmˈɑːl
abnormale	abnɔrmˈɑːlə
abnormaliteit	abnɔrmalitˈəit
abnormaliteite	abnɔrmalitˈəitə
aborsies	abˈɔrsis
abraham	ˈɑːbraɦam
abram	ˈɑːbram
abseil	ˈɛbsəil
absent	absˈɛnt
absolute	absulˈytə
absolutes	absulˈytəs
absolutisme	absulytˈəsmə
absorbeer	absɔrbˈiər
absorpsie	abzˈɔrpsi
absorpsiekoste	abzˈɔrpsikɔstə
abstrak	abstrˈak
abstraksie	abstrˈaksi
abstrakte	abstrˈaktə
absurd	absˈœrt
absurde	absˈœrdə
absurditeit	absœrditˈəit
abuis	abˈœys
academica	akadˈiəmika
adamsappel	ˈadamsapəl
adamstein	ˈadamstəin
adaptasie	adaptˈɑːsi
addendum	adˈɛndœm
addendums	adˈɛndœms
addisioneel	adiʃiunˈiəl
addisionele	adiʃiunˈiələ
additiewe	adətˈivə
adelaar	ˈɑːdəlɑːr
adellike	ˈɑːdələkə
adellikes	ˈɑːdələkəs
adem	ˈɑːdəm
adiabatiese	adiabˈɑːtisə
adjektief	adjɛktˈif
adjektiewe	adjɛktˈivə
adjunk	adjˈœŋk
adjunkhoof	adjˈœŋkɦuəf
adjunkminister	adjˈœŋkmənəstər
adjunkpresident	adjˈœŋkprəsədɛnt
adjunkredakteur	adjˈœŋkrɛdaktøːr
adjunkspeaker	adjˈœŋkspikər
adjunkvoorsitter	adjˈœŋkfuərsətər
admin	ˈadmən
administrasie	admənəstrˈɑːsi
administrasiekoste	admənəstrˈɑːsikɔstə
administrasies	admənəstrˈɑːsis
administrateur	admənəstratˈøːr
administrateurs	admənəstratˈøːrs
administratief	admənəstratˈif
administratiewe	admənəstratˈivə
administrator	admənəstrˈɑːtɔr
administreer	admənəstrˈiər
admiraal	admərˈɑːl
admireer	admərˈiər
adolessensie	adɔləsˈɛnsi
adolessent	adɔləsˈɛnt
adolessente	adɔləsˈɛntə
adolf	ˈadɔlf
adoons	adˈuəns
adrenale	adrənˈɑːlə
adrenalien	adrɛnalˈin
adrenergiese	adrənˈərχisə
adres	adrˈɛs
adresse	adrˈɛsə
adsorpsie	adzˈɔrpsi
adverteer	atfərtˈiər
adverteerders	atfərtˈiərdərs
advertensie	atfərtˈɛnsi
advertensiebord	atfərtˈɛnsibɔrt
advertensieborde	atfərtˈɛnsibɔrdə
advertensies	atfərtˈɛnsis
advertensiewese	atfərtˈɛnsiviəsə
advertering	atfərtˈiərəŋ
advieskomitee	atfˈiskɔmətiə
adviseer	atfisˈiər
adviserende	atfisˈiərəndə
adviseur	atfisˈøːr
adviseurs	atfisˈøːrs
advokaat	atfukˈɑːt
advokate	atfukˈɑːtə
aerobiese	iərˈuəbisə
af	ˈaf
afbaken	ˈafbɑːkən
afbakening	ˈafbɑːkənəŋ
afbakeningsraad	ˈafbɑːkənəŋsrɑːt
afbeeldings	ˈafbiəldəŋs
afbetaal	ˈafbətɑːl
afbetaling	ˈafbətɑːləŋ
afbeweeg	ˈafbəviəχ
afblaas	ˈafblɑːs
afbraak	ˈafbrɑːk
afbrand	ˈafbrant
afbreek	ˈafbriək
afbreekpunte	ˈafbriəkpœntə
afbrekende	afbrˈiəkəndə
afbreuk	ˈafbrøːk
afbuk	ˈafbœk
afbyt	ˈafbəit
afdaal	ˈafdɑːl
afdak	ˈafdak
afdakke	ˈafdakə
afdaler	ˈafdɑːlər
afdank	ˈafdaŋk
afdanking	ˈafdaŋkəŋ
afdankings	ˈafdaŋkəŋs
afdeling	ˈafdiələŋ
afdelings	ˈafdiələŋs
afdelingshoof	ˈafdiələŋsɦuəf
afdelingswinkel	ˈafdiələŋsvəŋkəl
afdraai	ˈafdrɑːi
afdraaipad	ˈafdrɑːipat
afdraande	ˈafdrɑːndə
afdreig	ˈafdrəiχ
afdroog	ˈafdruəχ
afdruk	ˈafdrœk
afdrukke	ˈafdrœkə
afdwaal	ˈafdwɑːl
afdwing	ˈafdwəŋ
afdwingbaar	afdwˈəŋbɑːr
afdwingbare	afdwˈəŋbɑːrə
affekteer	afɛktˈiər
affektief	afɛktˈif
affektiewe	afɛktˈivə
affikse	afˈəksə
affiniteit	afinitˈəit
affrikate	afrikˈɑːtə
afgaanse	afχˈɑːnsə
afgebaken	ˈafχəbɑːkən
afgebakende	ˈafχəbɑːkəndə
afgebeeld	ˈafχəbiəlt
afgebrand	ˈafχəbrant
afgebrande	ˈafχəbrandə
afgebreek	ˈafχəbriək
afgebring	ˈafχəbrəŋ
afgebyt	ˈafχəbəit
afgedaal	ˈafχədɑːl
afgedank	ˈafχədaŋk
afgedankte	ˈafχədaŋktə
afgedraai	ˈafχədrɑːi
afgedreig	ˈafχədrəiχ
afgedruk	ˈafχədrœk
afgedwaal	ˈafχədwɑːl
afgedwing	ˈafχədwəŋ
afgee	ˈafχiə
afgegaan	ˈafχəχɑːn
afgegee	ˈafχəχiə
afgehaal	ˈafχəɦɑːl
afgehandel	ˈafχəɦandəl
afgehandelde	ˈafχəɦandəldə
afgehang	ˈafχəɦaŋ
afgejaag	ˈafχəjɑːχ
afgekap	ˈafχəkap
afgekeur	ˈafχəkøːr
afgeklim	ˈafχəkləm
afgekoel	ˈafχəkul
afgekom	ˈafχəkɔm
afgekondig	ˈafχəkɔndəχ
afgekort	ˈafχəkɔrt
afgekyk	ˈafχəkəik
afgelaai	ˈafχəlɑːi
afgelas	ˈafχəlas
afgeleefde	ˈafχəliəfdə
afgelees	ˈafχəliəs
afgelei	ˈafχələi
afgeleide	ˈafχələidə
afgeleides	ˈafχələidəs
afgelewer	ˈafχəliəvər
afgeleë	ˈafχəliə
afgeloop	ˈafχəluəp
afgelope	ˈafχəlupə
afgelos	ˈafχəlɔs
afgeluister	ˈafχəlœystər
afgemaai	ˈafχəmɑːi
afgemaak	ˈafχəmɑːk
afgemeet	ˈafχəmiət
afgemerk	ˈafχəmɛrk
afgemete	ˈafχəmiətə
afgeneem	ˈafχəniəm
afgeplatte	ˈafχəplatə
afgepyl	ˈafχəpəil
afgeraai	ˈafχərɑːi
afgeransel	ˈafχəransəl
afgereken	ˈafχəriəkən
afgerig	ˈafχərəχ
afgerol	ˈafχərɔl
afgerond	ˈafχərɔnt
afgeronde	ˈafχərɔndə
afgery	ˈafχərəi
afgesaagde	ˈafχəsɑːχdə
afgesaal	ˈafχəsɑːl
afgesak	ˈafχəsak
afgesant	ˈafχəsant
