# Serbo-Croatian accent TRANSITIONS — the OOV tier. Key: <ending>|<stem tone>. Value:
# <nucleus shift><TAB><resulting tone><TAB><tone agreement, 0-100><TAB><support>.
# Applied to a stem whose accent is known, NOT used to predict an accent from nothing.
# The shift is always taken (its alternative, first-nucleus, scores 66.8% on these words);
# the tone is withheld below the engine's agreement threshold, as a homograph's is.
# Learned from stress.tsv itself. See tools/serbian/build_sh_accent_transitions.py.
lni|LF	0	SF	60	5
lni|LR	-2	SF	88	8
lni|SF	0	SF	60	5
lni|SR	0	SF	82	11
lno|--	0	SR	100	1
lno|LF	0	SR	75	4
lno|LR	-2	SF	100	3
lno|SF	0	SF	67	3
lno|SR	-1	SF	50	2
lo|--	0	SR	50	4
lo|LF	0	SR	64	14
lo|LR	0	SF	50	4
lo|SF	0	SF	67	6
lo|SR	0	SR	100	4
log|LR	1	SR	100	2
log|SF	0	LR	60	5
lom|LF	1	SR	100	1
lom|SF	0	LR	100	2
lon|LF	0	LR	100	1
lov|LF	0	SF	50	2
lu|LF	0	SR	100	2
lu|LR	1	SR	100	1
