# German loanword consonant corrections — word<TAB>consonant-ordinal+target,… (0-based CONSONANT index →
# target). Generated by tools/gen/build-de-consonant.mts from the kaikki German extract, ONLY for consonants
# where kaikki differs from ours along a known loan pair (v→f/f→v, s→z/z→s, x→ç/k, k→ç, ŋ→n) — the lexical
# native-vs-loanword split (November → …v…, Safe → s…) no rule captures.
extroversion	4v
fachunkundig	2n
familienstandsänderungen	8s
fankurve	1n,4v
favela	1v
favelas	1v
favorit	1v
fechser	2s
feinkörnig	1n
feldblumensträußchen	11ç
felsensittich	4s
felsensittiche	4s
felsensittiches	4s
felsenzaunköniges	6n
fernuniversität	4v
feucht	1ç
feuchte	1ç
feuchter	1ç
feuchtfröhlich	1ç
feuchtigkeit	1ç
feuchtphase	1ç
feuchtwangen	1ç
fietse	2s
fiktiv	3v
filmregisseur	4ʒ
filmregisseurin	4ʒ
fisole	1s
fisseln	1z
flachs	2k
flachse	2k,3s
flachsen	2k,3s
flachsfaser	2k
flachsig	2k,3s
flankerl	2n
flapsig	3s
flechse	3s
fledermausärmel	4s
fledermausärmels	4s
fleuchen	2ç
flevoland	2v
flockigste	3ç
flockigstem	3ç
flockigsten	3ç
flockigster	3ç
flockigstes	3ç
flugpassagier	5ʒ
flugzeuggeschwindigkeit	5ç
flugzeuggeschwindigkeiten	5ç
fluvial	2v
flächsern	3s
flüssigchromatografie	3ç
flüssigchromatographie	3ç
flüssigkeitsansammlung	6s
flüssigkeitsansammlungen	6s
forchheim	2ç
forchtenberg	2ç
forschungseinrichtungen	4s
forschungsreisende	6z
forschungsreisenden	6z
franchise	4s
freakigste	3ç
freakigstem	3ç
freakigsten	3ç
freakigstes	3ç
freizeitgebräuche	8ç
frivol	2v
frivolität	2v
frohsinnigste	4ç
frohsinnigstem	4ç
frohsinnigsten	4ç
frohsinnigster	4ç
frohsinnigstes	4ç
froschperspektive	9v
frühjahrsoffensive	8v
frühlingsblumensträußchen	13ç
frühlingsendes	4s
frühlingsoffensive	8v
frühsexualisierung	2s
fuchs	1k
fuchsbau	1k
fuchsbeere	1k
fuchsberg	1k
fuchsberger	1k
fuchsbergerin	1k
fuchsbergs	1k
fuchsen	1k,2s
fuchshai	1k
fuchsie	1k,2s
fuchsig	1k,2s
fuchsjagd	1k
fuchsschwalbe	1k
fuchsschwalben	1k
fuchsschwanz	1k
fuchsschwanzes	1k
fuchsschwänze	1k
fuchsteufelswild	1k
funktionsverb	7v
furche	2ç
furcht	2ç
furchtbar	2ç
furchtlos	2ç
furchtlosigkeit	2ç
furchtsam	2ç
futsal	2s
füchse	2s
füchsin	2s
fügsam	2s
fünfer	2v
fünfundachtzigste	8ç
fünfundfünfzigfach	10ç
fünfundfünfzigfacher	10ç
fünfundfünfzigste	10ç
fünfundneunzigste	9ç
fünfundsechzigste	9ç
fünfundsiebzigste	9ç
fünfundvierzigfach	9ç
fünfundvierzigfacher	9ç
fünfundvierzigste	9ç
fünfundvierzigstel	9ç
fünfundvierzigstels	9ç
fünfundvierzigstens	9ç
fünfundvierzigster	9ç
fünfundvierzigstündiger	9ç
fünfundzwanzigstel	11ç
fünfundzwanzigstels	11ç
fünfundzwanzigstens	11ç
fünfzehnköpfig	5n
fünfzehnköpfiger	5n
fünfzigprozentig	5ç
fünfzigstel	5ç
fünfzigstels	5ç
fünfzigstens	5ç
fünfzigstündig	5ç
fünfzigtägig	5ç
fürstenkronen	4n
gagelsträucher	6ç
galvanisch	2v
ganove	2v
garage	2ʒ
