# Serbo-Croatian accent lexicon — word<TAB>stressed-nucleus ordinal (0-based)<TAB>accent.
# The accent is the four-way pitch system: SR short-rising, LR long-rising, SF short-falling,
# LF long-falling, and `--` = the position is known but two contours are recorded for this
# spelling (grâd/grȁd), so the engine emits ˈ and withholds the tone rather than guessing.
# Position is emitted as ˈ; the accent becomes a Chao tone letter + length.
# Shared by the sr / hr / bs engines, which all run serbian.ts's g2p. A nucleus is a vowel OR a syllabic ⟨r⟩.
# From kaikki.org Serbo-Croatian (Wiktionary extract, CC-BY-SA) — built from the ACCENTED
# ORTHOGRAPHY (rijéka), not the IPA (/rjěːka/), which has a different nucleus count under the
# Ijekavian ⟨ije⟩ reflex. Both scripts. See tools/serbian/build_sh_stress_lexicon.py.
andžar	0	SR
andžara	1	LR
ane	0	LR
anegdota	2	--
anegdotalan	2	SR
anegdotalni	2	SR
anegdotalnost	3	LR
anegdotalnosti	3	LR
anegdotalnošću	3	LR
anegdotičan	2	SR
anegdotični	2	SR
anegdotičnost	2	SR
anegdotičnosti	2	SR
anegdotičnošću	2	SR
anegdotski	1	SR
aneks	0	SR
aneksija	1	SR
aneksijski	1	SR
aneksioni	0	SF
aneksionist	3	SR
aneksionista	3	SR
aneksionistički	4	SR
anektirajući	2	LR
anektiranje	2	LR
anektirati	2	LR
anektiravši	2	LR
anemija	1	SR
anemičan	1	SR
anemični	1	SR
aneroid	2	SR
anestetici	2	SR
anestetik	2	SR
anestezija	2	SR
anestezirati	3	LR
angažirajući	2	LR
angažiran	1	SR
angažirani	1	SR
angažiranje	2	LR
angažirati	2	LR
angažiravši	2	LR
angelologija	3	SR
angina	1	LR
angiologija	3	SR
angiom	1	SR
angioma	2	LR
anglicizam	2	SR
anglicizma	2	SR
anglicizmi	2	SR
anglikan	1	SR
anglikana	2	LR
anglikanac	2	LR
anglikanca	2	LR
anglikanci	2	LR
anglikani	2	LR
anglikanka	1	SR
anglikanski	1	SR
anglist	0	SR
anglistika	1	SR
anglistički	1	SR
anglizam	1	SR
anglizma	1	SR
anglizmi	1	SR
angloamerika	3	SR
angloamerički	3	SR
anglofil	1	SR
anglofila	2	LR
anglofob	1	SR
anglofoba	2	LR
anglosaksonac	3	LR
anglosaksonaca	2	SR
anglosaksonci	3	LR
anglosaksonski	2	SR
anglosaski	1	SR
angola	1	LF
angolac	1	LR
angolaca	0	SR
angolca	1	LR
angolce	1	LR
angolci	1	LR
angolcima	1	LR
angolcom	1	LR
angolcu	1	LR
angolka	0	SR
angolski	0	SR
angolče	0	SF
anihilacija	3	LR
anihilacijama	3	LR
anihilacije	3	LR
anihilaciji	3	LR
anihilacijo	3	LR
anihilacijom	3	LR
anihilaciju	3	LR
anilin	1	SR
anilina	2	LR
aniline	0	SF
anilinom	2	LR
anilinski	1	SR
anilinu	2	LR
animacija	2	LR
animalan	0	SF
animalni	0	SF
animator	1	SR
animirajući	2	LR
animiranje	2	LR
animirati	2	LR
animiravši	2	LR
animizam	2	SR
animizma	2	SR
animozitet	3	SR
animoziteta	4	LR
anion	0	SF
anis	0	SR
anisa	0	SR
anita	0	SR
anić	0	SR
aničica	0	SF
anka	0	LF
ankara	0	SR
anketa	1	SR
anketar	1	SR
anketara	2	LR
anketirajući	2	LR
anketiranje	2	LR
anketirati	2	LR
anketiravši	2	LR
anketni	0	SR
