# Irish (ga) Connacht pronunciation lexicon — generated by tools/gen/build-ga-lexicon.mts (do not hand-edit).
# Oracle-distilled (espeak-ng-portable ga over the 50k corpus), Connacht-normalized vs the wikipron gle
# referee: broad bh/mh vˠ→w, unstressed final -e ɛ→ə, unstressed short i ɪ→ə, spurious break iːə→iː. Only
# consonant+glide-skeleton-matching entries are kept (pins semi-lexical VOWEL QUALITY — io/oi/eo splits —
# without importing a consonant quirk OR an oracle glide the rules omit), THEN referee-gated: any entry the
# wikipron gle referee covers is kept only if it folds to a referee pronunciation, so the lexicon never pulls
# a checkable word away from Connacht ground truth. word<TAB>IPA.
alcaile	əl̪ˠkˈalʲə
alcalóideach	əl̪ˠkəl̪ˠˈoːⁱdʲəx
alcán	ˈal̪ˠkˌɑːn̪ˠ
alcánacha	ˈal̪ˠkˌɑːn̪ˠəxə
alcóil	əl̪ˠkˈoːⁱlʲ
alcól	əl̪ˠkˈoːl̪ˠ
alcólach	əl̪ˠkˈoːl̪ˠəx
algae	ˈal̪ˠəɡeː
algancach	ˈal̪ˠəɡən̪ˠkəx
algartam	ˈal̪ˠəɡəɾˠt̪ˠəmˠ
algasb	ˈal̪ˠəɡəsˠbˠ
algaí	ˈal̪ˠəɡiː
alger	ˈal̪ˠəɟəɾʲ
algol	ˈal̪ˠəɡəl̪ˠ
algóinciach	əl̪ˠəɡˈoːⁱnʲciəx
algóinciacha	əl̪ˠəɡˈoːⁱnʲciəxə
algóincis	əl̪ˠəɡˈoːⁱnʲcəʃ
aliis	ˈalʲəɪʃ
alius	ˈalʲʊsˠ
allagóire	əl̪ˠəɡˈoːⁱɾʲə
allatróip	əl̪ˠət̪ˠɾˠˈoːⁱpʲ
allatrópacht	əl̪ˠət̪ˠɾˠˈoːpˠəxt̪ˠ
allán	ˈal̪ˠˌɑːn̪ˠ
allód	əl̪ˠˈoːd̪ˠ
almóin	əl̪ˠmˠˈoːⁱnʲ
almóinní	əl̪ˠmˠˈoːⁱnʲiː
altrama	ˈal̪ˠt̪ˠɾˠaʊmˠə
altán	ˈal̪ˠt̪ˠˌɑːn̪ˠ
altóirí	əl̪ˠt̪ˠˈoːⁱɾʲiː
altóra	əl̪ˠt̪ˠˈoːɾˠə
alán	ˈal̪ˠˌɑːn̪ˠ
aláraim	ˈal̪ˠˌɑːɾˠəmʲ
aláram	ˈal̪ˠˌɑːɾˠəmˠ
aló	əl̪ˠˈoː
amach	əmˠˈax
amadán	ˈamˠəd̪ˠˌɑːn̪ˠ
amaháin	əmˠəhˈɑːⁱnʲ
amaitéarach	əmˠətʲˈeːɾˠəx
amaitéaracha	əmˠətʲˈeːɾˠəxə
