# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
ชักโครก	t͡ɕʰˈa˦˥kkʰroː˥˩k
ชันษา	t͡ɕʰˈa˧nna˦˥sˌaː˩˩˦
ชันสูตร	t͡ɕʰˈa˧nna˦˥sˌuː˨˩t
ชันสูตรพลิกศพ	t͡ɕʰˈa˧nna˦˥sˌuː˨˩tpʰli˦˥ksˌo˨˩p
ชาติ	t͡ɕʰˈaː˥˩t
ชาติชาย	t͡ɕʰˈaː˥˩tt͡ɕʰaː˧j
ชาตินิยม	t͡ɕʰˈaː˥˩tni˦˥jˌo˧m
ชาติพันธุ์	t͡ɕʰˈaː˥˩tti˨˩pʰˌa˧n
ชิงช้าสวรรค์	t͡ɕʰˈi˧ŋt͡ɕʰaː˦˥sˌa˨˩wa˩˩˦n
ชิงทรัพย์	t͡ɕʰˈi˧ŋsa˦˥p
ชิมแปนซี	t͡ɕʰˈi˧mpɛː˧nsˌiː˧
ชีพจร	t͡ɕʰˈiː˥˩ppʰa˦˥t͡ɕˌɔː˧n
ชีวภาพ	t͡ɕʰˈiː˧wa˦˥pʰˌaː˥˩p
ชีววิทยา	t͡ɕʰˈiː˧wa˦˥wˌi˦˥ttʰa˦˥jˌaː˧
ชื่อสกุล	t͡ɕʰˈɯː˥˩sa˨˩kˌu˧n
ชื่อเล่น	t͡ɕʰˈɯː˥˩le˥˩n
ชุมพร	t͡ɕʰˈu˧mpʰɔː˧n
ชุลมุน	t͡ɕʰˈu˧nla˦˥mˌu˧n
ช่างเครื่อง	t͡ɕʰˈaː˥˩ŋkʰrɯa˥˩ŋ
ซอมซ่อ	sˈɔː˧mma˦˥sˌɔː˥˩
ซออู้	sˈɔː˧ʔuː˥˩
ซากดึกดำบรรพ์	sˈaː˥˩kdɯ˨˩kdˌa˧mba˧n
ซิมบับเว	sˈi˧mba˦˥pwˌeː˧
ซี่โครง	sˈiː˥˩kʰroː˧ŋ
ซูเปอร์สตาร์	sˈuː˧pɤː˥˩sˌa˨˩taː˧
ฌาปนกิจ	t͡ɕʰˈaː˧pa˨˩nˌa˦˥ki˨˩t
ญาณวิทยา	jˈaː˧na˦˥wˌi˦˥ttʰa˦˥jˌaː˧
ญาติ	jˈaː˥˩t
ฐานันดร	tʰˈaː˩˩˦na˧ndˌɔː˧n
ดอกไม้	dˈɔː˨˩kmaː˦˥j
ดอกไม้ไฟ	dˈɔː˨˩kmaː˦˥jfˌa˧j
ดัดแปลง	dˈa˨˩tplɛː˧ŋ
ดับเบิลยู	dˈa˨˩pbɤ˥˩njˌuː˧
