# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
اسفندیار	ɪsfən̪d̪ɪjɑːɾ
اسقاط	ɪsqɑːt̪
اسلام	ɪslɑːm
اسلامی	ɪslɑːmiː
اسلامیت	ɪslɑːmɪjət̪
اسلحہ	əsləɦɑ
اسلم	əsləm
اسلوب	əsəluːb
اسم	ɪsm
اسماعیل	ɪsmɑːɪl
اسمبھو	əsəmbʱəʋ
اسنان	snɑːn
اسٹام	ɪsʈɑːm
اسٹرابیری	əsʈɾɑːbeːɾiː
اسٹیشن	ɪsʈeːʃən
اسٹیڈیم	sʈeːɖɪjəm
اسپ	əsp
اسپات	ɪspɑːt̪
اسپتال	əspət̪ɑːl
اسپغول	əspəɣoːl
اسکندریہ	ɪskən̪d̪əɾɪjɑ
اسکول	skuːl
اسکولوں	əsəkuːloː̃
اسی	əsːiː
اسیرنا	ʊseːɾnɑː
اسیسا	ʊsiːsɑː
اسیمبلی	əseːmbəliː
اسے	ɪseː
اشا	ʊʃɑː
اشارہ	ɪʃɑːɾɑ
اشبھ	əʃʊbʱ
اشتراک	əʃt̪əɾɑːk
اشتقاق	əʃt̪əqɑːq
اشتہا	əʃt̪əɦɑː
اشتہار	ɪʃt̪əɦɑːɾ
اشتہارى	ɪʃt̪əɦɑːɾiː
اشتیاق	əʃət̪ʊjɑːq
اشدھ	əʃʊd̪ʱː
اشر	əʃɾʊ
اشرفی	əʃəɾfiː
اشعار	əʃəɑːɾ
اشن	ʊʃɳ
اشنیش	ʊʃɳiːʃ
اشو	əʃʋ
اشوک	əʃoːk
اشٹرپکشی	ʊʃʈɾəpəkʃiː
اشک	əʃk
اشکت	əʃəkt̪
اصرار	ɪsɾɑːɾ
اصطبل	əst̪əbəl
اصطلاح	əst̪əlɑːɦ
اصفہان	ɪsfəɦɑːn
اصل	əsəl
اصلی	əsliː
اصلیت	əslɪjət̪
اصول	ʊsuːl
اصہار	əsɦɑːɾ
اضافہ	ɪzɑːfɑ
اضافی	ɪzɑːfiː
اضطراب	ɪzt̪ɪɾɑːb
اضطراری	əzt̪əɾɑːɾiː
اطالوی	ɪt̪ɑːlʋiː
اطالیہ	ɪt̪ɑːlɪjɑ
اطفال	ət̪fɑːl
اطلاع	ɪt̪ːeːlɑː
اطلس	ət̪ləs
اطمینان	ɪt̪miːnɑːn
اظہار	ɪzɦɑːɾ
اعتبار	eːt̪bɑːɾ
اعتراض	ɛːt̪ɾɑːz
اعتراضات	əʔt̪əɾɑːzɑːt̪
اعتراضوں	əʔt̪əɾɑːzoː̃
اعتراف	eː t̪ɪɾɑːf
اعتماد	əʔt̪əmɑːd̪
اعراف	eːɾɑːpʰ
اعلان	eːlɑːn
اعلی	ɑːlɑː
اغوا	əɣʋɑː
اف	ʊf
افتتاح	ɪft̪ɪt̪ɑːɦ
افراد	əfɾɑːd̪
افریقا	əfɾiːkɑː
افسا	əfsɑː
افسانہ	əfsɑːnɑ
افسر	əfsəɾ
افسرده	əfsʊɾd̪ɑː
افسردگی	əfsʊɾəd̪ɡiː
افسوس	əfsoːs
افطار	ɪft̪ɑːɾ
افغان	əfɣɑːn
افغانستان	əfɣɑːnɪst̪ɑːn
افغانی	əfɣɑːniː
افلاطون	əflɑːt̪uːn
افواج	əfʋɑːd͡ʒ
افواہ	əfʋɑːɦ
افیم	əfiːm
افیوں	əpʰjuː̃
اقبال	ɪqbɑːl
اقتدار	əqt̪əd̪ɑːɾ
اقتصادی	əqt̪əsɑːd̪iː
اقرار	ɪqɾɑːɾ
اقرارمانہ	ɪqɾɑːɾnɑːmɑ
ال	əlɪ
الائچی	ɪlɑːjt͡ʃiː
الاسکا	əlɑːskɑː
الاو	əlɑːʋ
الاہنا	ʊlɑːɦnɑː
البانیا	əlbɑːnɪjɑː
البانیائی	əlbɑːnɪjɑːiː
البتہ	əlbət̪ːɑ
البم	əlbəm
البیلا	ələbeːlɑː
التجا	ɪlt̪ɪd͡ʒɑː
الجھاؤ	ʊld͡ʒʱɑːʋ
الجھانا	ʊld͡ʒʱɑːnɑː
الجھن	ʊld͡ʒʱən
الجھنا	ʊləd͡ʒʱnɑː
الجھیڑا	ʊld͡ʒʱeːɽɑː
الجھیڑیا	ʊld͡ʒʱeːɽɪjɑː
الجیریا	əld͡ʒiːɾɪjɑː
الرجی	eːləɾd͡ʒiː
الزام	ɪlzɑːm
الس	ələs
السٹر	ələsʈəɾ
الف	əlɪf
الفاظ	əlfɑːz
الفت	ʊlfət̪
القاعدہ	əl qɑːjd̪ɑ
القترا	əlqət̪ɾɑː
اللہ	əlːɑːɦ
الم	ələm
الماری	əlmɑːɾiː
النکار	ələŋkɑːɾ
النکرت	ələŋkɾɪt̪
النگ	ʊləŋɡ
الو	ʊlːuː
الوداع	əlʋɪd̪ɑː
الونا	əloːnɑː
الوک	ʊluːk
الٹنا	ʊləʈnɑː
الٹی	ʊlʈiː
الٹیاں	əlʈjɑː̃
الٹیمیٹم	əlʈiːmeːʈəm
الٹیوں	əlʈjoː̃
الپ	əlp
الکحل	əlkəɦəl
الکشمی	ələkʃmiː
الکھ	ələkʰ
الگ	ələɡ
الہام	ɪlɦɑːm
الہڑ	əlɦəɽ
الہی	ɪlɑːɦiː
الی	ɪlːiː
الیاس	ɪlɪjɑːs
الیسع	ələjsɑː
الیکٹران	ɪleːkʈɾɔːn
اما	ʊmɑː
امارت	ɪmɑːɾət̪
امام	ɪmɑːm
