# Urdu IPA COVERAGE lexicon — undiacritized skeleton ⇥ canonical IPA (UNSTRESSED; weight-stress applied at lookup).
# Replaces the harakat lexicon for Urdu: harakat can't encode majhūl (ی=iː~eː, و=oː~uː); the cross-script Hindi
# gold carries it. Source: silver.hindiurdu.tsv (real Urdu spellings, IPA from the hi g2p — independent of wikipron)
# then the g2p-converted harakat lexicon for the Urdu-native tail. Regenerate: tools/arabic-restorer/build_ur_ipa_lexicon.ts.
آؤ	ɑːʋ
پیچھے	piːt͡ʃʰeː
پیچیدہ	peːt͡ʃiːd̪ɑ
پیڑ	peːɽ
پیڑا	piːɽɑː
پیڑھا	piːɽʱɑː
پیڑھی	piːɽʱiː
پیکار	pɛːkɑːɾ
پیکان	pɛːkɑːn
پیکاچو	pɪkɑːt͡ʃuː
پیکھنا	peːkʰnɑː
پیہر	piːɦəɾ
پیے	pɪjeː
چا	t͡ʃɑː
چائنا	t͡ʃɑːɪnɑː
چائے	t͡ʃɑːj
چابنا	t͡ʃɑːbnɑː
چابک	t͡ʃɑːbʊk
چابھنا	t͡ʃɑːbʱnɑː
چابھی	t͡ʃɑːbʱiː
چابی	t͡ʃɑːbiː
چادر	t͡ʃɑːd̪əɾ
چار	t͡ʃɑːɾ
چارا	t͡ʃɑːɾɑː
چارسدہ	t͡ʃɑːɾsəd̪ɑ
چاروں	t͡ʃɑːɾoː̃
چارہ	t͡ʃɑːɾɑ
چاشت	t͡ʃɑːʃt̪
چاشنی	t͡ʃɑːʃniː
چاقو	t͡ʃɑːquː
چال	t͡ʃɑːl
چالاک	t͡ʃɑːlɑːk
چالاکی	t͡ʃɑːlɑːkiː
چالنا	t͡ʃɑːlnɑː
چالک	t͡ʃɑːlək
چالیس	t͡ʃɑːliːs
چالیسپد	t͡ʃɑːliːspəd̪
چام	t͡ʃɑːm
چاند	t͡ʃɑːn̪d̪
چاندنی	t͡ʃɑː̃d̪niː
چاندی	t͡ʃɑː̃d̪iː
چانٹا	t͡ʃɑː̃ʈɑː
چانپنا	t͡ʃɑː̃pnɑː
چانگچون	t͡ʃɑːŋɡət͡ʃuːn
چاو	t͡ʃɑːʋ
چاول	t͡ʃɑːʋəl
چاٹ	t͡ʃɑːʈ
چاٹنا	t͡ʃɑːʈnɑː
چاٹو	t͡ʃɑːʈʊ
چاپ	t͡ʃɑːp
چاچا	t͡ʃɑːt͡ʃɑː
چاچو	t͡ʃɑːt͡ʃuː
چاچی	t͡ʃɑːt͡ʃiː
چاڈ	t͡ʃɑːɖ
چاک	t͡ʃɑːk
چاکر	t͡ʃɑːkəɾ
چاکلیٹ	t͡ʃɔːkleːʈ
چاکھنا	t͡ʃɑːkʰnɑː
چاہ	t͡ʃɑːɦ
چاہت	t͡ʃɑːɦət̪
چاہنا	t͡ʃɑːɦnɑː
چاہیے	t͡ʃɑːɦɪjeː
چاہے	t͡ʃɑːɦeː
چایخانہ	t͡ʃɑːjxɑːnɑ
چایدان	t͡ʃɑːjd̪ɑːn
چاۓ	t͡ʃɑːeː
چبانا	t͡ʃəbɑːnɑː
چبوترا	t͡ʃəbuːt̪ɾɑː
چبک	t͡ʃɪbʊk
چت	t͡ʃɪt̪ː
چتر	t͡ʃɪt̪ɾ
چترماس	t͡ʃət̪ʊɾmɑːs
چترکوٹ	t͡ʃɪt̪ɾəkuːʈ
چتور	t͡ʃɪt̪ːuːɾ
چتون	t͡ʃɪt̪ʋən
چتکان	t͡ʃɪt̪kɑːn
چتھاڑنا	t͡ʃɪt̪ʰɑːɽnɑː
چتھڑا	t͡ʃɪt̪ʰɽɑː
چتھڑیا	t͡ʃɪt̪ʰɽɪjɑː
چدائی	t͡ʃʊd̪ɑːiː
چدانا	t͡ʃʊd̪ɑːnɑː
چدوانا	t͡ʃʊd̪ʋɑːnɑː
چدکڑ	t͡ʃʊd̪əkːəɽ
چرائی	t͡ʃʊɾɑːiː
چراغ	t͡ʃɪɾɑːɣ
چراغدان	t͡ʃɪɾɑːɣd̪ɑːn
چرانا	t͡ʃʊɾɑːnɑː
چراک	t͡ʃəɾɑːk
چراگاہ	t͡ʃəɾɑːɡɑːɦ
چربی	t͡ʃəɾbiː
چرخ	t͡ʃəɾx
چرخاب	t͡ʃəɾxɑːb
چرخہ	t͡ʃəɾxɑ
چرس	t͡ʃəɾəs
چرم	t͡ʃəɾəm
چرمرانا	t͡ʃəɾəmɾɑːnɑː
چرمروگ	t͡ʃəɾməɾoːɡ
چرنا	t͡ʃəɾnɑː
چروانا	t͡ʃɪɾʋɑːnɑː
چرٹ	t͡ʃʊɾʊʈ
چرپرا	t͡ʃəɾəpɾɑː
چرچ	t͡ʃəɾt͡ʃ
چرچا	t͡ʃəɾt͡ʃɑː
چرکٹ	t͡ʃɪɾkʊʈ
چست	t͡ʃəst̪
چستی	t͡ʃʊst̪iː
چسنا	t͡ʃʊsnɑː
چشتیاں	t͡ʃəʃət̪ʊjɑː̃
چشم	t͡ʃəʃm
چشمش	t͡ʃəʃmɪʃ
چشمہ	t͡ʃəʃmɑ
چشک	t͡ʃəʃək
چغتائی	t͡ʃəɣt̪ɑːiː
چغد	t͡ʃəɣd̪
چق	t͡ʃɪk
چقمق	t͡ʃəqməq
چقندر	t͡ʃʊqən̪d̪əɾ
چلانا	t͡ʃɪlːɑːnɑː
چلاہٹ	t͡ʃɪlːɑːɦəʈ
چلتہ	t͡ʃɪlt̪ɑ
چلغوزہ	t͡ʃɪlɣoːzɑ
چلم	t͡ʃɪləm
چلمچی	t͡ʃɪləmt͡ʃiː
چلن	t͡ʃələn
چلنا	t͡ʃəlnɑː
چلو	t͡ʃʊlːuː
چلوانا	t͡ʃəlʋɑːnɑː
چلون	t͡ʃɪlʋən
چلچتر	t͡ʃəlt͡ʃɪt̪ɾ
چلی	t͡ʃɪliː
چما	t͡ʃʊmːɑː
چمار	t͡ʃəmɑːɾ
چمبن	t͡ʃʊmbən
چمبک	t͡ʃʊmbək
چمبیلی	t͡ʃəməbeːliː
چمتکار	t͡ʃəmət̪kɑːɾ
چمس	t͡ʃəməs
چمن	t͡ʃəmən
چمنی	t͡ʃɪmniː
چمو	t͡ʃəmuː
چمپا	t͡ʃəmpɑː
چمچ	t͡ʃəmːət͡ʃ
چمچمانا	t͡ʃəmət͡ʃmɑːnɑː
چمچہ	t͡ʃəmt͡ʃɑ
چمڑا	t͡ʃəmɽɑː
چمڑی	t͡ʃəmɽiː
چمک	t͡ʃəmək
چمکدار	t͡ʃəməkd̪ɑːɾ
چمکنا	t͡ʃəməknɑː
چمکیلا	t͡ʃəmkiːlɑː
چمگادڑ	t͡ʃəmɡɑːd̪əɽ
چمیلی	t͡ʃəmeːliː
چنئی	t͡ʃeːnːəiː
چنا	t͡ʃənɑː
چناؤ	t͡ʃʊnɑːʋ
چناب	t͡ʃənɑːb
چنار	t͡ʃɪnɑːɾ
چنبا	t͡ʃʊmbɑː
چنتا	t͡ʃɪn̪t̪ɑː
چنتک	t͡ʃɪn̪t̪ək
چند	t͡ʃənd̪
چندا	t͡ʃənd̪ɑː
چندر	t͡ʃən̪d̪ɾ
چندربند	t͡ʃənd̪ɾəbɪnd̪ʊ
چندربھاگا	t͡ʃən̪d̪ɾəbʱɑːɡɑː
چندن	t͡ʃənd̪ən
چندولی	t͡ʃənd̪ɔːliː
چندہ	t͡ʃən̪d̪ɑ
چنری	t͡ʃʊnɾiː
چننا	t͡ʃʊnnɑː
چنندہ	t͡ʃʊnɪn̪d̪ɑ
چنگال	t͡ʃəŋɡɑːl
چنگڑا	t͡ʃɪŋɡəɽɑː
چنگھاڑ	t͡ʃɪŋɡʱɑːɽ
چنیوٹ	t͡ʃənʊjoːʈ
چهما	t͡ʃʰəmɑː
چهو	t͡ʃʰəʋɪ
چهيري	t͡ʃʰeːɾiː
چوائس	t͡ʃʋɔːɪs
چوالیس	t͡ʃəʋɑːliːs
چواوا	t͡ʃɪʋɑːʋɑː
چوبارہ	t͡ʃɔːbɑːɾɑ
چوبدار	t͡ʃoːbd̪ɑːɾ
چوبیس	t͡ʃɔːbiːs
چوبے	t͡ʃɔːbeː
چوت	t͡ʃuːt̪
چوتال	t͡ʃɔːt̪ɑːl
چوتر	t͡ʃuːt̪əɾ
چوتڑ	t͡ʃuːt̪əɽ
چوتھ	t͡ʃɔːt̪ʰ
چوتھا	t͡ʃɔːt̪ʰɑː
چوتھائی	t͡ʃɔːt̪ʰɑːiː
چوتھے	t͡ʃɔːt̪ʰeː
چوتیا	t͡ʃuːt̪ɪjɑː
چوتیاگری	t͡ʃuːt̪ɪjɑːɡɪɾiː
چود	t͡ʃoːd̪
چودنا	t͡ʃoːd̪nɑː
چودھری	t͡ʃɔːd̪ʱɾiː
چودہ	t͡ʃɔːd̪əɦ
چور	t͡ʃoːɾ
چورا	t͡ʃuːɾɑː
چوراسی	t͡ʃɔːɾɑːsiː
چورانوے	t͡ʃɔːɾɑːnʋeː
چوراہا	t͡ʃɔːɾɑːɦɑː
چورناتو	t͡ʃuːɾɳɑːt̪ʊ
چوری	t͡ʃoːɾiː
چوزہ	t͡ʃuːzɑ
چوسنا	t͡ʃuːsnɑː
چوسنگا	t͡ʃɔːsɪŋɡɑː
چوغا	t͡ʃoːɣɑː
چول	t͡ʃuːl
چولا	t͡ʃoːlɑː
چولائی	t͡ʃɔːlɑːiː
چولھا	t͡ʃuːlɦɑː
چومنا	t͡ʃuːmnɑː
چون	t͡ʃɔːʋən
چونا	t͡ʃuːnɑː
چونتیس	t͡ʃɔːn̪t̪iːs
چوندھا	t͡ʃɔːn̪d̪ʱɑː
چوندھیانا	t͡ʃɔːn̪d̪ʱɪjɑːnɑː
چونسٹھ	t͡ʃɔː̃səʈʰ
چونچ	t͡ʃoːɲt͡ʃ
چونکہ	t͡ʃuːŋkɪ
چونی	t͡ʃəʋənːiː
چوٹ	t͡ʃoːʈ
چوٹا	t͡ʃoːʈʈɑː
چوٹی	t͡ʃoːʈiː
چوپائی	t͡ʃɔːpɑːiː
چوپال	t͡ʃɔːpɑːl
چوپان	t͡ʃuːpɑːn
چوپٹ	t͡ʃɔːpəʈ
چوپہیا	t͡ʃɔːpɦɪjɑː
چوچک	t͡ʃuːt͡ʃʊk
چوچی	t͡ʃuːt͡ʃiː
چوڑا	t͡ʃɔːɽɑː
چوڑائی	t͡ʃɔːɽɑːiː
چوڑی	t͡ʃuːɽiː
چوک	t͡ʃɔːk
چوکا	t͡ʃɔːkɑː
چوکس	t͡ʃɔːkəs
چوکنا	t͡ʃuːknɑː
چوکور	t͡ʃɔːkoːɾ
چوکون	t͡ʃɔːkoːn
چوکھا	t͡ʃoːkʰɑː
چوکھٹ	t͡ʃɔːkʰəʈ
چوکی	t͡ʃɔːkiː
چوگنا	t͡ʃɔːɡʊnɑː
چوں	t͡ʃuː̃
چوہا	t͡ʃuːɦɑː
چوہان	t͡ʃɔːɦɑːn
چوہتر	t͡ʃɔːɦət̪ːəɾ
چوہڑا	t͡ʃuːɦɽɑː
چٹائی	t͡ʃəʈɑːiː
چٹان	t͡ʃəʈʈɑːn
چٹنی	t͡ʃəʈniː
چٹپٹا	t͡ʃəʈəpʈɑː
چٹکی	t͡ʃʊʈkiː
چٹگاؤں	t͡ʃəʈɡɑː̃ʋ
چٹھی	t͡ʃɪʈʈʰiː
چٹیا	t͡ʃʊʈɪjɑː
چپ	t͡ʃʊp
چپاتی	t͡ʃəpɑːt̪iː
چپراس	t͡ʃəpɾɑːs
چپراسی	t͡ʃəpɾɑːsiː
چپقلش	t͡ʃəpqələʃ
چپل	t͡ʃəpːəl
چپنا	t͡ʃəpnɑː
چپنی	t͡ʃəpniː
چپٹی	t͡ʃəpʈiː
چپچپا	t͡ʃɪpt͡ʃɪpɑː
چپڑگنجو	t͡ʃəpəɽɡəɲd͡ʒuː
چپکانا	t͡ʃɪpkɑːnɑː
چپکنا	t͡ʃɪpəknɑː
چپکو	t͡ʃɪpkuː
چپی	t͡ʃʊpːiː
چچک	t͡ʃʊt͡ʃʊk
چچیرا	t͡ʃət͡ʃeːɾɑː
چڈی	t͡ʃəɖɖiː
چڑوا	t͡ʃɪɽʋɑː
چڑھائی	t͡ʃəɽʱɑːiː
چڑھانا	t͡ʃəɽʱɑːnɑː
چڑھنا	t͡ʃəɽʱnɑː
چڑی	t͡ʃɪɽiː
چڑیا	t͡ʃɪɽɪjɑː
چڑیل	t͡ʃʊɽɛːl
چکا	t͡ʃəkːɑː
چکارا	t͡ʃɪkɑːɾɑː
چکانا	t͡ʃʊkɑːnɑː
چکتا	t͡ʃəkət̪ːɑː
چکر	t͡ʃəkɾ
چکرانا	t͡ʃəkɾɑːnɑː
چکرورتی	t͡ʃəkɾəʋəɾt̪iː
چکشو	t͡ʃəkʃʊ
چکما	t͡ʃəkmɑː
چکنا	t͡ʃʊknɑː
چکنگنیا	t͡ʃɪkənɡʊnɪjɑː
چکوا	t͡ʃəkʋɑː
چکوترا	t͡ʃəkoːt̪ɾɑː
چکور	t͡ʃəkoːɾ
چکھنا	t͡ʃəkʰnɑː
چکھوتی	t͡ʃəkʰɔːt̪iː
چکی	t͡ʃəkːiː
چگونہ	t͡ʃəɡuːnɑ
چھاؤنی	t͡ʃʰɑːʋniː
چھاؤں	t͡ʃʰɑː̃ʋ
چھائی	t͡ʃʰɑːiː
چھاتا	t͡ʃʰɑːt̪ɑː
چھاتر	t͡ʃʰɑːt̪ɾ
چھاتی	t͡ʃʰɑːt̪iː
چھال	t͡ʃʰɑːl
چھالا	t͡ʃʰɑːlɑː
چھانبین	t͡ʃʰɑːnbiːn
چھانٹنا	t͡ʃʰɑːɳʈənɑː
چھاپ	t͡ʃʰɑːp
چھاپہ	t͡ʃʰɑːpɑ
چھاچھ	t͡ʃʰɑːt͡ʃʰ
چھاڑنا	t͡ʃʰɑː̃ɽnɑː
چھایا	t͡ʃʰɑːjɑː
چھبیس	t͡ʃʰəbːiːs
چھت	t͡ʃʰət̪
چھترانا	t͡ʃʰɪt̪ɾɑːnɑː
چھتری	t͡ʃʰət̪ɾiː
چھتہ	t͡ʃʰət̪ːɑ
چھتیس	t͡ʃʰət̪ːiːs
چھتیں	t͡ʃʰət̪eː̃
چھجا	t͡ʃʰəd͡ʒːɑː
چھرا	t͡ʃʰəɾɾɑː
چھری	t͡ʃʰʊɾiː
چھل	t͡ʃʰəl
چھلانا	t͡ʃʰɪlɑːnɑː
چھلانگ	t͡ʃʰəlɑːnɡ
چھلاوا	t͡ʃʰəlɑːʋɑː
چھلنا	t͡ʃʰəlnɑː
چھلکا	t͡ʃʰɪlkɑː
چھلکنا	t͡ʃʰələknɑː
چھماہی	t͡ʃʰəmɑːɦiː
چھننی	t͡ʃʰənniː
چھنٹائی	t͡ʃʰə̃ʈɑːiː
چھنٹاو	t͡ʃʰə̃ʈɑːʋ
چھنٹنا	t͡ʃʰəɳʈənɑː
چھنٹنی	t͡ʃʰə̃ʈniː
چھوارے	t͡ʃʰɪʋɑːɾeː
چھور	t͡ʃʰoːɾ
چھوری	t͡ʃʰoːɾiː
چھولا	t͡ʃʰoːlɑː
چھونا	t͡ʃʰuːnɑː
چھونک	t͡ʃʰɔːŋk
چھوٹ	t͡ʃʰuːʈ
چھوٹا	t͡ʃʰoːʈɑː
چھوٹنا	t͡ʃʰuːʈnɑː
چھوپنا	t͡ʃʰoːpnɑː
چھوچھا	t͡ʃʰuːt͡ʃʰɑː
چھوڑنا	t͡ʃʰoːɽnɑː
چھوہرا	t͡ʃʰoːɦɾɑː
چھٹا	t͡ʃʰʊʈʈɑː
چھٹپٹانا	t͡ʃʰəʈəpʈɑːnɑː
چھٹکنا	t͡ʃʰəʈəknɑː
چھٹھ	t͡ʃʰəʈʰ
چھٹھا	t͡ʃʰəʈʰɑː
چھٹی	t͡ʃʰʊʈʈiː
چھٹیاں	t͡ʃʰəʈʊjɑː̃
چھٹیوں	t͡ʃʰəʈʊjoː̃
چھپا	t͡ʃʰʊpɑː
چھپانا	t͡ʃʰʊpɑːnɑː
چھپر	t͡ʃʰəpːəɾ
چھپری	t͡ʃʰəpɾiː
چھپن	t͡ʃʰəpːən
چھپنا	t͡ʃʰəpnɑː
چھپڑ	t͡ʃʰəpːəɽ
چھپکلی	t͡ʃʰɪpəkliː
چھچھورا	t͡ʃʰɪt͡ʃʰoːɾɑː
چھڑنا	t͡ʃʰəɽnɑː
چھڑکاؤ	t͡ʃʰɪɽkɑːʋ
چھڑی	t͡ʃʰəɽiː
چھکا	t͡ʃʰəkːɑː
چھہ	t͡ʃʰəɦ
چھہتر	t͡ʃʰɪɦət̪ːəɾ
چھی	t͡ʃʰiː
چھیاسٹھ	t͡ʃʰɪjɑːsəʈʰ
چھیاسی	t͡ʃʰɪjɑːsiː
چھیالیس	t͡ʃʰɪjɑːliːs
چھیانوے	t͡ʃʰɪjɑːnʋeː
چھید	t͡ʃʰeːd̪
چھیدنا	t͡ʃʰeːd̪nɑː
چھیلنا	t͡ʃʰiːlnɑː
چھینا	t͡ʃʰeːnɑː
چھینٹ	t͡ʃʰiːɳʈ
چھینٹنا	t͡ʃʰiːɳʈənɑː
چھینک	t͡ʃʰiːŋk
چھینکا	t͡ʃʰiːŋkɑː
چھینی	t͡ʃʰeːniː
چھیڑ	t͡ʃʰeːɽ
چھیڑنا	t͡ʃʰeːɽnɑː
چہرہ	t͡ʃeːɦɾɑ
چی	t͡ʃiː
چیئرز	t͡ʃɪjəɾs
چیبا	t͡ʃɪbɑː
چیت	t͡ʃiːt̪
چیتا	t͡ʃiːt̪ɑː
چیتانا	t͡ʃeːt̪ɑːnɑː
چیتل	t͡ʃiːt̪əl
چیتنا	t͡ʃiːt̪nɑː
چیتھنا	t͡ʃiːt̪ʰnɑː
چیتھڑا	t͡ʃiːt̪ʰɽɑː
چیخ	t͡ʃiːx
چیخنا	t͡ʃiːxnɑː
چیر	t͡ʃiːɾ
چیرنا	t͡ʃiːɾnɑː
چیری	t͡ʃeːɾiː
چیز	t͡ʃiːz
چیزیں	t͡ʃiːzeː̃
چیس	t͡ʃeːs
چیشٹاتو	t͡ʃeːʃʈɑːt̪ʊ
چیل	t͡ʃiːl
چیلا	t͡ʃeːlɑː
چین	t͡ʃiːn
چینا	t͡ʃeːnɑː
چینٹا	t͡ʃiːɳʈɑː
چینٹی	t͡ʃiːɳʈiː
چینی	t͡ʃiːniː
چیونٹی	t͡ʃɪuːɳʈiː
چیٹ	t͡ʃɛːʈ
چیٹرجی	t͡ʃəʈəɾd͡ʒiː
چیچنیا	t͡ʃeːt͡ʃənjɑː
چیچک	t͡ʃeːt͡ʃək
چیچین	t͡ʃeːt͡ʃeːn
چیڑ	t͡ʃiːɽ
چیک	t͡ʃeːk
چیکو	t͡ʃiːkuː
چیکیا	t͡ʃeːkɪjɑː
ڈاؤنلوڈ	ɖɑːʊnloːɖ
ڈائری	ɖɑːjɾiː
ڈائن	ɖɑːɪn
ڈاب	ɖɑːb
ڈارون	ɖɑːɾʋɪn
ڈاسنا	ɖɑːsnɑː
ڈال	ɖɑːl
ڈالر	ɖɔːləɾ
ڈالنا	ɖɑːlnɑː
ڈانٹنا	ɖɑː̃ʈnɑː
ڈاٹنا	ɖɑːʈnɑː
ڈاڈو	ɖɑːɖuː
ڈاڑھا	ɖɑːɽʱɑː
ڈاک	ɖɑːk
ڈاکا	ɖɑːkɑː
ڈاکو	ɖɑːkuː
ڈاکٹر	ɖɔːkʈəɾ
ڈاکیا	ɖɑːkʊjɑː
ڈاہ	ɖɑːɦ
ڈایناسور	ɖɑːjnoːsoːɾ
ڈبل	ɖəbəl
ڈبلن	ɖəblɪn
ڈبڈبانا	ɖəbəɖbɑːnɑː
ڈبہ	ɖəbːɑ
ڈر	ɖəɾ
ڈراتی	ɖəɾɑːt̪iː
ڈراما	ɖɾɑːmɑː
ڈرانا	ɖəɾɑːnɑː
ڈراوا	ɖəɾɑːʋɑː
ڈراونا	ɖəɾɑːʋnɑː
ڈربن	ɖəɾbən
ڈرنا	ɖəɾnɑː
ڈرپنا	ɖəɾəpnɑː
ڈزنی	ɖɪzniː
ڈسنا	ɖəsnɑː
ڈلنا	ɖʊlnɑː
ڈلوانا	ɖəlʋɑːnɑː
ڈلڈو	ɖɪlɖoː
ڈمانڈ	ɖɪmɑːɳɖ
ڈمبوداس	ɖəməbuːd̪ɑːs
ڈمرو	ɖəmɾuː
ڈنمارک	ɖeːnmɑːɾk
ڈنڈا	ɖəɳɖɑː
ڈنک	ɖəŋk
ڈنکا	ɖəŋkɑː
ڈهال	ɖʱɑːl
ڈوبانا	ɖʊbɑːnɑː
ڈوبنا	ɖuːbnɑː
ڈور	ɖoːɾ
ڈوری	ɖoːɾiː
ڈول	ɖɔːl
ڈولا	ɖoːlɑː
ڈولنا	ɖoːlnɑː
ڈولی	ɖoːliː
ڈومین	ɖoːmeːn
ڈونٹ	ɖoːnəʈ
ڈونگا	ɖoːŋɡɑː
ڈونگر	ɖuːŋɡəɾ
ڈٹنا	ɖəʈnɑː
ڈپٹی	ɖɪpʈiː
ڈپھ	ɖəpʰ
ڈچ	ɖət͡ʃ
ڈکار	ɖəkɑːɾ
ڈکی	ɖɪkːiː
ڈکیت	ɖəkɛːt̪
ڈگانا	ɖɪɡɑːnɑː
ڈگری	ɖɪɡɾiː
ڈگمگ	ɖəɡməɡ
ڈگمگانا	ɖəɡəmɡɑːnɑː
ڈگنا	ɖɪɡnɑː
ڈھائی	ɖʱɑːiː
ڈھالنا	ɖʱɑːlnɑː
ڈھانا	ɖʱɑːnɑː
ڈھانچہ	ɖʱɑː̃t͡ʃɑ
ڈھاکا	ɖʱɑːkɑː
ڈھاہنا	ɖʱɑːɦnɑː
ڈھرا	ɖʱəɾɾɑː
ڈھشوم	ɖʱɪʃuːm
ڈھل	ɖʱəl
ڈھلنا	ɖʱəlnɑː
ڈھلکنا	ɖʱələknɑː
ڈھلیت	ɖʱəlɛːt̪
ڈھنگ	ɖʱəŋɡ
ڈھور	ɖʱoːɾ
ڈھول	ɖʱoːl
ڈھولک	ɖʱoːlək
ڈھونا	ɖʱoːnɑː
ڈھونڈنا	ɖʱuː̃ɽʱnɑː
ڈھونڈھ	ɖʱuːɳɖʱ
ڈھونڈھنا	ɖʱuː̃ɖʱnɑː
ڈھونڑھی	ɖʱoːɳɽʱiː
ڈھونگ	ɖʱoːŋɡ
ڈھوکلا	ɖʱoːklɑː
ڈھيٹھ	ɖʱiːʈʰ
ڈھٹھائی	ɖʱɪʈʰɑːiː
ڈھکن	ɖʱəkːən
ڈھکنا	ɖʱəknɑː
ڈھکوسلا	ɖʱəkoːslɑː
ڈھہانا	ɖʱəɦɑːnɑː
ڈھہنا	ɖʱəɦnɑː
ڈھہوانا	ɖʱəɦʋɑːnɑː
ڈھیر	ɖʱeːɾ
ڈھیل	ɖʱiːl
ڈھیلا	ɖʱiːlɑː
ڈھیلاپن	ɖʱiːlɑːpən
ڈھیلنا	ɖʱiːlnɑː
ڈھیٹھتا	ɖʱiːʈʰt̪ɑː
ڈھیٹھپن	ɖʱiːʈʰpən
ڈی	ɖiː
ڈیرہ	ɖeːɾɑ
ڈیزل	ɖiːzəl
ڈیل	ɖiːl
ڈین	ɖɛːn
ڈینا	ɖɛːnɑː
ڈینیوب	ɖɛːnjuːb
ڈیوڑھی	ɖjoːɽʱiː
ڈیوک	ɖjuːk
ڈیٹ	ɖeːʈ
ڈیٹابیس	ɖeːʈɑːbeːs
ڈیڑھ	ɖeːɽʱ
ڑھ	ɽʱə
ژون	d͡ʒʱən
ژیان	ʒʊjɑːn
ژیاں	zɪjɑː̃
کئی	kəiː
کا	kɑː
کائنات	kɑːjnɑːt̪
کابل	kɑːbʊl
کابلی	kɑːbʊliː
کابوس	kɑːbuːs
کابینہ	kɑːbiːnɑ
کاتب	kɑːt̪ɪb
کاتنا	kɑːt̪nɑː
کاج	kɑːd͡ʒ
کاجل	kɑːd͡ʒəl
کاجو	kɑːd͡ʒuː
کار	kɑːɾ
کارا	kɑːɾɑː
کاراگار	kɑːɾɑːɡɑːɾ
کارتوس	kɑːɾt̪uːs
کارخانہ	kɑːɾxɑːnɑ
کارروائی	kɑːɾəɾɪʋɑːiː
کارزار	kɑːɾzɑːɾ
کارن	kɑːɾəɳ
کارواں	kɑːɾʋɑː̃
کاروبار	kɑːɾoːbɑːɾ
کاروباری	kɑːɾoːbɑːɾiː
کارٹون	kɑːɾʈuːn
کارڈ	kɑːɾɖ
کارڈف	kɑːɾɖɪf
کارکردگی	kɑːɾəkəɾd̪əɡiː
کارگر	kɑːɾɡəɾ
کارگل	kɑːɾɡɪl
کارگو	kɑːɾɡoː
کاری	kɑːɾiː
کاریگر	kɑːɾiːɡəɾ
کاریہ	kɑːɾj
کاسه	kɑːsɑː
کاش	kɑːʃ
کاشاتو	kɑːʃɑːt̪ʊ
کاشی	kɑːʃiː
کاغذ	kɑːɣəz
کاغذات	kɑːɣzɑːt̪
کاغذوں	kɑːɣə̲zoː̃
کاغذی	kɑːɣziː
کافر	kɑːfɪɾ
کافی	kɑːfiː
کال	kɑːl
کالا	kɑːlɑː
کالابازاری	kɑːlɑːbɑːzɑːɾiː
کالاپن	kɑːlɑːpən
کالج	kɑːlɪd͡ʒ
کالرا	kɔːlɾɑː
کالو	kɑːluː
کالی	kɑːliː
کالیل	kiːlɑːl
کام	kɑːm
کامسوتر	kɑːmsuːt̪ɾ
کامل	kɑːmɪl
کامنا	kɑːmnɑː
کامود	kɑːmoːd̪
کامک	kɑːmʊk
کامکتا	kɑːmʊkt̪ɑː
کامی	kɑːmiː
کامیاب	kɑːmjɑːb
کامیابی	kɑːmjɑːbiː
کامیڈین	kɔːmeːɖɪjən
کان	kɑːn
کانا	kɑːnɑː
کانازاوا	kɑːnɑːzɑːʋɑː
کانجی	kɑːɲd͡ʒiː
کاندا	kɑːn̪d̪ɑː
کانس	kɑː̃s
کانسا	kɑː̃sɑː
کانسی	kɑː̃siː
کانٹا	kɑːɳʈɑː
کانپنا	kɑː̃pnɑː
کانپور	kɑːnpʊɾ
کانچ	kɑːɲt͡ʃ
کانڈ	kɑːɳɖ
کانڑی	kɑː̃ɽiː
کانکھ	kɑː̃kʰ
کانکھنا	kɑː̃kʰnɑː
کانی	kɑːniː
کاویری	kɑːʋeːɾiː
کاویہ	kɑːʋj
کاٹنا	kɑːʈnɑː
کاٹھ	kɑːʈʰ
کاٹھمانڈو	kɑːʈʰmɑːɳɖuː
کاٹھیاواڑ	kɑːʈʰɪjɑːʋɑːɽ
کاٹھیاواڑی	kɑːʈʰɪjɑːʋɑːɽiː
کاپی	kɑːpiː
کاچھ	kɑːt͡ʃʰ
کاڑھا	kɑːɽʱɑː
کاڑھنا	kɑːɽʱnɑː
کاکا	kɑːkɑː
کاکنج	kɑːknəd͡ʒ
کاکی	kɑːkiː
کاگ	kɑːɡ
کاگد	kɑːɡəd̪
کایا	kɑːjɑː
کایانترن	kɑːjɑːn̪t̪əɾəɳ
کایر	kɑːjəɾ
کب	kəb
کباب	kəbɑːb
کباڑ	kəbɑːɽ
کبج	kʊbd͡ʒ
کبوتر	kəbuːt̪əɾ
کبڈی	kəbəɖɖiː
کبڑا	kʊbɽɑː
کبک	kəbk
کبھو	kəbʱuː
کبھی	kəbʱiː
کبیر	kəbiːɾ
کتا	kʊt̪ːɑː
کتاب	kɪt̪ɑːb
کترانا	kət̪ɾɑːnɑː
کتراپی	kʊt̪ɾɑːpɪ
کترنا	kʊt̪əɾnɑː
کتنا	kɪt̪nɑː
کتى	kət̪ɪ
کتک	kɪt̪ək
کتھا	kət̪ʰɑː
کتھن	kət̪ʰən
کتی	kʊt̪ːiː
کثرت	kəsɾət̪
کجاوہ	kəd͡ʒɑːʋɑ
کجرا	kəd͡ʒɾɑː
کدال	kʊd̪ɑːl
