# Ilocano pronunciation lexicon: word <TAB> IPA. Mined from the STRESS-MARKED referees (kaikki ilo +
# wikipron ilo_latn, both human), normalized to our conventions. Fixes what the rule g2p cannot derive
# from spelling: LEXICAL gliding (garcia→ɡaɾsia stays, kua→kua) + the 6th vowel ⟨e⟩→[ɯ] + lexical stress.
# The shipped phonemizeWord consults this first; phonemizeWordRules (the eval path) bypasses it → NON-CIRCULAR.
'da	dˈa
panniki	pannˈiki
paoay	pawˈaj
paracelis	paɾasˈɛlis
parit	pˈaɾit
parsua	paɾswˈa
pascua	pˈaskwa
pasdong	pasdˈoŋ
paskua	pˈaskwa
patay	patˈaj
pateg	patˈɛɡ
paway	pawˈaj
pay	pˈaj
payong	pˈajoŋ
pebrero	pɛbɾˈɛɾo
pelikula	pɛlˈikula
peralta	pɛɾˈalta
periodiko	pɛɾjodˈiko
perlas	pˈɛɾlas
permiso	pɛɾmˈiso
perres	pɛɾɾˈɛs
persen	pɛɾsˈɛn
peñarrubia	pɛɲaɾˈubja
pidigan	pidˈiɡan
pilar	pˈilaɾ
pingad	pˈiŋad
pinget	pˈiŋɛt
pinggan	piŋɡˈan
pinggol	piŋɡˈol
pinikpikan	pinikpˈikan
pinsao	pˈinsaw
pintas	pˈintas
pipino	pipˈino
pirma	piɾmˈa
pito	pˈito
presio	pɾˈɛsjo
probinsia	pɾobˈinsja
problema	pɾoblˈɛma
propeta	pɾopˈɛta
pudno	pudnˈo
pudot	pˈudot
puente	pwˈɛntɛ
puerto	pwˈɛɾto
puguis	pˈuɡis
pukaw	pˈukaw
pukis	pˈukis
puro	puɾˈoʔ
pusa	pˈusa
pusil	pusˈil
puso	pˈuso
puspuso	puspˈuso
pusta	pustˈa
puyupoy	pujˈupoj
py	pˈaj
rabii	ɾabˈii
radio	ɾˈadjo
ragsak	ɾaɡsˈak
raguindin	ɾaɡindˈin
ramirez	ɾamˈiɾɛs
ramos	ɾˈamos
rang-ay	ɾaŋʔˈaj
raquepo	ɾakˈɛpo
relo	ɾɛlˈo
ribo	ɾˈibo
rigonan	ɾiɡˈonan
rosario	ɾosˈaɾjo
rumbaoa	ɾumbˈawa
ruot	ɾˈuʔot
saan	sˈaan
saba	sabˈa
sabado	sˈabado
sabangan	sabˈaŋan
sablan	sablˈan
sabon	sabˈon
sadanga	sadaŋɡˈa
sadut	sadˈut
sag-	saɡ
sagada	saɡˈada
sagana	saɡˈana
saiddek	sajddˈɛk
sais	saʔˈis
saklolo	saklˈolo
saksi	sˈaksi
sala	sˈala
salamat	salˈamat
salazar	salasˈaɾ
sallapadan	sallapˈadan
salomagi	salomˈaɡi
salomague	salomˈaɡwɛ
sanchez	sˈant͡ʃɛs
sandalia	sandˈalja
sandia	sandˈia
sandinagan	sandinˈaɡan
