# Harakat restoration lexicon (COVERAGE layer) — undiacritized skeleton ⇥ our vocalization.
# Source: g2p-inversion over wikipron + kaikki + (ur) Hindi→Urdu real spellings; CC-BY-SA.
# Regenerate: tools/perso-arabic/invert_harakat.ts --lexicon → tools/perso-arabic/export_lexicons.sh
# Non-identity rows only (a bare-skeleton row is a no-op — g2p already yields that IPA). See PROVENANCE.md.
برینیم	بِرینیم
برینین	بِرینین
بز	بُز
بزاق	بُزاق
بزباش	بُزباش
بزرگ	بُزُرگ
بزرگداشت	بُزُرْگْداشت
بزرگسال	بُزُرْگْسال
بزرگی	بُزُرگی
بزرگ‌امید	بزرگْ‌امید
بزرگ‌تر	بزرْگْ‌تِر
بزن	بزِن
بزند	بزِنِد
بزنم	بزِنِم
بزنی	بزِنی
بزنید	بزِنید
بزنیم	بزِنیم
بزنین	بزِنین
بزه	بِزه
بزکشی	بُزْکشی
بستر	بستِر
بستری	بِسْتری
بستن	بستِن
بستنی	بسْتنی
بستگی	بسْتگی
بسد	بسِد
بسمل	بِسمِل
بسیار	بِسیار
بشر	بشِر
بشقاب	بِشقاب
بشکن	بشکِن
بشکه	بُشکه
بشگرد	بِشْگرد
بضاعت	بضاعِت
بطری	بُطری
بعض	بعِض
بعلبک	بعْلبِک
بغامه	بِغامه
بغض	بُغض
بغل	بغِل
بفرمایید	بِفرمایید
بقراط	بُقراط
بقه	بُقه
بقیه	بقِیه
بلاتکلیف	بِلاتکلیف
بلاروس	بِلاروس
بلاصاحب	بِلاصاحِب
بلافاصله	بِلافاصِله
بلاگ	بِلاگ
بلبل	بُلبُل
بلتستان	بلتِستان
بلد	بلِد
بلدرچین	بِلدِرچین
بلعیدن	بلعیدِن
بلغار	بُلغار
بلغارستان	بُلغارِستان
بلغاری	بُلغاری
بلم	بلِم
بلند	بلِند
بلوغ	بُلوغ
بلوچستان	بلوچِستان
بلوک	بُلوک
بلژیک	بِلژیک
بلیت	بِلیت
بمان	بِمان
بمب	بُمب
بمل	بِمُل
بن	بِن
بنارس	بنارِس
بنام	بِنام
بنت	بِنت
بنجل	بُنجُل
بندر	بندِر
بندری	بنْدری
بندگی	بنْدگی
بنزین	بِنزین
بنفش	بنِفش
بنه	بُنه
بنوشید	بِنوشید
بنگاه	بُنگاه
بنیاد	بُنیاد
بنیادگرا	بُنیادْگرا
بنیادگرایی	بُنیادْگرایی
بنیادی	بُنیادی
بنیامین	بِنیامین
بنیان	بُنیان
بن‌بست	بُنْ‌بست
بهادر	بهادُر
بهارنارنج	بهارنارِنج
بهتر	بهتِر
بهمن	بهمِن
بوتل	بوتِل
بوداپست	بوداپِست
بودن	بودِن
بودند	بودِند
بوسیدن	بوسیدِن
بوقلمون	بوقِلِمون
بوی	بْوی
بوییدن	بْوییدِن
بپا	بِپا
بچگی	بچِگی
بژ	بِژ
بکار	بِکار
بکارت	بکارِت
بکر	بِکر
بکنی	بُکُنی
بیا	بِیا
بیابان	بِیابان
بیات	بَیات
بیارم	بَیارِم
بیارن	بَیارِن
بیاره	بِیاره
بیاری	بِیاری
بیاریم	بِیاریم
بیارین	بِیارین
بیان	بَیان
بیانیه	بَیانِیه
بیختن	بیختِن
بیرجند	بیرْجند
بیستم	بیستُم
بیشتر	بیشتِر
بیشترین	بیشْترین
بیشکک	بیشکِک
بیمارستان	بیمارِستان
بینش	بینِش
بیچارگی	بیچارِگی
بیژن	بیژِن
بیکران	بیکِران
بیک‌آباد	بیکِ‌آباد
بیگم	بیگُم
بی‌خبر	بی‌خِبِر
بی‌ستاره	بی‌سِتاره
بی‌شرم	بی‌شِرم
بی‌شمار	بی‌شُمار
بی‌صبر	بی‌صِبر
بی‌صدا	بی‌صِدا
بی‌صراط	بی‌صِراط
بی‌طرف	بی‌طِرِف
بی‌طرفی	بی‌طِرِفی
بی‌عرضه	بی‌عُرضه
بی‌مغز	بی‌مِغز
بی‌نظیر	بی‌نِظیر
بی‌گناه	بی‌گُناه
بی‌گناه‌تر	بی‌گِناه‌تِر
بی‌گناه‌ترین	بی‌گُناه‌ترین
تابستان	تابِستان
تابستانی	تابِستانی
تابش	تابِش
تابع	تابِع
تابیدن	تابیدِن
تاتارستان	تاتارِستان
تاجبخش	تاجْبخش
تاجر	تاجِر
تاجک	تاجِک
تاجکستان	تاجِکِستان
تاجیکستان	تاجیکِستان
تاج‌گذاری	تاج‌گُذاری
تاختن	تاختِن
تارک	تارِک
تازگی	تازِگی
تازیانه	تازِیانه
تاشکند	تاشْکند
تافتن	تافتِن
تاکستان	تاکِستان
تاکنون	تاکُنون
تبادل	تبادُل
تبت	تبِت
تبحر	تبِحِر
تبختر	تبختُر
تبر	تبِر
تبرک	تبِرِک
تبسم	تبِسِم
تبلت	تبلِت
تتق	تُتُق
تجارت	تجارِت
تجاری	تِجاری
تجربه	تجرِبه
تجربی	تجرِبی
تجربیات	تجرُبِیات
تجزیه	تجزِیه
تجسم	تجِسِم
تجمع	تجِمِع
تجمل	تجِمِل
تجملات	تجِمِلات
تجملی	تجِمِلی
تحت	تحتِ
تحصن	تحِصِن
تحفه	تُحفه
تحقق	تحِقِق
تحلیلگر	تحلیلگِر
تحمل	تحِمِل
تحکم	تحِکِم
تخار	تُخار
تخارستان	تُخارِستان
تختخواب	تختِخواب
تخس	تُخس
تخصص	تخِصِص
تخطی	تخِطی
تخلف	تخِلِف
تخلیه	تخلِیه
تخم	تُخم
تخماق	تُخماق
تخمدان	تُخْمْدان
تخمه	تُخمه
تخمک	تخمِک
تدارک	تدارُک
تدارکات	تدارُکات
ترابی	تُرابی
تراشتن	تراشتِن
تراشیدن	تراشیدِن
ترافیک	تِرافیک
ترامپ	تِرامپ
تراژدی	تِراژِدی
تراکم	تراکُم
تراکمه	تراکِمه
تراکنش	تراکُنِش
ترب	تُرب
ترجمان	ترجُمان
ترجمه	ترجُمه
ترحم	ترِحِم
ترد	تُرد
تردد	ترِدِد
ترزا	تِرِزا
ترساندن	ترساندِن
ترسناک	ترْسْناک
ترسون‌زاده	تُرسون‌زاده
ترسیدن	ترسیدِن
ترش	تُرُش
ترشه	تُرشه
ترشک	ترشِک
ترشی	تُرشی
ترغای	تُرغای
ترقی	ترِقی
ترم	تِرم
ترمز	تُرمُز
ترن	ترِن
ترنج	ترِنج
ترنم	ترِنِم
ترنه	تُرنه
ترک	ترِک
ترکتاز	تُرْکْتاز
ترکستان	تُرکِستان
ترکش	ترکِش
ترکمان	تُرْکمان
ترکمن	ترْکمِن
ترکمن‌آباد	ترْکْمنِ‌آباد
ترکی	تُرکی
ترکیب‌بند	ترکیبْ‌بند
ترکیه	تُرکِیه
ترگمان	ترگُمان
تز	تِز
تزار	تِزار
تزکیه	تزکِیه
تسلط	تسِلِط
تسنن	تسِنِن
تشدد	تشِدِد
تشرین	تِشرین
تشنج	تشِنِج
تشنه	تِشنه
تشنگی	تشْنگی
تشک	تشِک
تشکر	تشِکِر
تصادف	تصادُف
