آئي	aːiː
اسم	ɪsɪmʊ
اسمرٿ	əsᵊmᵊɾt̪ʰʊ
اسنک	əsᵊŋkʰʊ
اسهه	əsᵊhʊ
اسهڻ	ʊsᵊhᵊɳʊ
اسو	əsuː
اسي	əsiː
اسيئنڻ	əsiːʊɳɳɪ
اسيئنڻو	əsiːʊɳɳoː
اسيل	əsiːlʊ
اسپنگر	ɪsᵊpᵊŋɡᵊɾʊ
اسٿان	ɪst̪ʰaːnʊ
اسڌ	əsʊd̪ʰɪ
اسڙڪڻ	ʊsɪɽkᵊɳʊ
اشارت	ɪʃaːɾᵊt̪ᵊ
اشارو	ɪʃaːɾoː
اشتهار	ɪʃt̪ɪhaːɾʊ
اشراف	əʃɾaːfʊ
اشڪ	əʃkʊ
اشڪيل	ɪʃkeːlʊ
اشڪيلي	ɪʃkeːliː
اصحب	əsᵊhᵊbʊ
اصل	əsʊlʊ
اصلي	əsʊliː
اطلس	ət̪ɪlᵊsʊ
اظهار	ɪzhaːɾʊ
اعلاج	eːlaːd͡ʒʊ
اعوان	ɛːʋaːnʊ
افال	əfaːlʊ
اقرارنامو	ɪqɾaːɾnaːmoː
ال	əlᵊ
الائڻ	əlaːɪɳʊ
الاجي	əlaːd͡ʒeː
الارڻ	ʊlaːɾᵊɳʊ
الامو	ʊlaːmoː
الاهي	ɪlaːhiː
البت	əlbᵊt̪ᵊ
البجار	əlᵊbᵊd͡ʒaːɾɪ
البيلائي	əlᵊbeːlaːiː
البيلو	əlᵊbeːloː
التي	ɪlᵊt̪iː
الرڻ	ʊlɪɾᵊɳʊ
السو	əlsoː
السي	ɪlsiː
الهندو	ʊlᵊhᵊnd̪oː
الهڻ	əlᵊhᵊɳʊ
الو	əloː
الوٽ	əluːʈʊ
الوڀلو	əloːbʰᵊloː
الوڻ	əluːɳʊ
الوڻائي	əluːɳaːiː
الوڻو	əluːɳoː
الي	əliː
اليبند	əliːbᵊnd̪ʊ
اليپ	əleːpʊ
الٽ	əlᵊʈʊ
الڙ	əlᵊɽʊ
الڙڻ	ʊlɪɽᵊɳʊ
الک	əlᵊkʰᵊ
الڪائتو	ʊlɪkaːɪt̪oː
الڪو	ʊlkoː
الگرجائي	əlɡᵊɾd͡ʒaːiː
الڻ	əlᵊɳʊ
اما	əmaː
امالڪ	ʊmaːlᵊkᵊ
امام	ɪmaːmʊ
امانت	əmaːnᵊt̪ᵊ
اماني	əmaːniː
اماوس	ʊmaːʋsᵊ
اماڙي	ʊmaːɽiː
اماڻڻ	ʊmaːɳᵊɳʊ
امت	ʊmᵊt̪ᵊ
امتي	ʊmᵊt̪iː
امداد	ɪmd̪aːd̪ʊ
امر	əmᵊɾʊ
امل	əmᵊlʊ
املداس	əmᵊld̪aːsʊ
املي	əmᵊliː
امن	əmʊnʊ
امند	əmᵊnd̪ʊ
امهير	əmᵊheːɾᵊ
امونگڙو	əmuːŋɡɪɽoː
امي	əmiː
اميد	ʊmeːd̪ᵊ
امير	əmiːɾᵊ
اميرائي	əmiːɾaːiː
اميري	ʊmeːɾiː
امين	əmiːnʊ
اميني	əmiːniː
امڙ	əmʊɽʊ
ان	ɪnᵊ
اناج	ənaːd͡ʒʊ
اناسرت	ənaːsʊɾt̪ɪ
انان	ənaːnʊ
اناناس	ənaːnaːsʊ
اناڙي	ənaːɽiː
انب	əmbʊ
انبار	əmbaːɾʊ
انبارخانو	əmbaːɾxaːnoː
انباردار	əmbaːɾd̪aːɾʊ
انبور	əmbuːɾʊ
انبير	əmbiːɾʊ
انبڙي	əmbɪɽiː
انت	ənt̪ʊ
انترو	ənt̪ɪɾoː
انتڪال	ənt̪ɪkaːlʊ
انجام	əɲd͡ʒaːmʊ
انجير	əɲd͡ʒiːɾʊ
انجڙي	ɪɲd͡ʒɪɽiː
انداز	ənd̪aːzʊ
اندازو	ənd̪aːzoː
اندر	ənd̪ᵊɾɪ
اندرجئه	ɪnd̪ɾᵊd͡ʒᵊʊ
اندري	ɪnd̪ɾiː
اندسو	ənd̪ɪsoː
اندلس	ənd̪ɪlᵊsᵊ
اندي	ənd̪iː
انس	ənsʊ
انصاف	ɪnsaːfʊ
انمان	ʊnmaːnʊ
انند	ənᵊnd̪ᵊ
انهه	ɪnɪhᵊ
انيل	əniːlʊ
انيڪ	əneːkᵊ
انچلو	əɲt͡ʃɪloː
انڇر	əɲt͡ʃʰᵊɾʊ
انڊي	ɪɳɖiː
انڊگنڊ	əɳɖʊɡᵊɳɖʊ
انڌ	ənd̪ʰʊ
انڌائي	ənd̪ʰaːiː
انڌار	ənd̪ʰaːɾʊ
انڌارو	ənd̪ʰaːɾoː
انڌو	ənd̪ʰoː
انڌوهه	ənd̪ʰoːhʊ
انڌوڪار	ənd̪ʰuːkaːɾʊ
انڌير	ənd̪ʰeːɾʊ
انڌيرو	ənd̪ʰeːɾoː
انڌيري	ənd̪ʰeːɾiː
انڌڙو	ənd̪ʰɪɽoː
انڌڪار	ənd̪ʰᵊkaːɾʊ
انڪڙ	əŋkʊɽʊ
انگ	əŋɡʊ
انگارڻ	əŋɡaːɾᵊɳʊ
انگالو	əŋɡaːloː
انگريز	əŋɡɾeːzʊ
انگريزي	əŋɡɾeːziː
انگرکو	əŋɡᵊɾᵊkʰoː
انگل	əŋɡᵊlʊ
انگلي	əŋɡᵊliː
انگور	əŋɡuːɾʊ
انگورجڻ	əŋɡuːɾd͡ʒᵊɳʊ
انگي	əŋɡiː
انگيج	əŋɡeːd͡ʒʊ
انگيجي	əŋɡeːd͡ʒiː
انگڙو	əŋɡʊɽoː
انگڙي	əŋɡʊɽiː
انگڻ	əŋɡᵊɳʊ
اهائي	ʊhaːiː
اهار	əhaːɾᵊ
اهر	əhʊɾɪ
اهرڻ	əhᵊɾᵊɳɪ
اهل	əhᵊlᵊ
اهلي	əhᵊliː
اهمائي	ʊhʊmaːiː
اهمو	ʊhʊmoː
اهن	əhᵊnʊ
اهنر	əhᵊnᵊɾʊ
اهنوتري	əhᵊnoːt̪ɪɾiː
اهنڙ	əhᵊɳɽʊ
اهنڪار	əhᵊŋkaːɾʊ
اهنڪارجڻ	əhᵊŋkaːɾd͡ʒᵊɳʊ
اهنڪاري	əhᵊŋkaːɾiː
اهه	ɪhɪ
اهو	ɪhoː
اهوئي	ʊhoːiː
اهڃ	ʊhʊɲʊ
اهڃاڻ	ʊhʊɲaːɳʊ
اهڙو	əhɪɽoː
اوار	əʋaːɾᵊ
اوايو	əʋaːjoː
اواڙ	əʋaːɽᵊ
اواڙو	əʋaːɽoː
اوتار	əʋᵊt̪aːɾʊ
اوجھڙ	əʋᵊd͡ʒʰᵊɽʊ
اورچ	əʋɪɾt͡ʃʊ
اورچائي	əʋɪɾt͡ʃaːiː
اوس	əʋᵊsɪ
اوسر	əʋᵊsᵊɾʊ
اوسوس	əʋsoːsʊ
اول	əʋᵊlɪ
اولائي	əʋᵊlaːiː
اولو	əʋᵊloː
اوناسي	əʋɪnaːsiː
اويچاري	əʋiːt͡ʃaːɾiː
اوچاري	əʋɪt͡ʃaːɾiː
اين	əjᵊnʊ
اٺ	əʈʰᵊ
اٺاسي	əʈʰaːsiː
اٺاويهه	əʈʰaːʋiːhᵊ
اٺسؤ	əʈʰsoː
اٺسٺو	əʈʰɪsᵊʈʰoː
اٺهتر	əʈʰᵊhᵊt̪ᵊɾɪ
اٺهٺ	əʈʰᵊhᵊʈʰɪ
اٺو	əʈʰoː
اٺوتر	əʈʰoːt̪ᵊɾ
اٺوترو	əʈʰoːt̪ɪɾoː
اٺور	əʈʰoːɾɪ
اٺونڻو	əʈʰuːɳɳoː
اٺيتاليهه	əʈʰeːt̪aːliːhᵊ
اٺٽيهه	əʈʰᵊʈiːhᵊ
اٺپيرو	ʊʈʰᵊpeːɾoː
اٺڻ	ʊʈʰᵊɳʊ
اٽ	ɪʈᵊ
